Page ID,Page Name,Disclaimer,Amount Spent (MXN)
743088302422856,Locho Morán,Campaña Gubernatura Movimiento Ciudadano - Leoncio Morán,192296
848807328488687,Indira Vizcaíno,Indira Vizcaino Silva,53206
225865090901261,Virgilio Mendoza,Virgilio Mendoza,25905
636015047036720,México Decide,México Decide,22854
682427185183797,De Política y Algo Más.,De Política y Algo Más.,19481
923633637651202,Morena Sí,Morena Sí,16735
101040115400882,El Informador de México,El Informador de México,14567
651805858170081,Movimiento Ciudadano Colima,Movimiento Ciudadano,13922
186073704903313,México elige,México elige,12000
109634395756375,Save the Children México,Save the Children México,7248
238762879562210,Mely Romero,Coalición Va por Colima Mely Romero,7174
342020912961614,Claudia Yáñez Centeno,Claudia Valeria Yañez Centeno Y Cabrera,6280
179387312078698,Partido Verde Ecologista México,Partido Verde Ecologista México,5635
110320423807974,Latinus,Latinus,5356
109639237582245,Origen Informativo,Origen informativo,4804
162949857103721,Gobierno Colima,Gobierno del Estado de Colima,3932
100285288768498,Foro Tres,Foro Tres,3431
249051075921281,Judith Sánchez,Marcos Barajas Yescas,2819
206323119403212,Mario Delgado Carrillo,Mario Delgado Carrillo,2617
110829774107582,Sí Por México,Sí Por México,2121
1861550397441449,Revista32,Revista32,2077
1074175329302242,Carlos Arellano,Carlos Arellano,2000
543589789374296,Memo Toscano Diputado,Guillermo Toscano Reyes,1907
454599594630192,Fernando Antero,Fernando Antero,1553
129116715379616,La Lotería Del Pueblo,Hugo Junco Olvera,1502
576002676426076,Demos Tracking,Samuel Espinosa Salazar,1469
104680124489636,Demoscopia Digital,Demoscopia Digital,1451
431248533636138,Spotify,Spotify,1435
2014781362105552,E1 Debate Colima,E1 Debate Colima,1416
234134579963795,Víctor Torres López,Víctor López,1395
102499615262472,Voz Libre Noticias Colima,Voz Libre Noticias,1366
56713285274,Greenpeace México,Greenpeace México,1295
460436987319985,Diputados Ciudadanos,Grupo Parlamentario de Movimiento Ciudadano en la Cámara de Diputados,1247
138506541505,INE México,INE México,1224
2091732304477564,Senadores Ciudadanos,Grupo Parlamentario de Movimiento Ciudadano en el Senado de la República,1214
108128157347207,Pollsmx,Político.mx,1094
1757489171180671,Massive Caller,Massive Caller,1045
113631030541623,Memo Topete,Guillermo Topete,978
105730758122121,Chuy Gómez,Jesús Gómez,970
114024430364416,YoXmx,YoXmx,969
306572586738125,H. Ayuntamiento de Manzanillo,H. Ayuntamiento de Manzanillo,965
239726076054918,Partido del Trabajo México,Partido del Trabajo México,937
117250566852119,Análisis Colima,Humberto Guzman Huerta,813
133023303440149,Scotiabank México,Maricela Aseret Rodriguez Nava,762
696146230424196,Audi Center Galerías,Sandra Gonzalez,731
507133006131321,7AM Noticias,Esaú Hernández,697
105524304707679,Mike Villafaña / Consultor,Mike Villafaña,691
469246976533189,Santiago Creel,SantiagoCreelM,628
124631600949535,Yo Influyo,YoXmx,595
103250758213505,Jóvenes Morena Manzanillo,These ads ran without a disclaimer,549
142145835862894,IEXE Universidad,IEXE Universidad,540
226363824764776,Claudia Aguirre,José Luis Luna,500
48966795116,Amnistía Internacional México,Amnistía Internacional México,493
124631600949535,Yo Influyo,Yo Influyo,466
645731535452116,FactoMétrica,FactoMétrica,403
503090873547747,Karina Heredia,Karina Heredia,400
100537517971660,Dr Emilio Jacques Rivera,Emilio Jacques Rivera,396
166438840709809,Ana Landa,These ads ran without a disclaimer,388
1545555582174942,TResearch,TResearch,381
1640242422922126,Arturo Avalos,De Política y Algo Más.,359
118197471568260,Dior,These ads ran without a disclaimer,354
118921468203786,Movimiento Ciudadano,Movimiento Ciudadano,335
122154061801959,Colectivo Mujeres Cabeza de Familia,YXMEX,318
700950887002493,BLUE Magazine,Alondra Esmeralda Castañeda Delgado,305
194255937809734,Estación Pacífico,Estación Pacífico,300
1812297282329742,Jorge Triana,Jorge Triana Tena,295
764586673602024,Archivo Digital Colima,Kike Murguia,295
222269084649681,Avanzada Diario,Juan Gabriel Moctezuma Castellanos,291
395520477682538,Rogelio Salinas,Marcelino Liñán Orozco,283
1522195418029530,Político MX,Político.mx,274
100285288768498,Foro Tres,These ads ran without a disclaimer,272
108128157347207,Pollsmx,Político MX,267
101075891834695,El Grito de México,El Grito de Mx,260
102551913153712,Ricardo Monreal A.,Ricardo Monreal Ávila,260
592495347619799,Todos queremos Sexo Seguro,Sexo seguro YXMEX,254
186073704903313,México elige,México Elige,245
116437828394342,Phiten Mexico,Phiten Mexico,243
103948181187919,El Portal de Colima,El Portal de Colima,237
1878965038824465,Xiudadanos Mx,Xiudadanos Mx,235
265938437673601,Yo Soy Mi Planeta,Yo Voy x Mex,230
100149761605055,Armando Reyna,These ads ran without a disclaimer,222
536886746673043,Jóvenes MX,Jóvenes MEX,216
511259819066440,GRUPO Celexis,Ernesto Ceballos Alexis,196
267018783320418,Democrats Abroad Mexico,Democrats Abroad,195
264773293005,Marko Cortés,Marko Cortés,186
100223893383673,"Sunetfon - Plataforma de mensajes SMS, voz y ubicación de personal en campo",Eduardo Antonio Suck Bello,185
107738917712607,ALA,@alertalibertadaccion,184
1543748619196101,Elmer Pineda,These ads ran without a disclaimer,178
979207592102548,Periodico Hechos Pensamiento En Accion,Gustavo Alejandro Valdovinos Castellanos,173
196705420663884,Código Magenta,Código Magenta,172
180339432448255,AZ2 - Marketing Makers,Juan Antonio Azcárraga Salcido,170
1543748619196101,Elmer Pineda,Javier Alejandro Garcia Munguía,168
1628779864114255,Revista Enfoques,Revista Enfoques,167
100867376619769,Xóchitl Gálvez Ruiz,Xóchitl Gálvez Ruiz,166
2068442100105071,Fernando Moreno Peña,Adrian Romero,165
780651975342188,María Elena Abaroa,Hector Amauri Huerta Morán,163
117256923478042,Ala Democrática,Ala Democrática,161
172262836190214,Julen Rementeria del Puerto,Julen Rementeria del Puerto,154
109317654546795,Chalio Ramirez,OCSyS,147
103446388326559,El argüende,Oskar Omar Reyes Esquivel,146
109689269214713,Morena Manzanillo,These ads ran without a disclaimer,144
640044982685950,PRD Michoacán,PRD Michoacán,143
1617098015207541,Colima Al Día,Colima Al Día,141
137309263048418,Poncho Robledo,LaCasaDePiedra Mkt,136
105242004985337,Diana Vega,These ads ran without a disclaimer,135
1293477610766656,Canvas: Escuela de Marketing Político Digital,Canvas: Escuela de Marketing Político Digital,129
1637462289838029,Diputados Morena,Diputados Morena,124
104980198330520,Wappid,CC2 Mexico,123
589484077738887,Jorge Álvarez Máynez,Jorge Álvarez Máynez,123
333932057250036,Alejandro Rojas Díaz Durán,ARDD,121
913290092084357,Progreso Capital,Progreso Capital,120
1637750339880598,Compartamos noticia,Adan Sigifredo Gonzalez,119
102052015152004,MOREM,Ulises Ernesto Ruiz Ortiz,108
299834593401472,World Vision México,Armando Ortiz,107
139039096175032,Pancho Domínguez,Francisco Dominguez Servien,107
100751561819522,Diario Imparcial,Diario Imparcial,106
277139103951,Dante Delgado,Movimiento Ciudadano,102
263965003947363,Kenia López Rabadán,Kenia López Rabadán,101
513860858806827,Visión Costera Colima,Visión Costera Colima,≤100
556605967819480,Maquinera,Ignacio Rodriguez Arceo,≤100
116213023572232,La Alameda Express,La Alameda Express,≤100
153400341820675,De Sur a Norte,De sur a norte,≤100
1852294921655328,VReal-MX,VReal-MX,≤100
1193269740772172,Fundación con Equidad A.C.,These ads ran without a disclaimer,≤100
101065581905788,Veneno informativo,Oskar Omar Reyes Esquivel,≤100
103459551371622,Carlos Daniel Carrillo,Salvador Torres Ramos,≤100
107581224441007,Quality Service,These ads ran without a disclaimer,≤100
189791547734594,Revista WOW,These ads ran without a disclaimer,≤100
104004578368645,Binary Politics,Techsoft consulting,≤100
493453457351145,Coparmex Nacional,COPARMEX,≤100
1548179418740775,ONEA México,ONEA México,≤100
174281324263264,El eco del pueblo,El Eco del Pueblo,≤100
326647354840146,Sergio Gutiérrez Luna,Sergio Gutiérrez Luna,≤100
139039096175032,Pancho Domínguez,Francisco Domínguez Servién,≤100
