Page ID,Page Name,Disclaimer,Amount Spent (MXN)
743088302422856,Locho Morán,Campaña Gubernatura Movimiento Ciudadano - Leoncio Morán,192296
682427185183797,De Política y Algo Más.,De Política y Algo Más.,138356
235884926455769,H Ayuntamiento de Colima,"Municipio de Colima, Col.",137708
636015047036720,México Decide,México Decide,96885
206323119403212,Mario Delgado Carrillo,Mario Delgado Carrillo,64160
342020912961614,Claudia Yáñez Centeno,Claudia Valeria Yañez Centeno Y Cabrera,62036
629587274332990,Despierta el Bajío,Despierta el Bajío,61343
923633637651202,Morena Sí,Morena Sí,59843
179387312078698,Partido Verde Ecologista México,Partido Verde Ecologista México,55898
848807328488687,Indira Vizcaíno,Indira Vizcaino Silva,53206
743088302422856,Locho Morán,Leoncio Alfonso Morán Sanchez,49268
225865090901261,Virgilio Mendoza,Virgilio Mendoza,48004
743088302422856,Locho Morán,Leoncio Alfonso Morán Sánchez,46912
1424369637876973,Joel Padilla,Ivan Emiliano Padilla Bustamante,41055
118921468203786,Movimiento Ciudadano,Movimiento Ciudadano,40192
123603761060511,José Ignacio Peralta Sánchez,Gobierno Colima,32339
788259974584583,Rafael Mendoza,Rafael Mendoza Godinez,31805
1703952039913005,Martha Sosa,Martha Leticia Sosa Govea,25599
629587274332990,Despierta el Bajío,Arturo Vázquez Rodríguez,25543
100100595293270,Leticia Delgado,Leticia Delgado,24590
2014781362105552,E1 Debate Colima,E1 Debate Colima,24182
454599594630192,Fernando Antero,Fernando Antero,22298
109639237582245,Origen Informativo,Origen informativo,20763
543589789374296,Memo Toscano Diputado,Guillermo Toscano Reyes,18190
162949857103721,Gobierno Colima,Gobierno del Estado de Colima,15169
1911411035852329,Elecciones&Encuestas,Arturo Vázquez Rodríguez,15000
1911411035852329,Elecciones&Encuestas,Jesus Manuel Martinez Diaz,15000
222269084649681,Avanzada Diario,Juan Gabriel Moctezuma Castellanos,14749
101040115400882,El Informador de México,El Informador de México,14567
186073704903313,México elige,México elige,14491
353057395183135,Paco Rodriguez,Paco Rodriguez,14429
651805858170081,Movimiento Ciudadano Colima,Movimiento Ciudadano,13922
1911411035852329,Elecciones&Encuestas,Contacto Elecciones y Encuestas,13830
