Page ID,Page Name,Disclaimer,Amount Spent (MXN)
239582775483,Martín Orozco,Bogusys,105076
146854998658908,Metropolitano Aguascalientes,Alan Palafox Porter,61421
1545555582174942,TResearch,Carlos Penna Charolet,49564
2011285802526787,El Soberano,El Soberano,44819
133761830290194,Tere Jiménez,Comunicación Social AGS,37770
430696447118359,Yolanda Ramírez de Orozco,bogusys,32868
113264930412981,Kwai-SA-music,These ads ran without a disclaimer,27285
104450628032528,Aguascalientes Informa,Andres Ernesto Coccaro Machado,27062
1911607682251639,Secretaría Ejecutiva del Sistema Estatal Anticorrupción de Aguascalientes,These ads ran without a disclaimer,18297
106045264321266,Acompáñala con Amor,Whysers,17481
202149179918520,Gustavo Baez,Gustavo Baez,16552
554717334695311,Municipio de Jesús María,Municipio de Jesús María,13527
108819392526809,Partido Acción Nacional,Partido Acción Nacional,12826
340702356593042,A Criterio,Alejandro Revilla Perez,12217
101671294918962,Kwai-SA-dance,These ads ran without a disclaimer,12151
2018113191839014,Alejandro Serrano Almanza,Beatriz Medina,11217
1705349966418852,Jesús Rangel,J Jesus Rangel De Lira,10437
381510258701525,Centuria Noticias Aguascalientes,Centuria Noticias Aguascalientes,9679
117780076630507,Demexcopia,Demexcopia,8651
286739281475815,Lupita de Lira,Colibrí,8333
1667417456701228,Porfirio Muñoz Ledo,Porfirio Muñoz Ledo,7375
264773293005,Marko Cortés,Marko Cortés,7321
446770845424711,Fernando Herrera Ávila,Fernando Herrera Ávila,7042
167088283452184,Testigourbano Agencia De Noticias,Lizeth Lopez Carrillo,6727
903141280075341,El Bunker Político,El Bunker Político,6672
756381707885305,Quique Galo,Alejandro Revilla Perez,6506
118921468203786,Movimiento Ciudadano,Movimiento Ciudadano,6469
171334067016396,Daniel Gutiérrez Castorena,Daniel Gutiérrez Castorena,5984
239582775483,Martín Orozco,These ads ran without a disclaimer,5918
146438215422041,Líder Empresarial,Líder Empresarial,5796
108426420902413,Kwai-SA-funny,These ads ran without a disclaimer,5441
282818088564172,Paloma Amézquita,Paloma Amézquita,5432
