Page ID,Page Name,Disclaimer,Amount Spent (MXN)
194928003877085,Gobierno del Estado de BCS,Gobierno del Estado de BCS,272531
355653434886423,Ruben Muñoz Alvarez,Ruben Muñoz Alvarez,99525
636616453626425,Crónica del Norte,Crónica del Norte,83372
639300266697863,Sol del Norte,Redacción Sol del Norte,48866
1911411035852329,Elecciones&Encuestas,Contacto Elecciones y Encuestas,46386
427506170657378,Francisco Pelayo Covarrubias,Silent Mob,40863
935198066565583,Central de Encuestas,Central de Encuestas,39059
1741178926212929,El Observador MX,El Observador MX,36384
1444189109132895,Rigo Mares,Jr. Mares,32093
1870998949839678,El Siglo de México,El Siglo de México,29642
449118195942048,José López Soto,These ads ran without a disclaimer,24117
469925686738562,El Guardián,El Guardián,23564
104742984623741,Roberto Pantoja Castro,Jenson Design,22846
335716460273030,El Clarín,El Clarín,22091
416185532179806,El Quetzal,El Quetzal,20005
800053706697232,Lupita Saldaña,Araceli Guadalupe Telechea Salcedo,17232
1384134174966740,La Estampa de México,La Estampa de México,16296
113264930412981,Kwai-SA-music,These ads ran without a disclaimer,15839
945975482263434,Ramiro Ruiz Flores,Ramiro Ruiz Flores,15533
100127225130917,Rigoberto Arce,Carlos Rene Arce Castro,14634
164088924239559,Diputado Esteban Ojeda Ramírez,Esteban Ojeda Ramírez,14492
449118195942048,José López Soto,José López Soto,13817
636015047036720,México Decide,México Decide,13637
2030286460578647,Luis Araiza,HL Araiza,12177
186993735240587,La Razón,La Razón,11829
155905091696219,La Revelación,La Revelación,11500
831306856905783,Diario Tiempo México,Diario Tiempo México,11061
636616453626425,Crónica del Norte,Jesus Manuel Martinez Diaz,11000
800053706697232,Lupita Saldaña,Lupita Saldaña,10543
108819392526809,Partido Acción Nacional,Partido Acción Nacional,10268
527000314406675,Marcelo Armenta,Alan Aguilar,9157
1522195418029530,Político MX,Político.mx,8575
105334164672595,Adonai Carreón Estrada,Edwin Felipe Yepiz Quintero,8123
1612729112342421,Noticiero Aquí Los Cabos,Amparo Patricia Hernandez Hernandez,7395
167828720529845,Milena Quiroga Romero,Milena Quiroga Romero,7265
1667417456701228,Porfirio Muñoz Ledo,Porfirio Muñoz Ledo,7022
264773293005,Marko Cortés,Marko Cortés,6968
107535897846504,Contenidos Creativos,Francisco Isaias Urquidez Rangel,6625
101671294918962,Kwai-SA-dance,These ads ran without a disclaimer,6408
113658440335813,Data Tracking,Samuel Espinosa Salazar,6141
260782494394054,Jesús Andrés Acosta Moyron,Jesús Andres Acosta Moyrón,5460
103165964788856,Paceños con Rubén Muñoz,Tania Silva Uscanga,5000
950257431712751,México Desigual,México Desigual,4974
102185181566227,Paceños y Cabeños con Ruben y Armida,Tania Silva Uscanga,4957
1665047283579389,24/7 365 noticias,Logística Digital,4639
108947193810441,Inmobark,Ivan De Jesus Meza Arellano,4519
1603530743269541,Legisladores de BCS,Ernesto Corrales,4331
102528964805447,David Moyrón Quiroz,David Moyrón Quiroz,4232
235994093744848,Contra Réplica,Contra Réplica,4230
219349159506115,Juntos Por Baja California,Tania Silva Uscanga,4050
2406840252911801,MARIO para Morena,MARIO para Morena,4001
341031786670397,Belmar Pimentel Amador,Jose Julio Belmar Pimentel Amador,3995
228779327686731,Alfredo Porras Dominguez,Ernesto Corrales,3804
343428446369807,Revista analisisbcs.com,Bertoldo Velasco Silva,3788
1042148522516219,BCS Coherente,BCS Coherente,3702
267018783320418,Democrats Abroad Mexico,Democrats Abroad,3395
237286396650510,Enkoll Inteligencia de Mercados,Enkoll,3363
1588437514742285,Víctor Hugo Govea,Víctor Hugo Govea,3356
1812297282329742,Jorge Triana,Jorge Triana Tena,3216
