Page ID,Page Name,Disclaimer,Amount Spent (MXN)
115435760318952,Colectivo Baja California por la Democracia,Contacto Baja California,702886
1515259965437204,Marina Del Pilar,Marina Del Pilar,420046
104423741378022,Ocupa MX,Ocupa MX,327306
636015047036720,México Decide,México Decide,279288
636616453626425,Crónica del Norte,Crónica del Norte,237673
698928537211863,Ayuntamiento de Tijuana,Ayuntamiento de Tijuana,229124
115435760318952,Colectivo Baja California por la Democracia,Arturo Vázquez Rodríguez,220182
108483517375174,Blue Propane,BluePropane,172489
1911411035852329,Elecciones&Encuestas,Contacto Elecciones y Encuestas,149209
1536864953270388,BC Informa,Econtact,122664
118921468203786,Movimiento Ciudadano,Movimiento Ciudadano,121088
115435760318952,Colectivo Baja California por la Democracia,Jesus Manuel Martinez Diaz,117615
639300266697863,Sol del Norte,Redacción Sol del Norte,112401
950257431712751,México Desigual,México Desigual,103723
113264930412981,Kwai-SA-music,These ads ran without a disclaimer,96645
469925686738562,El Guardián,El Guardián,93640
112216313917441,Yo con Marina,Yo con Marina,88957
101222681541195,ECA LNG,Ulises Breton Diaz,72164
416185532179806,El Quetzal,El Quetzal,70741
240666746557266,Jaime Cleofas Martínez Veloz,Jaime Cleofas Martínez Veloz,69529
224050124385363,Gobierno de Mexicali,Gobierno de Mexicali,56116
935198066565583,Central de Encuestas,Central de Encuestas,55847
273155006056314,Luis Algorri,Luis Algorri,50708
1511184785846424,Rodrigo Otañez,Rodrigo Otañez,50695
2324692674473838,Será Marina,Será Marina,49438
1052285921496726,Decide Centro,ALAgencia,48000
950257431712751,México Desigual,Jesus Manuel Martinez Diaz,48000
1741178926212929,El Observador MX,El Observador MX,47421
103749248038035,La Voz de México,ALAgencia,47050
933521593375115,El Informal de Baja California,El Informal de Baja California,44334
101671294918962,Kwai-SA-dance,These ads ran without a disclaimer,39980
101385498438861,ElObservadorBC,El Observador BC,39919
407868429421487,Juan Manuel Hernández Niebla,Juan Manuel Hernández Niebla,37616
617425284939463,Elí Topete,Fernando Cruz Rocha,36015
648000768561164,Consejo Ciudadano de Seguridad Pública de Baja California,Consejo Ciudadano de Seguridad Pública de Baja California,34519
109811393861066,PAN BC,Partido Acción Nacional Baja California,33641
1667417456701228,Porfirio Muñoz Ledo,Porfirio Muñoz Ledo,32934
1384134174966740,La Estampa de México,La Estampa de México,31497
108819392526809,Partido Acción Nacional,Partido Acción Nacional,28811
772299392934195,El Zorro Fronterizo,El Zorro Fronterizo,26942
