Page ID,Page Name,Disclaimer,Amount Spent (MXN)
837607596288104,Eliseo Fernández Montufar,Community Manager,270643
372224370263707,Tendencias Campeche,Tendencias Campeche,163714
288143921799948,H Ayuntamiento de Campeche,H. Ayuntamiento de Campeche,86835
118921468203786,Movimiento Ciudadano,Movimiento Ciudadano,36211
549504821882804,Óscar Rosas González,Ads Manager,28170
113264930412981,Kwai-SA-music,These ads ran without a disclaimer,17934
844457388935629,Jorge Alberto Nordhausen,Jorge Alberto Nordhausen Carrizales,17673
1848214921862587,Noticam,Noticam,17207
837607596288104,Eliseo Fernández Montufar,These ads ran without a disclaimer,16957
102485341170393,Portavoz Campeche,Portavoz Campeche,16604
671351789719351,Ricardo Medina Farfán,Ricardo Miguel Medina Farfan,15219
1288820221180692,Pepe Inurreta,Francisco Jose Inurreta Borges,13304
559173111279149,Carlos Miguel Aysa González,C MEDIA MANAGER,12301
465943094227509,El Blog del Malix,El Blog del Malix,11224
561348627320564,Rocío Abreu Artiñano,Rocío Abreu Artiñano,10964
149132555116580,Campeche.com.mx,Campeche.com.mx,10500
1911411035852329,Elecciones&Encuestas,Contacto Elecciones y Encuestas,10000
108819392526809,Partido Acción Nacional,Partido Acción Nacional,9882
100761531715441,Gobierno Municipal de Carmen,Socials Media,9725
146343176114312,Cecilia Sánchez García,Cecilia Margarita Sánchez García,8821
101671294918962,Kwai-SA-dance,These ads ran without a disclaimer,8584
264773293005,Marko Cortés,Marko Cortés,7686
1667417456701228,Porfirio Muñoz Ledo,Porfirio Muñoz Ledo,7473
1861550397441449,Revista32,Revista32,6976
1124749004318339,Biby Rabelo,Go Working,6489
115452255131465,Alejandro Moreno Cárdenas,Alejandro Moreno Cárdenas,6297
266649783981695,El Vocero de Campeche,El Vocero de Campeche,6202
549504821882804,Óscar Rosas González,These ads ran without a disclaimer,6097
561165674038436,Pedro Hernández Macdonald,Pedro Hernández Macdonald,5583
2406840252911801,MARIO para Morena,MARIO para Morena,5548
105776624592138,Megáfono,Megafono Carmen,5510
112436570506048,El Fuerte Campeche,EL FUERTE CAMPECHE,5300
180425288675416,Manuel Rodríguez González,Manuel Rodríguez González,5227
801673763367076,Carlos Cesar Jasso Rodríguez,Carlos Cesar Jasso Rodriguez,5168
288143921799948,H Ayuntamiento de Campeche,These ads ran without a disclaimer,5141
108575570895919,Carmelitas al día,Carmelitas al día,4877
