Page ID,Page Name,Disclaimer,Amount Spent (MXN)
113264930412981,Kwai-SA-music,These ads ran without a disclaimer,84212
101671294918962,Kwai-SA-dance,These ads ran without a disclaimer,48725
105365692831060,Instituto de Elecciones y Participación Ciudadana Chiapas,Adriana Bravo,31062
1667417456701228,Porfirio Muñoz Ledo,Porfirio Muñoz Ledo,23759
108426420902413,Kwai-SA-funny,These ads ran without a disclaimer,20332
108819392526809,Partido Acción Nacional,Partido Acción Nacional,16239
264773293005,Marko Cortés,Marko Cortés,16033
100725871681470,Kwai-SA-reallife,These ads ran without a disclaimer,15758
2406840252911801,MARIO para Morena,MARIO para Morena,13647
105810184525067,Chiapanecos unidos por el progreso,Martin Gomez Serrano,13203
142145835862894,IEXE Universidad,These ads ran without a disclaimer,12005
1588437514742285,Víctor Hugo Govea,Víctor Hugo Govea,11222
688172781386207,Azael Santiago Chepi,Azael Santiago Chepi,10676
831306856905783,Diario Tiempo México,Diario Tiempo México,10498
1812297282329742,Jorge Triana,Jorge Triana Tena,10496
2208069916170097,Roberto Rubio Montejo,Roberto Rubio Montejo,10272
410124705840504,SMAPA Tuxtla,Ayuntamiento Tuxtla Gutiérrez,10074
136574943594260,Eduardo Balcazar,Eduardo Boanerges Balcazar Castillo,9459
231205014943789,Desde abajo y con la gente,Desde abajo y con la gente,7866
145798969703997,Chiapas Sin Censura,Chiapas Sin Censura,7808
507647349636683,Morenación,Adsocial México,7709
136092926468080,PRI Oficial México,PRI Oficial México,7582
412632615830986,Sasil de León,Sasil de León,7560
544521892361553,"Secretaría de Seguridad Pública y Tránsito Municipal, Tuxtla Gutiérrez",Ayuntamiento Tuxtla Gutiérrez,7493
110829774107582,Sí Por México,Sí Por México,6825
1887957818092635,Secretaría de Obras Públicas Tuxtla Gutiérrez,Ayuntamiento Tuxtla Gutiérrez,6722
142145835862894,IEXE Universidad,IEXE Universidad,6575
103749248038035,La Voz de México,ALAgencia,6372
114024430364416,YoXmx,YoXmx,5824
492853084519289,Héctor Narváez MX,Hector Freddy Robaldi Narvaez,5666
113218720098550,Valor Financeiro,These ads ran without a disclaimer,5622
950257431712751,México Desigual,Arturo Vázquez Rodríguez,5560
206323119403212,Mario Delgado Carrillo,Mario Delgado Carrillo,5549
110320423807974,Latinus,Latinus,5528
1741178926212929,El Observador MX,El Observador MX,5520
102563811323201,Osvaldo Sandoval,Osvaldo Sandoval,5413
469925686738562,El Guardián,El Guardián,5348
186073704903313,México elige,México elige,5117
640697589424301,Víctor Fuentes Solís,Víctor Manuel Espíndola Villegas,5041
1104129429608620,Sonia Eloina Hernández Aguilar,Felipe Diaz Rivas,4949
114889085297701,Ricardo Anaya Cortés,Ricardo Anaya Cortés,4830
118921468203786,Movimiento Ciudadano,Movimiento Ciudadano,4514
133700114382,El Palacio de Hierro,These ads ran without a disclaimer,4361
108195787715529,Redes Tapachula,TapachulaMx.com,4106
1013139202203880,Polilogy,Polilogy,3934
365131753983556,Cora Pinedo Alonso,Cora Cecilia Pinedo Alonso,3833
338174139686776,Mauricio Kuri,Mauricio Kuri,3774
573481516387522,Likee español,These ads ran without a disclaimer,3768
459633917507063,El Periodista MX,Hector Freddy Robaldi Narvaez,3701
115452255131465,Alejandro Moreno Cárdenas,Alejandro Moreno Cárdenas,3549
63635808800,Mario Zamora Gastelum,Mario Zamora Gastelum,3366
96637444189,Embajada Estados Unidos en México,These ads ran without a disclaimer,3204
138506541505,INE México,INE México,3193
318951102340226,Salud Justa Mx,Salud Justa Mx,3168
