Page ID,Page Name,Disclaimer,Amount Spent (MXN)
848008481893903,Cruz Pérez Cuéllar,Cruz Pérez Cuéllar,343587
273180862709870,PERIÓDICO JUÁREZ HOY,PERIÓDICO JUÁREZ HOY,221219
574409139374950,Alfredo Lozoya,Alfredo Lozoya,219728
636616453626425,Crónica del Norte,Arturo Vázquez Rodríguez,179628
435671773140069,Roberto Lara Rocha,Roberto Lara Rocha,161454
1117222281664997,Gobierno Municipal de Chihuahua,Gobierno Municipal de Chihuahua,149638
639300266697863,Sol del Norte,Arturo Vázquez Rodríguez,128938
109173420774938,De gente común.com,De Gente Común,128000
121865181342631,Juárez a Diario,Juárez a Diario,120937
315635228543095,Adriana Fuentes Téllez,Tend,120342
113322233649553,Hugo Aguirre García,Hugo Aguirre Garcia,116730
118921468203786,Movimiento Ciudadano,Movimiento Ciudadano,104423
113264930412981,Kwai-SA-music,These ads ran without a disclaimer,82821
335598899895433,Luis Aguilar,Luis Aguilar,78288
639300266697863,Sol del Norte,Redacción Sol del Norte,71614
393851270632362,Maru Campos Galván,Gobierno Municipal de Chihuahua,67830
636616453626425,Crónica del Norte,Crónica del Norte,65564
831306856905783,Diario Tiempo México,Diario Tiempo México,62972
172266159454352,Gustavo Madero,Gustavo Madero,54201
1522195418029530,Político MX,Político.mx,47642
393851270632362,Maru Campos Galván,Maru Campos Galván,44581
207419256255720,Jorge Soto,Jorge Soto,43229
1665047283579389,24/7 365 noticias,Logística Digital,42158
108819392526809,Partido Acción Nacional,Partido Acción Nacional,41006
460436987319985,Diputados Ciudadanos,Grupo Parlamentario de Movimiento Ciudadano en la Cámara de Diputados,36957
950257431712751,México Desigual,México Desigual,36067
101671294918962,Kwai-SA-dance,These ads ran without a disclaimer,35587
101507011573368,Carmen Almeida Navarro,Ruth Verónica Barreto Merino,35466
104272638012957,Más por Chihuahua,Más por Chihuahua,33790
1667417456701228,Porfirio Muñoz Ledo,Porfirio Muñoz Ledo,33737
815584061873097,Jesús Valenciano,Jesús Valenciano,32922
133056480769,Gobierno del Estado de Chihuahua,Coordinación de Comunicación Social del Gobierno del Estado de Chihuahua,31821
211358622680390,El Heraldo de México,These ads ran without a disclaimer,30575
264773293005,Marko Cortés,Marko Cortés,28206
347050702310517,Alfredo Chavez,Alfredo Chávez,23976
208032075884221,Mario Mata Carrasco,Mario Mata Carrasco,23528
636015047036720,México Decide,México Decide,23291
368241933670865,Miguel La Torre Sáenz,Sokolabs,23192
109193504243629,Encuestas MX,Logística Digital,20689
427408934120209,Amin Anchondo,Jessica Gonzalez,20163
382482699009912,Periodismo Mexicano,Estrategia Social,19036
161578186006,Plan Estratégico de Juárez,Plan Estratégico de Juárez,18403
1972100996351855,Ulises García,Ulises García,16998
2011285802526787,El Soberano,El Soberano,16901
108426420902413,Kwai-SA-funny,These ads ran without a disclaimer,16705
236497390731999,Municipios y Alcaldes,Logística Digital,16390
100950545035684,Mujeres En La Política,Logística Digital,15911
1812297282329742,Jorge Triana,Jorge Triana Tena,15787
2406840252911801,MARIO para Morena,MARIO para Morena,14457
280927511972014,La Orquesta,La Orquesta,14381
100725871681470,Kwai-SA-reallife,These ads ran without a disclaimer,14207
315635228543095,Adriana Fuentes Téllez,Adriana Fuentes Téllez,14162
1406178929453999,Trabajando Juntos  Delicias,GOBIERNO MUNICIPAL DE DELICIAS,14059
1588437514742285,Víctor Hugo Govea,Víctor Hugo Govea,13890
361036630742937,La Política Online MX,La Política Online MX,13884
254609218210695,Ariel Fernandez,David Parra Carrasco,13592
142145835862894,IEXE Universidad,These ads ran without a disclaimer,12855
142145835862894,IEXE Universidad,IEXE Universidad,12405
280339495433290,Miguel Riggs,Miguel Riggs,12065
470975712993516,Somos PRI,Estrategia Social,11683
109183061004952,Informe de Juárez,Informe de Juárez,11553
102864378311529,Hoy en Chihuahua,Hoy en Chihuahua,11100
110829774107582,Sí Por México,Sí Por México,10913
368241933670865,Miguel La Torre Sáenz,Adrian Abraham Treviño Barron,10700
1545555582174942,TResearch,Carlos Penna Charolet,9989
157285634736770,Marco Bonilla,Marco Antonio Bonilla Mendoza,9879
204990366707743,Café Ciudadano,Carlos Yair Castro Reyes,9818
109854164270687,Cd. Juárez noticias,Juárez Noticias,9694
1856486611250925,Marisela Terrazas Muñoz,Folklore,9631
267018783320418,Democrats Abroad Mexico,Democrats Abroad,8972
164467527595160,Geo Bujanda,Georgina Alejandra Bujanda Rios,8917
273180862709870,PERIÓDICO JUÁREZ HOY,These ads ran without a disclaimer,8826
112568420313291,Rafael Espino,These ads ran without a disclaimer,8800
114889085297701,Ricardo Anaya Cortés,Ricardo Anaya Cortés,8793
138506541505,INE México,INE México,8706
1911411035852329,Elecciones&Encuestas,Contacto Elecciones y Encuestas,8498
338174139686776,Mauricio Kuri,Mauricio Kuri,8412
1741178926212929,El Observador MX,El Observador MX,8391
318951102340226,Salud Justa Mx,Salud Justa Mx,8118
114024430364416,YoXmx,YoXmx,8041
390641737962416,Ichitaip,Omar Alonso Mares Lopez,8038
507647349636683,Morenación,Adsocial México,8033
231205014943789,Desde abajo y con la gente,Desde abajo y con la gente,7621
307214659617108,Hugo González,Hugo E Gonzalez,7580
1545555582174942,TResearch,TResearch,7527
950257431712751,México Desigual,Arturo Vázquez Rodríguez,6971
640697589424301,Víctor Fuentes Solís,Víctor Manuel Espíndola Villegas,6656
100341788392641,Intelipoll,Intelipoll,6614
329834294434989,Juárez Digital,Juárez Digital,6510
298140896258,IEE Chihuahua,Oksana Volchanskaya,6274
579610005386051,Anapromex Oficial,Anapromex Oficial,6187
100574974860275,Oscar Barraza,Rubén Acosta Bustillos,6064
254609218210695,Ariel Fernandez,Ariel Fernandez,5893
110320423807974,Latinus,Latinus,5890
1013139202203880,Polilogy,Polilogy,5787
186073704903313,México elige,México elige,5706
131841954183657,Rosy Gaytán,Rosa Gaytán Díaz,5656
133700114382,El Palacio de Hierro,These ads ran without a disclaimer,5505
157285634736770,Marco Bonilla,These ads ran without a disclaimer,5393
1042408102454839,Esther Mejia,Esther Mejia,5256
100867376619769,Xóchitl Gálvez Ruiz,Xóchitl Gálvez Ruiz,5219
136092926468080,PRI Oficial México,PRI Oficial México,5019
407894373329897,Acta Diurna,Estrategia Social,5000
2091732304477564,Senadores Ciudadanos,Grupo Parlamentario de Movimiento Ciudadano en el Senado de la República,4736
1740732592848053,Frases Para El Alma,Ta-Da,4734
