Page ID,Page Name,Disclaimer,Amount Spent (MXN)
140700096019389,Luis Fernando Salazar Fernández,Cada Día Un Mensaje,392905
140700096019389,Luis Fernando Salazar Fernández,Luis Fernando Salazar,303767
520075024716940,Movimiento Ciudadano Coahuila,Movimiento Ciudadano Coahuila,133663
107861034380925,Dr. Anastacio Márquez,UDC - Unidad Democrática de Coahuila,120886
164119290359519,Marcelo Torres Cofiño,Marcelo Torres Cofiño,119783
153947391339205,Manolo Jiménez Salinas,Equipo MJ,112151
354715814963697,Gerardo Aguado Gómez,Gerardo Aguado Gómez,99761
138506541505,INE México,INE México,94910
108281881056499,Luis Fernando Salazar,Luis Fernando Salazar Fernandez,71572
1024449434274133,Partido Verde Coahuila,Partido Verde Ecologista de México,71323
664379213703876,Poncho Danao,Adrian de la Peña Villareal,65705
110297290562488,Felipe Maycotte Reyes,Partido Verde Ecologista de México,64961
113264930412981,Kwai-SA-music,These ads ran without a disclaimer,64604
100802831514881,Claudia Rodríguez,Partido Verde Ecologista de México,62610
105922857734079,Las Noticias,Las Noticias,53344
584681978863918,Lily Leal,Partido Verde Ecologista de México,51499
165492000632018,Fernando Izaguirre,Fernando Izaguirre Valdés,50278
888862754470271,Fher Villarreal,Partido Verde Ecologista de México,47987
837850536243904,UDC - Unidad Democrática de Coahuila,UDC - Unidad Democrática de Coahuila,46978
187594175156005,César Menchaca,UDC - Unidad Democrática de Coahuila,46414
118921468203786,Movimiento Ciudadano,Movimiento Ciudadano,45118
102903394656386,María Bárbara Cepeda Boehringer,brechacomunicacion,43804
103804164602374,Maru Calderón,Brecha Comunicación,43758
111565000434631,Diana Mendoza Tamez,Partido Verde Ecologista de México,42938
108596299163827,Jericó Abramo Masso,Jericó Abramo Masso,42678
1160826833951193,Roberto De Los Santos Vazquez,Juan Jaime Escamilla Adame,40351
391520257674113,Ricky ShowMen,Partido Verde Ecologista de México,40168
111843677307845,Pablo Ortega,Partido Verde Ecologista de México,39500
313887855289216,Jorge Zermeño Infante,Jorge Zermeño Infante,39447
114980973653490,Juan Carlos Constante,Partido Verde Ecologista de México,38267
101001864853145,Claudia Leza,Partido Verde Ecologista de México,37927
1667417456701228,Porfirio Muñoz Ledo,Porfirio Muñoz Ledo,37881
113685655793633,Chuy de León,Chuy de León,36505
148091309104545,Victor Santibañez Noé,Partido Verde Ecologista de México,35337
101278268153803,Checo Hernandez Sainz,Sergio Hernandez Sainz,35112
1977832929128002,Angel Emmanuel Gutiérrez,Angel Emmanuel Gutiérrez,34319
103205274624484,Raúl Tamez,Partido Verde Ecologista de México,34001
960429197405377,Charlotte González,Partido Verde Ecologista de México,33454
106239714334157,Amal Esper,Amal Esper,32737
3007438336063724,Liz Inungaray,Partido Verde Ecologista de México,32500
105417047514432,Martha Loera Arambula,Brecha Comunicación,32300
641374159813984,Yolanda Elizondo Maltos,UDC - Unidad Democrática de Coahuila,31672
236349593718788,Jesús María Montemayor Garza,Brecha Comunicación,31447
101671294918962,Kwai-SA-dance,These ads ran without a disclaimer,30630
1261892840558050,Esperanza Chapa García,Brecha Comunicación,30133
349170969021130,El Incorregible,El Incorregible,30002
544071485766097,Instituto Electoral de Coahuila.,Instituto Electoral de Coahuila.,28615
2165258353743924,Coahuila al Momento,Al Momento Noticias,27309
264060497093390,Shamir Fernández Hernández,Brecha Comunicación,26647
109186150909777,Valeria Mata,Partido Verde Ecologista de México,26571
156766204997517,Sonia Anel Perez,UDC - Unidad Democrática de Coahuila,26289
108634880782537,Lic. Ricardo Lopez Campos,Brecha Comunicación,26142
104539061350300,Thali Treviño,Partido Verde Ecologista de México,26000
2370906633189265,Raul Sosa,Raúl Abraham Sosa Vega,25859
110297290562488,Felipe Maycotte Reyes,Felipe Maycotte,25066
107961564371340,Ernesto Valenciana,Ernesto Valenciana,24397
1908715999353140,A Tiempo.Tv,A Tiempo.Tv,24318
113502446965498,Anna Tamez,Ana Rosa Martínez Tamez,24289
