Page ID,Page Name,Disclaimer,Amount Spent (MXN)
636015047036720,México Decide,México Decide,55105
682427185183797,De Política y Algo Más.,De Política y Algo Más.,51556
342020912961614,Claudia Yáñez Centeno,Claudia Valeria Yañez Centeno Y Cabrera,49337
629587274332990,Despierta el Bajío,Despierta el Bajío,43570
118921468203786,Movimiento Ciudadano,Movimiento Ciudadano,36413
1424369637876973,Joel Padilla,Ivan Emiliano Padilla Bustamante,32500
123603761060511,José Ignacio Peralta Sánchez,Gobierno Colima,25931
629587274332990,Despierta el Bajío,Arturo Vázquez Rodríguez,23000
113264930412981,Kwai-SA-music,These ads ran without a disclaimer,17390
1911411035852329,Elecciones&Encuestas,Arturo Vázquez Rodríguez,15000
1911411035852329,Elecciones&Encuestas,Jesus Manuel Martinez Diaz,15000
353057395183135,Paco Rodriguez,Paco Rodriguez,14429
1911411035852329,Elecciones&Encuestas,Contacto Elecciones y Encuestas,13825
950257431712751,México Desigual,Arturo Vázquez Rodríguez,13648
106045264321266,Acompáñala con Amor,Whysers,12521
454599594630192,Fernando Antero,Fernando Antero,12410
743088302422856,Locho Morán,Leoncio Alfonso Morán Sanchez,11321
342020912961614,Claudia Yáñez Centeno,Jazmin Adriana Lopez Yáñez Centeno,9899
222269084649681,Avanzada Diario,Juan Gabriel Moctezuma Castellanos,9412
108819392526809,Partido Acción Nacional,Partido Acción Nacional,8348
2011285802526787,El Soberano,El Soberano,8319
745228515677611,Alcalde Miguel Íñiguez,Tacto Consultores,8137
788259974584583,Rafael Mendoza,Rafael Mendoza Godinez,7957
2288454108036309,Voz Libre Noticias,Voz Libre Noticias,7592
101671294918962,Kwai-SA-dance,These ads ran without a disclaimer,7033
1667417456701228,Porfirio Muñoz Ledo,Porfirio Muñoz Ledo,6744
235884926455769,H Ayuntamiento de Colima,Saúl Cárdenas Coria,6619
264773293005,Marko Cortés,Marko Cortés,6234
848807328488687,Indira Vizcaíno,Rosita Quesada Carrillo,5966
460436987319985,Diputados Ciudadanos,Grupo Parlamentario de Movimiento Ciudadano en la Cámara de Diputados,5662
1617098015207541,Colima Al Día,Colima Al Día,5573
818696888184165,Carlos Olivar,Carlos Jesus Olivar Sánchez,5361
