Page ID,Page Name,Disclaimer,Amount Spent (MXN)
191231480284,Gobierno de la Ciudad de México,Gobierno de la Ciudad de México,1826125
113264930412981,Kwai-SA-music,These ads ran without a disclaimer,338680
1505965219699374,Salomón Chertorivski,Salomón Chertorivski,271093
113493108666990,Gobierno del Estado de México,GobiernoEdoMéx,260676
118921468203786,Movimiento Ciudadano,Movimiento Ciudadano,246932
101671294918962,Kwai-SA-dance,These ads ran without a disclaimer,139285
191231480284,Gobierno de la Ciudad de México,These ads ran without a disclaimer,104091
108819392526809,Partido Acción Nacional,Partido Acción Nacional,98955
427137767353498,Clemente Castañeda,Movimiento Ciudadano,94892
101130375043528,Buenas Noticias México,Buenas Noticias,89207
1545555582174942,TResearch,Carlos Penna Charolet,85255
1667417456701228,Porfirio Muñoz Ledo,Porfirio Muñoz Ledo,79469
108426420902413,Kwai-SA-funny,These ads ran without a disclaimer,69280
142145835862894,IEXE Universidad,These ads ran without a disclaimer,67262
460436987319985,Diputados Ciudadanos,Grupo Parlamentario de Movimiento Ciudadano en la Cámara de Diputados,64826
396444003758482,Alcaldía Tlalpan,Alcaldía Tlalpan,63767
102557481586830,Alejandro Pérez Corzo,Alejandro Daniel Perez Corzo,62047
1522195418029530,Político MX,Político.mx,56966
208889643060921,Krishna Romero,Krishna Karina Romero Velazquez,53869
1812297282329742,Jorge Triana,Jorge Triana Tena,52607
171435049569865,Victor Hugo Romo de Vivar,Victor Hugo Romo Guerra,51269
190668524446719,Cuauhtémoc Blanco,Gobierno Estado de Morelos,50000
2091732304477564,Senadores Ciudadanos,Grupo Parlamentario de Movimiento Ciudadano en el Senado de la República,46247
142145835862894,IEXE Universidad,IEXE Universidad,45427
450229428486575,Enrique de la Rosa,Enrique De La Rosa Luna Parra,45427
264773293005,Marko Cortés,Marko Cortés,44953
950257431712751,México Desigual,Arturo Vázquez Rodríguez,43622
101130375043528,Buenas Noticias México,Viviana Caravantes Nieto,42410
100725871681470,Kwai-SA-reallife,These ads ran without a disclaimer,41511
1464544813804642,Policía Ciudad de México,These ads ran without a disclaimer,40668
282554605481439,Selina,These ads ran without a disclaimer,38872
229694740419506,Secretaría de Obras y Servicios de la Ciudad de México,These ads ran without a disclaimer,36766
2406840252911801,MARIO para Morena,MARIO para Morena,36483
628482797517617,Democracia Moderna,Democracia Moderna,36310
349170969021130,El Incorregible,El Incorregible,35535
705231336167762,Entérate MX,Ciudad Capital,34583
