Page ID,Page Name,Disclaimer,Amount Spent (MXN)
140700096019389,Luis Fernando Salazar Fernández,Cada Día Un Mensaje,142013
484623461576046,Gobierno del Estado de Durango,Gobierno del Estado de Durango,119840
109927953731014,Periódico La Justicia,Periódico La Justicia,100718
164119290359519,Marcelo Torres Cofiño,Marcelo Torres Cofiño,87916
118921468203786,Movimiento Ciudadano,Movimiento Ciudadano,36916
104990037607651,Las Noticias - Durango,Las Noticias Durango,35727
113264930412981,Kwai-SA-music,These ads ran without a disclaimer,32866
1427227110883812,Periódico Razacero,Periódico Razacero,30993
484623461576046,Gobierno del Estado de Durango,These ads ran without a disclaimer,28253
143772822457780,Ivan Gurrola Vega,Ivan Gurrola Vega,26643
105922857734079,Las Noticias,Las Noticias,25071
101671294918962,Kwai-SA-dance,These ads ran without a disclaimer,16705
1667417456701228,Porfirio Muñoz Ledo,Porfirio Muñoz Ledo,16100
108819392526809,Partido Acción Nacional,Partido Acción Nacional,16069
140700096019389,Luis Fernando Salazar Fernández,Luis Fernando Salazar,15435
1635547433336430,En Vivo Durango,Iván Soto Hernández,15380
1081777302000323,Plattafforma,Olga Ramirez,14681
910268985780024,Municipios Durango,Cesar Antonio Gaytan Gallegos,13929
264773293005,Marko Cortés,Marko Cortés,12615
1702046170035361,Rigo Quiñonez,Rigoberto Quiñonez Samaniego,11449
416644445472739,Marina Vitela,Marina Vitela,11405
107637393952545,Regidores PT Durango,Marcos Oliver Sanchez Romero,10837
110402150604275,República MX,República MX,9244
349170969021130,El Incorregible,El Incorregible,8498
110683937229652,Comunicación PT Durango,Partido del Trabajo Durango,8199
108426420902413,Kwai-SA-funny,These ads ran without a disclaimer,7436
107961564371340,Ernesto Valenciana,UDC - Unidad Democrática de Coahuila,7122
1588437514742285,Víctor Hugo Govea,Víctor Hugo Govea,6326
1879314315418662,Felipe Hernández Orona,Felipe de Jesus Hernández Orona,6315
113922417016785,Armando Del Río,UDC - Unidad Democrática de Coahuila,6224
113996153762444,César Augusto Urueta,UDC - Unidad Democrática de Coahuila,6212
1812297282329742,Jorge Triana,Jorge Triana Tena,6191
460436987319985,Diputados Ciudadanos,Grupo Parlamentario de Movimiento Ciudadano en la Cámara de Diputados,6106
2406840252911801,MARIO para Morena,MARIO para Morena,6055
2002151446521696,Maribel Aguilera Diputada,Luis Carlos Villarreal Gil,5921
100725871681470,Kwai-SA-reallife,These ads ran without a disclaimer,5723
113685655793633,Chuy de León,Chuy de León,5524
354715814963697,Gerardo Aguado Gómez,Gerardo Aguado Gómez,5407
322576888209013,Primitivo Ríos PT,Marcos Oliver Sanchez Romero,4724
138506541505,INE México,INE México,4662
186677311847724,Maru Cazares,Maru Cazares,4438
129545527725771,Homero Martinez Cabrera,Homero Martinez Cabrera,4435
110829774107582,Sí Por México,Sí Por México,4206
211193332422899,Diputado Edgar Sánchez Garza,Edgar Gerardo Sanchez Garza,4050
142145835862894,IEXE Universidad,These ads ran without a disclaimer,3954
831306856905783,Diario Tiempo México,Diario Tiempo México,3731
1861550397441449,Revista32,Revista32,3686
1502837176630071,Ángulo Informativo,Ángulo Informativo,3482
114889085297701,Ricardo Anaya Cortés,Ricardo Anaya Cortés,3435
231205014943789,Desde abajo y con la gente,Desde abajo y con la gente,3299
950257431712751,México Desigual,Arturo Vázquez Rodríguez,3296
114024430364416,YoXmx,YoXmx,3213
1078127152394692,Carlos Medina Alemán,Carlos Francisco Medina Aleman,3001
266763400088630,Arturo Yañez Cuellar,Guerrilla Lab,3000
109231034125795,El Incorregible,El Incorregible,3000
1099369196805801,Gobierno Municipal de Pueblo Nuevo 2019 - 2022,Sarah Michelle Favela Reveles,2993
318951102340226,Salud Justa Mx,Salud Justa Mx,2982
640697589424301,Víctor Fuentes Solís,Víctor Manuel Espíndola Villegas,2966
108596299163827,Jericó Abramo Masso,Jericó Abramo Masso,2908
1741178926212929,El Observador MX,El Observador MX,2899
507647349636683,Morenación,Adsocial México,2807
106012087759697,Noticias al Norte,Las Noticias,2745
133700114382,El Palacio de Hierro,These ads ran without a disclaimer,2709
338174139686776,Mauricio Kuri,Mauricio Kuri,2671
1700569726692408,Nacho Corona,José Corona,2662
264060497093390,Shamir Fernández Hernández,Gabriel Francisco Pedro,2559
110320423807974,Latinus,Latinus,2548
107329881113664,Ciudadano Gobernante Hidalgo,Ciudadano Gobernante,2539
107615907597218,El Regreso de Francisco Zarco,Periódico La Justicia,2539
114334086978029,Cronica Digital,Crónica Digital,2332
102099001452432,Morena es de Todos,ViveMx,2318
102089924933600,Alejandro Venegas,Mariana Veloz,2257
186073704903313,México elige,México elige,2153
1398099497108563,Angela Campos,Angela Campos Garcia,2106
105454884564941,Andrea Chávez,Andrea Chávez Ortiz,2094
106689154036997,Gobierno Municipal Lerdo,Gobierno Municipal Lerdo,2080
136092926468080,PRI Oficial México,PRI Oficial México,2008
100867376619769,Xóchitl Gálvez Ruiz,Xóchitl Gálvez Ruiz,2005
142594496464952,Dip. Claudia Dominguez,Jose Urbano Martínez Contreras,2004
106435024341513,Blanca Alvarez,Mariana Veloz,1995
113218720098550,Valor Financeiro,These ads ran without a disclaimer,1914
100828294614620,Saniestacion,Josué Hernández Alvarez,1906
2091732304477564,Senadores Ciudadanos,Grupo Parlamentario de Movimiento Ciudadano en el Senado de la República,1894
285425575555989,Hugo Dávila,Brecha Comunicación,1869
1545555582174942,TResearch,Carlos Penna Charolet,1857
1013139202203880,Polilogy,Polilogy,1809
1989386697977287,Cristal Pelayo,Cristal Pelayo Rodríguez,1781
102542454680516,Lupita Oyervides,Brecha Comunicación,1756
112144857010415,El Futuro de México,These ads ran without a disclaimer,1750
267018783320418,Democrats Abroad Mexico,Democrats Abroad,1747
365131753983556,Cora Pinedo Alonso,Cora Cecilia Pinedo Alonso,1674
124631600949535,Yo Influyo,YoXmx,1639
485791571601747,Carlos Pavón Campos,Carlos Pavón Campos,1598
146568692144740,Senadores del PAN,Senadores del PAN,1540
310617808978370,Fito Bonilla,Fito Bonilla,1538
362696157552059,Emmanuel David Reyes Hernández,Emmanuel David Reyes Hernandez,1520
206323119403212,Mario Delgado Carrillo,Mario Delgado Carrillo,1520
129545527725771,Homero Martinez Cabrera,Miguel Angel Breceda Ramirez,1514
1637462289838029,Diputados Morena,Diputados Morena,1496
63635808800,Mario Zamora Gastelum,Mario Zamora Gastelum,1461
486874298090763,Periódico Victoria De Durango,These ads ran without a disclaimer,1431
388480574684517,Yamile Muñoz,UDC - Unidad Democrática de Coahuila,1359
115182628517428,PLAYERS of Life - Revista: Torreon,Grupo PLAYERS,1351
100508271775327,Edmundo Ramos Davila,David Ariel García Portillo,1321
486874298090763,Periódico Victoria De Durango,Wendy Yajaira Villarreal Nájera,1310
1522195418029530,Político MX,Político.mx,1287
101171214850717,Trabajando Avanzamos Mas,Trabajando Avanzamos Mas,1240
105509814621234,María Beatriz Granillo Vázquez,María Beatriz Granillo Vázquez,1222
103821621408670,Secretaría de Créditos Personales,These ads ran without a disclaimer,1206
142145835862894,IEXE Universidad,IEXE Universidad,1195
108163157488971,Javier Castrellón,ALAgencia,1173
2260070977608699,Revista Maat,Revista Maat,1156
110148773790832,Beto Arias,Alberto Arias Medrano,1126
323351798154535,Olivia Martínez Leyva,Brecha Comunicación,1119
333932057250036,Alejandro Rojas Díaz Durán,ARDD,1118
2673476036015576,Paco Bueno,Juan Francisco Bueno Flores,1114
108542504243906,Eduardo Monreal,Eduardo Monreal Castillo,1074
196705420663884,Código Magenta,Código Magenta,1073
593836767425444,Universidad Americana de Europa - UNADE,These ads ran without a disclaimer,1062
113883320347258,El Documentalista,Amir Saadi Gonzalez Sanchez,1000
333932057250036,Alejandro Rojas Díaz Durán,PM,1000
469925686738562,El Guardián,El Guardián,981
1478870689056272,Ali Gamboa,Sarah Michelle Favela Reveles,980
129116715379616,La Lotería Del Pueblo,Hugo Junco Olvera,966
561423447294302,José Ángel Beltrán,Jose Luis Carranza Ruiz,950
573481516387522,Likee español,These ads ran without a disclaimer,947
115452255131465,Alejandro Moreno Cárdenas,Alejandro Moreno Cárdenas,939
306197123159630,Instituto Nancy Campbell,These ads ran without a disclaimer,929
124631600949535,Yo Influyo,Yo Influyo,922
116437828394342,Phiten Mexico,Phiten Mexico,918
1420596421583045,José Narro Céspedes,José Narro Céspedes,908
427408934120209,Amin Anchondo,Jessica Gonzalez,900
18523396549,The Church of Jesus Christ of Latter-day Saints,These ads ran without a disclaimer,887
107495644335667,Humberto Famanía,Isai Salinas López,884
1933205943628352,Desdelaizquierda,Desdelaizquierda,882
101540994725549,Bertin Arias.,Jose Isidro Bertin Arias Medrano,881
106719210932815,Astro Del Norte,Astro Del Norte,865
103562608143075,,Judith Crispin,837
109193504243629,Encuestas MX,Logística Digital,819
100651065098530,Jaime Antonio Gutiérrez de simone,David Ariel García Portillo,804
233652128065243,Goberna México,Goberna,802
113611746676129,Cristian López,Cristian Manuel,793
213693228664478,Cámara de Diputados - H. Congreso de la Unión,Cámara de Diputados - H. Congreso de la Unión,790
102835278227986,Gobierno de Mezquital,Francisco Aldaba,779
682495965205930,Toño Ochoa,These ads ran without a disclaimer,775
100706211752106,Bienestar Financiera SA,These ads ran without a disclaimer,773
102997974732481,Pandamex,M Zambrano,770
116413566857665,La Gaceta del Movimiento,La gaceta del movimiento,767
122154061801959,Colectivo Mujeres Cabeza de Familia,YXMEX,755
1977832929128002,Angel Emmanuel Gutiérrez,Angel Emmanuel Gutiérrez,754
895938283870406,Democrats Abroad - Mexico City Chapter,Democrats Abroad Mexico,753
240666746557266,Jaime Cleofas Martínez Veloz,Jaime Cleofas Martínez Veloz,748
144969959396436,Jonathan Avalos Rodríguez,Jonathan Avalos Rodriguez,736
1446004195656918,PAN Coahuila,PAN Coahuila,736
