Page ID,Page Name,Disclaimer,Amount Spent (MXN)
180533315991,Guanajuato Gobierno del Estado,Difraxion Group,391509
437088163017257,Secretaría de Salud de Guanajuato,RutaDigital,133014
180533315991,Guanajuato Gobierno del Estado,Ads Project Media,116056
113264930412981,Kwai-SA-music,These ads ran without a disclaimer,111798
437088163017257,Secretaría de Salud de Guanajuato,Difraxion Group,87500
2080742535476556,"Secretaría de Finanzas, Inversión y Administración",Ads Project Media,84947
1530258963929837,Gobierno Municipal Guanajuato,Ads Project Media,68419
106931184276457,El Bajío,El Bajío,58591
192366194179807,León Municipio,Ads Project Media,55806
101671294918962,Kwai-SA-dance,These ads ran without a disclaimer,55395
208742852603725,Secretaría de la Transparencia y Rendición de Cuentas,Ads Project Media,52224
108819392526809,Partido Acción Nacional,Partido Acción Nacional,50495
110402150604275,República MX,República MX,47138
505132912869455,Instituto Guanajuatense para las Personas con Discapacidad,Ads Project Media,46047
1434468276774349,Educafin-Sube,Ads Project Media,44999
124047777702377,Secretaría de Gobierno de Guanajuato,Difraxion Group,42841
1667417456701228,Porfirio Muñoz Ledo,Porfirio Muñoz Ledo,40270
113573477135935,Servicio de Administración Tributaria del Estado de Guanajuato,Ads Project Media,39441
1068096853205084,Ale "Wera" Reynoso,Ale "Wera" Reynoso,34816
1545555582174942,TResearch,Carlos Penna Charolet,33649
948352998623812,Local,Local,33488
264773293005,Marko Cortés,Marko Cortés,33311
646954005425552,Movimiento Ciudadano Guanajuato,Movimiento Ciudadano Guanajuato,29699
108947062562531,Victor Zanella Huerta,Víctor Manuel Zanella Huerta,29478
132540460270954,Procuraduría Ambiental y de Ordenamiento Territorial de Guanajuato - PAOT,Ads Project Media,28448
968604966532244,Gobierno Municipal de San Miguel de Allende,Gobierno Municipal de San Miguel de Allende,27703
107365647587339,Procuraduría de los Derechos Humanos del Estado de Guanajuato,AdsProject Media,26000
108426420902413,Kwai-SA-funny,These ads ran without a disclaimer,25572
289568107808375,UVEG Universidad Virtual del Estado de Guanajuato,Ads Project Media,24335
400424903426385,SIMAPAG Guanajuato,Ads Project Media,24016
405824826113969,IEEG Instituto Electoral del Estado de Guanajuato,IEEG Instituto Electoral del Estado de Guanajuato,21930
399168550507320,Mujeres en Movimiento Guanajuato,Movimiento Ciudadano Guanajuato,21106
207938732594991,Congreso del Estado de Guanajuato,Inicia Publicidad,21032
2406840252911801,MARIO para Morena,MARIO para Morena,20983
1588437514742285,Víctor Hugo Govea,Víctor Hugo Govea,19779
1812297282329742,Jorge Triana,Jorge Triana Tena,19657
148180912630259,Jorge Luis Montes Nieves,Jorge Luis Montes Nieves,19315
100473190305033,Silao Municipio,Silao Municipio,19123
141231709227675,"Estado de Guanajuato, México",Ads Project Media,18999
707791509334451,Alejandra Gutiérrez,Alejandra Gutiérrez,18902
776394102389077,Secretaría de Seguridad Pública del Estado de Guanajuato,Difraxion Group,18900
100725871681470,Kwai-SA-reallife,These ads ran without a disclaimer,17431
270919281867,Iplaneg,Difraxion Group,17366
112637797225383,Lánzate por Guanajuato,Lánzate por Guanajuato A.C.,17273
1541233762798750,Dr. Éctor Jaime Ramírez Barba,Éctor Jaime Ramírez Barba,16854
831306856905783,Diario Tiempo México,Diario Tiempo México,14073
106045264321266,Acompáñala con Amor,Whysers,14070
142145835862894,IEXE Universidad,These ads ran without a disclaimer,13928
156159525201816,La Noticia al Punto,La Noticia al Punto,13855
110829774107582,Sí Por México,Sí Por México,13316
114024430364416,YoXmx,YoXmx,12547
115548673334557,Jade i Cook,These ads ran without a disclaimer,12433
437088163017257,Secretaría de Salud de Guanajuato,These ads ran without a disclaimer,12335
515187618883015,Gabo Salazar,Gabriel Alan Salazar Soto,12139
108650577546771,Guanajuato al Día,Adrian Mateos Rojas,11638
862912427103444,Ricardo Ortiz Gutiérrez,Lessiel Yolanda Rodriguez Barajas,10971
1537194656534195,Antares Vázquez Alatorre,Extendrix,10500
108593194242343,De Asís,Renata Sánchez Ortiz,10305
114889085297701,Ricardo Anaya Cortés,Ricardo Anaya Cortés,10279
318951102340226,Salud Justa Mx,Salud Justa Mx,10053
360052734187714,Dr. Juan José García,Juan José García Lopez,10033
507647349636683,Morenación,Adsocial México,10015
231205014943789,Desde abajo y con la gente,Desde abajo y con la gente,9545
456600308169797,Secretaría de Gobierno del Estado de Querétaro,GRUPO VALPI,9399
338174139686776,Mauricio Kuri,Mauricio Kuri,9268
1153506821360760,Ojo3,Ojo3,9140
1741178926212929,El Observador MX,El Observador MX,9017
118921468203786,Movimiento Ciudadano,Movimiento Ciudadano,8927
458070297649993,El Pípila.mx,El Pípila.mx,8724
950257431712751,México Desigual,Arturo Vázquez Rodríguez,8668
110320423807974,Latinus,Latinus,8532
1573850322843402,Christian Cruz,Reed Multimedia,8493
460436987319985,Diputados Ciudadanos,Grupo Parlamentario de Movimiento Ciudadano en la Cámara de Diputados,8202
133700114382,El Palacio de Hierro,These ads ran without a disclaimer,8190
142145835862894,IEXE Universidad,IEXE Universidad,8034
238139519930629,Acción Policial Querétaro,GRUPO VALPI,7783
136092926468080,PRI Oficial México,PRI Oficial México,7527
1013139202203880,Polilogy,Polilogy,7099
267018783320418,Democrats Abroad Mexico,Democrats Abroad,6949
138506541505,INE México,INE México,6925
862912427103444,Ricardo Ortiz Gutiérrez,Lessiel Yolanda Rodríguez Barajas,6875
327858987300829,Secretaría de la Juventud del Estado de Querétaro,GRUPO VALPI,6581
186073704903313,México elige,México elige,6554
640697589424301,Víctor Fuentes Solís,Víctor Manuel Espíndola Villegas,6515
300545193865364,Vanessa Montes de Oca,Vanessa Montes De Oca,6284
1989386697977287,Cristal Pelayo,Cristal Pelayo Rodríguez,6211
96637444189,Embajada Estados Unidos en México,These ads ran without a disclaimer,6207
211358622680390,El Heraldo de México,These ads ran without a disclaimer,6094
146568692144740,Senadores del PAN,Senadores del PAN,6074
206323119403212,Mario Delgado Carrillo,Mario Delgado Carrillo,6022
213759628707664,Jesús Oviedo Herrera,J Jesus Oviedo Herrera,5884
113218720098550,Valor Financeiro,These ads ran without a disclaimer,5844
106605760834556,Noticias360,These ads ran without a disclaimer,5608
322632628342690,Secretaría de Turismo del Estado de Querétaro,GRUPO VALPI,5536
368502140195966,Página Central,Página Central,5472
124631600949535,Yo Influyo,YoXmx,5466
116175691755266,Silvano Aureoles Conejo,Gobierno de Michoacán,5400
100632688473185,Soluciones Financieras para Secretaría de Salud,Herminia Contreras Aldana,5359
617993565034102,Los Amonestadores,El Tren Del Meme,5355
222686261448955,Miguel Salim,Monstarter,5301
628482797517617,Democracia Moderna,Democracia Moderna,5298
1542165426016665,Jóvenes en Movimiento Guanajuato,Movimiento Ciudadano Guanajuato,5274
100867376619769,Xóchitl Gálvez Ruiz,Xóchitl Gálvez Ruiz,5267
862912427103444,Ricardo Ortiz Gutiérrez,These ads ran without a disclaimer,5069
1414841518773835,María Alemán Muñoz Castillo,María Alemán Muñoz Castillo,5020
245495562137150,Mitofsky,Roy Campos,5003
1639278322997715,DIF Municipal Guanajuato,AdsProject Media,4991
1546735268941640,Libia García,AdsProject Media,4944
139039096175032,Pancho Domínguez,Francisco Dominguez Servien,4812
103142481376482,Desarrolladora Ecodesmex,Jorge Arturo Carrera De La Torre,4673
1183496831776019,Rolando Alcantar,Rolando Fortino Alcantar Rojas,4629
824196837618685,Michel González Márquez,Karen Michel González Marquez,4506
456600308169797,Secretaría de Gobierno del Estado de Querétaro,These ads ran without a disclaimer,4495
487631361257027,Bonito León Guanajuato,Bonito León Guanajuato,4473
101171214850717,Trabajando Avanzamos Mas,Trabajando Avanzamos Mas,4426
1644730469175641,Programa Estatal de Seguridad Querétaro,GRUPO VALPI,4384
690827784322271,Comunicación Salvatierra,Comunicación Salvatierra,4278
613806268720822,Carlos Herrera Tello,Carlos Herrera,4191
360877817600588,Cristina Márquez,Difraxion Group,4187
1453683468223744,Noticieros En Línea,Noticieros En Línea,4158
129116715379616,La Lotería Del Pueblo,Hugo Junco Olvera,4002
593836767425444,Universidad Americana de Europa - UNADE,These ads ran without a disclaimer,3937
1522195418029530,Político MX,Político.mx,3789
1640270156235310,Fidel Calderón,Fidel Calderón Torreblanca,3751
310617808978370,Fito Bonilla,Fito Bonilla,3676
63635808800,Mario Zamora Gastelum,Mario Zamora Gastelum,3660
139551722754346,Asomarte,GRUPO VALPI - CARAL,3644
102099001452432,Morena es de Todos,ViveMx,3631
2068772113146471,Guanajuatopedia,Guanajuatopedia,3550
174020129929884,Katya Soto,MATS MEDIA,3531
365131753983556,Cora Pinedo Alonso,Cora Cecilia Pinedo Alonso,3459
