Page ID,Page Name,Disclaimer,Amount Spent (MXN)
1463250447254946,Antonio Helguera Jiménez,Antonio Helguera Jiménez,312636
102375334944437,Voy con Carlos Reyes,Ricardo Castillo Volta,279887
105318356303939,Luis Walton Aburto,Carabás Consejería Política,186425
199145003957951,Arturo Martínez Núñez,Arturo Martínez Núñez,136284
2206407902940629,Adela Román Ocampo,Adsocial México,115340
305636059561241,Evodio Velázquez Aguirre,Christian Zamora Etzael Ramirez,63074
113264930412981,Kwai-SA-music,These ads ran without a disclaimer,58801
2011285802526787,El Soberano,El Soberano,56515
1741178926212929,El Observador MX,El Observador MX,56457
335716460273030,El Clarín,El Clarín,54505
186993735240587,La Razón,La Razón,53066
1510421322523622,Héctor Astudillo Flores,Gobierno de Guerrero MX,52849
1522195418029530,Político MX,Político.mx,47899
469925686738562,El Guardián,El Guardián,43916
416185532179806,El Quetzal,El Quetzal,41932
1870998949839678,El Siglo de México,El Siglo de México,38955
211358622680390,El Heraldo de México,These ads ran without a disclaimer,33410
101671294918962,Kwai-SA-dance,These ads ran without a disclaimer,33068
103337707812182,Mujer México,ADsocial,32542
1545555582174942,TResearch,Carlos Penna Charolet,30742
170612978451,Manuel Añorve Baños,Manuel Añorve Baños,30647
119046121884,Gobierno Municipal de Acapulco,Adsocial México,27000
1667417456701228,Porfirio Muñoz Ledo,Porfirio Muñoz Ledo,25616
155905091696219,La Revelación,La Revelación,23789
101080331558917,Guerrero Vota,Instituto Electoral y de Participación Ciudadana del Estado de Guerrero,23176
352495601528125,Instituto Electoral y de Participación Ciudadana del Estado de Guerrero,Instituto Electoral y de Participación Ciudadana del Estado de Guerrero,23130
1911411035852329,Elecciones&Encuestas,Contacto Elecciones y Encuestas,22000
366084886920827,Celeste Mora,These ads ran without a disclaimer,20895
108819392526809,Partido Acción Nacional,Partido Acción Nacional,19884
264773293005,Marko Cortés,Marko Cortés,19602
280927511972014,La Orquesta,La Orquesta,16961
2406840252911801,MARIO para Morena,MARIO para Morena,15947
111233530389317,Guerrero Press,Guerrero Press,15072
1498328897071398,Toño Gaspar,Antonio Gaspar Beltran,14599
1384134174966740,La Estampa de México,La Estampa de México,14421
108426420902413,Kwai-SA-funny,These ads ran without a disclaimer,13904
527952697332248,Víctor Aguirre Alcaide,Víctor Aguirre Alcaide,13026
245495562137150,Mitofsky,Roy Campos,12888
105805797619528,"Polity, politics, policy","Polity, politics, policy",12365
94906584004,Diario La Razón,Diario La Razón,11689
321169964725334,Yoshio Avila,Yoshio Avila,11380
1588437514742285,Víctor Hugo Govea,Víctor Hugo Govea,11276
1812297282329742,Jorge Triana,Jorge Triana Tena,10847
100725871681470,Kwai-SA-reallife,These ads ran without a disclaimer,10519
