Page ID,Page Name,Disclaimer,Amount Spent (MXN)
142610745897694,Movimiento Ciudadano Hidalgo,Movimiento Ciudadano Hidalgo,301078
138506541505,INE México,INE México,69554
113264930412981,Kwai-SA-music,These ads ran without a disclaimer,51305
286550274872574,Encuentro Social Hidalgo,Partido Encuentro Social Hidalgo,39381
323357014666928,Israel Felix Soto,Carlos Alberto Ramirez Cabrera,36623
103515057690916,Ricardo Crespo,Ricardo Crespo Arroyo,33416
1545555582174942,TResearch,Carlos Penna Charolet,33406
1540235276266663,Julio Valera Piedras,Julio Valera Piedras,33229
104169981002558,Hidalgo Decide,Hidalgo Decide,28608
371358412904976,Christian Pulido,Christian Pulido,26953
101671294918962,Kwai-SA-dance,These ads ran without a disclaimer,26761
245127842701433,Andrés Chávez,Marco Antonio Gómez Angeles,26609
1376126592413402,Luis Baños,Mariana Butrón,24761
1667417456701228,Porfirio Muñoz Ledo,Porfirio Muñoz Ledo,23908
104068951435044,Darina Márquez Uribe,Juan Antonio González Ramos,22306
100159558193695,Héctor Chávez,Hector Chávez Ruíz,22236
426418154186485,Hilda Miranda Hgo,Jose Luis Ramirez Castillo,19807
1645564615715704,Secretaría de Salud de Hidalgo,Zito Octavio Alejandre Rosas,19790
822022574540865,Frentes Políticos,Frentes Políticos,19604
555415404594824,Estéreo News,Estéreo News,19256
111241680704991,El Demócrata,El Demócrata,18524
112821873880628,Edmundo Ramirez,Estrategia Publicidad,16330
106525187766680,Noradina Lora,Jesús Moran,15672
1673953896238415,Gobierno Municipal de Francisco I. Madero,Juan Jose Perez Camargo,15487
108057334260585,Nelly Mendoza,Sonia Perez Sanchez,15034
103826764752687,Expresso Hidalgo,JCRND,14804
1911411035852329,Elecciones&Encuestas,Juan Carlos Mendoza Toledo,14788
106045264321266,Acompáñala con Amor,Whysers,14609
900803159970431,Iram del Castillo,Iram Mag Diel Tavera Del Castillo,14498
222178344590930,Simey La Paloma de Morena,Simey Olvera,14494
108101510965725,Dulce María Sánchez Martínez,Diego de Jesus Hernández Zamudio,13980
112849280449739,Gerardo Sosa Porro Corrupto UAEH,Edgar Amilcar Rodriguez Romero,13637
100630744879207,Pablo Vargas,Suleimy Nohemi Rivera Garcia,13630
2406840252911801,MARIO para Morena,MARIO para Morena,13539
585667641910441,Lorenzo Cruz Carrizo,Lorenzo Cruz Carrizo,13511
1204438943024594,Doris Castillo,Luis Alberto Bautista Méndez,13386
108426420902413,Kwai-SA-funny,These ads ran without a disclaimer,13380
1935870343195560,Morena Distrito SIETE Hidalgo,Francisco Patiño Cardona,13182
115301043601801,Oscar Barraza Ortiz,Oscar Barraza Ortiz,13047
1974858416108812,Susy Angeles,Susy Angeles,13024
186993735240587,La Razón,La Razón,12502
112789333770089,Melina Ibarra,Jesus Aguilar Sandoval,12423
540263186326216,ElecciónTV,ElecciónTV,12203
680363502599354,Sabulón Lozano Hdez.,David Cano,11733
142145835862894,IEXE Universidad,IEXE Universidad,11595
102700121260059,Fidel Wilivaldo Pérez Tovar,Fidel Wilivaldo Pérez Tovar,11550
1870998949839678,El Siglo de México,El Siglo de México,11185
107137841048016,Ma. Elena García S,Julio César Pérez Sánchez,10997
142145835862894,IEXE Universidad,These ads ran without a disclaimer,10836
280479799317208,Agencia Católica de Noticias,Agencia Católica de Noticias,10796
1812297282329742,Jorge Triana,Jorge Triana Tena,10555
1588437514742285,Víctor Hugo Govea,Víctor Hugo Govea,10538
607833932640780,Sergio Baños,Sergio Baños,10446
105093491331251,Pérez Camargo,Juan Jose Perez Camargo,10218
335716460273030,El Clarín,El Clarín,10043
155905091696219,La Revelación,La Revelación,9955
831306856905783,Diario Tiempo México,Diario Tiempo México,9613
104627967731946,Rita López Soria,Rita López Soria,9442
402196160175517,Francisco Patiño Cardona,Francisco Patiño Cardona,9366
108819392526809,Partido Acción Nacional,Partido Acción Nacional,9361
491773871009851,Damián Sosa,Damian Sosa Arroyo,9354
115659256842627,Elizabeth Vargas Rodriguez,Juan Luis Ruiz Soto,9176
108037740972697,Gustavo Tenorio,Edmundo Gustavo Tenorio Ortega,9158
100725871681470,Kwai-SA-reallife,These ads ran without a disclaimer,9108
698967643821245,La Coalición SUMAS,La Coalición Sumas,8867
264773293005,Marko Cortés,Marko Cortés,8717
231205014943789,Desde abajo y con la gente,Desde abajo y con la gente,8713
469925686738562,El Guardián,El Guardián,8558
1741178926212929,El Observador MX,El Observador MX,8554
507647349636683,Morenación,Adsocial México,8456
558337647622081,Frecuencia.Mx,Editorial Frecuencia,8422
107680224300245,Contraste México,MEDIO CONTRASTE,8243
217907742171778,Germain Garfias,Germain Garfias,8217
100297061572104,Partido del Trabajo Actopan Hidalgo,Aurora Ramírez Hernández,8107
247862095759745,Ricardo Baptista,Lilia Guadalupe Ibañez Cornejo,8101
107329881113664,Ciudadano Gobernante Hidalgo,Ciudadano Gobernante,7980
108572660880404,Anel Torres Biñuelo,Alejandro Guzman Aguado,7846
110829774107582,Sí Por México,Sí Por México,7825
108382817438611,Todos Somos El Profe,Sttefy Campa Cornejo,7672
186073704903313,México elige,México elige,7640
105566117949067,SOS Por Pachuca Isidro Pedraza,Isidro Pedraza Chávez,7275
742290175906258,Renatta Murán,Victor Hugo Andrade Reza,7239
507734502926349,Gustavo Callejas Romero,Gustavo Callejas Romero,7166
102197134940643,2020 Noticias Hidalgo,Isaac Encarnación Lopez,6925
665328313591168,Iván Vázquez López,Xchel Ivan Vazquez Lopez,6549
108382617511571,Catalina Hernández,Uziel Abel Soto Hernandez,6519
188840008576148,Hidalguenses con Morena,Hidalguenses con Morena,6279
136092926468080,PRI Oficial México,PRI Oficial México,6128
101789594937585,Ivan Rodríguez 20,Omar Rodrigo Estrada Juarez,6053
102438918257818,Mine Maturano,Minerva Maturano Hernandez,5924
101060428387786,Caty Ramírez,Militantes y Simpatizantes Por Morena,5915
268858956600246,Lalo Medecigo,Jesus Morelos Hernandez,5882
114024430364416,YoXmx,YoXmx,5832
470363986401398,Jorge Márquez Alvarado,Marco Antonio Rodriguez Cordero,5822
104958361096074,Se tenía que decir,Se tenía que decir.,5758
512729668930656,Mi vida es Hidalgo,La agencia ambiental,5647
950257431712751,México Desigual,Arturo Vázquez Rodríguez,5611
206323119403212,Mario Delgado Carrillo,Mario Delgado Carrillo,5466
102669728073166,Diana Mota Omaña,Miriam Alondra Segovia Santillán,5295
148722590265532,Rosario Reséndiz,José Eduardo Mauricio Olvera,5199
110320423807974,Latinus,Latinus,5130
111182444045024,Oscar González,Jazmín Ivonne Molina Velázquez,5007
105637577930754,Miguel Navarrete,Cesar Ramirez De Ita,4933
953364601447862,Unidos x Tula,"Unidos por Tula, AC",4884
104145124741425,InfoNoticias Hidalgo,Alexia Hurtado Anaya,4843
279128372120983,PACHUCA INFORMA,PACHUCA INFORMA,4757
118921468203786,Movimiento Ciudadano,Movimiento Ciudadano,4736
1384134174966740,La Estampa de México,La Estampa de México,4701
133700114382,El Palacio de Hierro,These ads ran without a disclaimer,4628
108361774321116,Julio César Azpeitia López,Crissel Campos Cerón,4598
1013139202203880,Polilogy,Polilogy,4575
245495562137150,Mitofsky,Roy Campos,4363
108588164294252,El fonógrafo informa Hidalgo,Jennifer Alondra Andrea Chávez Peña,4336
1821572101457105,Yuriel Monroy Martinez,Yuriel Monroy Martinez,4309
1565126503726864,Naxhyp Gutiérrez,Ariel Gutiérrez Marquez,4159
1534360279925811,Factiko,Factiko,4112
318951102340226,Salud Justa Mx,Salud Justa Mx,4089
338174139686776,Mauricio Kuri,Mauricio Kuri,4036
248110529651482,Redes Noticiarias Hidalgo,Daniela Torres,4000
101086224950162,Blanca Luz Cabrera,Blanca Luz Cabrera Soto,3992
100867376619769,Xóchitl Gálvez Ruiz,Xóchitl Gálvez Ruiz,3983
115452255131465,Alejandro Moreno Cárdenas,Alejandro Moreno Cárdenas,3881
343056139153924,La Manga Mx,La Manga Medios de Comunicación,3830
108309707493913,Kareli Estrada,Adi Porras,3743
103974161429461,Danahé Pérez,Silverio Danahe Perez Perez,3700
101389504829843,Paco Marroquin Castro,Paco Marroquin Castro,3659
640697589424301,Víctor Fuentes Solís,Víctor Manuel Espíndola Villegas,3619
824022544641796,Alejandro Álvarez Cerón,Alejandro Álvarez,3566
100103735170365,Pedro Gonzalez,Brian Arturo Martinez Sanchez,3501
299456003492946,Traddi inmuebles,Yamily Vianey Hernandez Magdaleno,3486
420776218093593,Rubén Muñoz,Roberto Solis Ceron,3476
100630744879207,Pablo Vargas,Juan Pablo Castañeda Estrada,3474
349170969021130,El Incorregible,El Incorregible,3471
113218720098550,Valor Financeiro,These ads ran without a disclaimer,3406
106823117816618,Reynalda Montes Mendoza,Juan Luis Ruiz Soto,3405
281125785691978,Saber Votar,Saber Votar,3400
110191230800288,Lupita Jiménez,Moises Canedo Valdes,3381
111763273934366,Alejandra Jiménez Rivera,Alejandra Jimenez Rivera,3364
1637462289838029,Diputados Morena,Diputados Morena,3360
193712914496711,Ana Bertha Díaz Gutiérrez,Itzmaltzin Villagran,3316
664269947301823,PT Hidalgo Oficial,David Ariel García Portillo,3271
