Page ID,Page Name,Disclaimer,Amount Spent (MXN)
273305282567,Gobierno de Jalisco,Gobierno de Jalisco,1497894
134513599913154,Enrique Alfaro Ramírez,Gobierno de Jalisco,355526
291385034241719,Gobierno de Tlajomulco,Gobierno de Tlajomulco,355506
259294300089,Gobierno de Zapopan,Comunicación del Gobierno de Zapopan,296195
806858212689187,Pablo Lemus Navarro,Comunicación del Gobierno de Zapopan,294899
449095701815347,Salvador Zamora,Salvador Zamora,272584
1545555582174942,TResearch,Carlos Penna Charolet,213228
269877666449337,Movimiento Ciudadano Jalisco,Movimiento Ciudadano Jalisco,203345
113264930412981,Kwai-SA-music,These ads ran without a disclaimer,187909
449095701815347,Salvador Zamora,Gobierno de Tlajomulco,137128
460436987319985,Diputados Ciudadanos,Grupo Parlamentario de Movimiento Ciudadano en la Cámara de Diputados,108191
118921468203786,Movimiento Ciudadano,Movimiento Ciudadano,96605
261183793923166,Ismael Del Toro Castro,Gobierno de Guadalajara,90277
1878965038824465,Xiudadanos Mx,Xiudadanos Mx,86017
101671294918962,Kwai-SA-dance,These ads ran without a disclaimer,78468
104448521121857,Hagamos Jalisco,Hagamos Jalisco,74420
1667417456701228,Porfirio Muñoz Ledo,Porfirio Muñoz Ledo,54059
1445209245537983,Ricardo Santillán,Comunicación Social del Gobierno de El Salto,52495
485010671619821,Gerardo Quirino Velázquez Chávez,Gerardo Chavez,49390
108819392526809,Partido Acción Nacional,Partido Acción Nacional,42782
427137767353498,Clemente Castañeda,Movimiento Ciudadano,41652
1545555582174942,TResearch,TResearch,40669
1475560369389675,Luis Gómez,Luis Gómez,40309
192680674189566,El Respetable,Bruno Agustin López Arguelles,39218
294591180601746,Dr. Carlos Lomelí Bolaños,Dr. Carlos Lomelí Bolaños,37246
108426420902413,Kwai-SA-funny,These ads ran without a disclaimer,36876
106511011042746,Alejandro Puerto,Alejandro Puerto,36483
114401477003851,SOMOS,SOMOS,35020
106045264321266,Acompáñala con Amor,Whysers,33463
264773293005,Marko Cortés,Marko Cortés,32392
100725871681470,Kwai-SA-reallife,These ads ran without a disclaimer,27809
318167042321424,Grupo Sandy's Restaurantes,Grupo Sandy's,27400
1466882106952970,Gobierno de Tonalá,Gobierno de Tonalá,24997
2406840252911801,MARIO para Morena,MARIO para Morena,24616
507437302690828,María Elena Limón,María Elena Limón,22252
301981380747,Secretaría de Educación Jalisco,Gobierno de Jalisco,21683
1514407918869306,Celenia Contreras,Lourdes Celenia Contreras Gonzalez,21277
109305717070929,Hugo Villavicencio,Hugo Villavicencio Galardo,20976
267018783320418,Democrats Abroad Mexico,Democrats Abroad,20918
1588437514742285,Víctor Hugo Govea,Víctor Hugo Govea,20438
102225384616292,Ricardo Barbosa,Ricardo Barbosa,20079
1812297282329742,Jorge Triana,Jorge Triana Tena,19444
950257431712751,México Desigual,Arturo Vázquez Rodríguez,19102
1741178926212929,El Observador MX,El Observador MX,19043
141231709227675,"Estado de Guanajuato, México",Ads Project Media,18214
142145835862894,IEXE Universidad,These ads ran without a disclaimer,18201
195444337665614,Dr Tattoo Clinical Studio,These ads ran without a disclaimer,18166
105658496290292,Secretaría de Transporte Jalisco,Gobierno de Jalisco,17854
2091732304477564,Senadores Ciudadanos,Grupo Parlamentario de Movimiento Ciudadano en el Senado de la República,17733
129061780478815,Sistema de Asistencia Social Jalisco,Gobierno de Jalisco,17370
1585834374966452,Mirza Flores,Mirza Flores,17171
831306856905783,Diario Tiempo México,Diario Tiempo México,16741
110829774107582,Sí Por México,Sí Por México,16680
308356856313540,Secretaría de Planeación y Participación Ciudadana,Gobierno de Jalisco,16443
142145835862894,IEXE Universidad,IEXE Universidad,16024
322421515045669,Secretaría de Igualdad Sustantiva entre Mujeres y Hombres,Gobierno de Jalisco,15758
511521995552064,"Secretaría de Innovación, Ciencia y Tecnología",Gobierno de Jalisco,15698
186993735240587,La Razón,La Razón,15635
1237591122981464,Juan Carlos Villarreal,Juan Carlos Villarreal,15526
166658850177391,Secretaría de Turismo Jalisco,Gobierno de Jalisco,15416
157957047619470,Secretaría del Trabajo Jalisco,Gobierno de Jalisco,14529
140466792767520,Fabiola Loya,Fabiola Loya,14104
231205014943789,Desde abajo y con la gente,Desde abajo y con la gente,14055
318951102340226,Salud Justa Mx,Salud Justa Mx,13958
507647349636683,Morenación,Adsocial México,13837
468586243214951,Cultura Jalisco,Gobierno de Jalisco,13642
459461090802103,Sedeco Jalisco,Gobierno de Jalisco,13622
114024430364416,YoXmx,YoXmx,13496
948706741944897,El Portal de Lagos,El Portal de Lagos,13379
1483552551926518,Dr. Paco Sánchez,Francisco Sanchez Gaeta,12452
374079669993019,Secretaría de Seguridad Jalisco,Gobierno de Jalisco,12433
42603376541,Universidad de Guadalajara,Universidad de Guadalajara,12348
1045561805459028,La Esperanza de Jalisco,Carlos Santana Mora Romero,12268
1013139202203880,Polilogy,Polilogy,11711
138506541505,INE México,INE México,11355
469925686738562,El Guardián,El Guardián,11279
106976277879629,SOMOS Jalisco,SOMOS Jalisco,11110
548040385227943,Secretaría de Medio Ambiente y Desarrollo Territorial,Gobierno de Jalisco,10841
107495644335667,Humberto Famanía,Isai Salinas López,10576
114889085297701,Ricardo Anaya Cortés,Ricardo Anaya Cortés,10429
338174139686776,Mauricio Kuri,Mauricio Kuri,10262
136092926468080,PRI Oficial México,PRI Oficial México,10252
148537475232839,Esteban Estrada,Esteban Estrada,10197
110320423807974,Latinus,Latinus,10167
186073704903313,México elige,México elige,10056
599264833814548,Fiscalía Especializada en Combate a la Corrupción de Jalisco,Gobierno de Jalisco,10055
1483552551926518,Dr. Paco Sánchez,Dr. Paco Sánchez,9577
1542194899442303,Pepe Guerrero,SamKai,9112
640697589424301,Víctor Fuentes Solís,Víctor Manuel Espíndola Villegas,9028
133700114382,El Palacio de Hierro,These ads ran without a disclaimer,8918
1870998949839678,El Siglo de México,El Siglo de México,8665
170761873343298,Tecutli Gómez,Tecutli Gómez,8554
139327219471161,PAN Jalisco,PAN Jalisco,8286
116175691755266,Silvano Aureoles Conejo,Gobierno de Michoacán,8262
282554605481439,Selina,These ads ran without a disclaimer,8202
175255645861787,Luis Ernesto Munguía,Grecia Quetzalli Rubio Osuna,8177
180533315991,Guanajuato Gobierno del Estado,Difraxion Group,7833
745228515677611,Alcalde Miguel Íñiguez,Tacto Consultores,7810
108510090639005,Urban Alcalde,Jose Antonio Saldivar Plascencia,7654
206323119403212,Mario Delgado Carrillo,Mario Delgado Carrillo,7646
1989386697977287,Cristal Pelayo,Cristal Pelayo Rodríguez,7457
113218720098550,Valor Financeiro,These ads ran without a disclaimer,7234
554323484721110,Adriana Medina,Adriana Medina,7051
661065047282648,Noticias ZMG,Noticias ZMG,6995
120671885226683,Jose Luis Sanchez Gonzalez,JADE-MK Producciones,6874
116437828394342,Phiten Mexico,Phiten Mexico,6859
113165227252452,Mary Paez,Mary Páez,6854
