Page ID,Page Name,Disclaimer,Amount Spent (MXN)
61924315868,Gobierno de Michoacán,Gobierno de Michoacán,2000181
116175691755266,Silvano Aureoles Conejo,Gobierno de Michoacán,1604272
215836968456734,Alfonso Martínez Alcázar,Alfonso Martínez Alcázar,1586982
613806268720822,Carlos Herrera Tello,Carlos Herrera,1456524
1373811859301698,Secretaría de Salud de Michoacán,Gobierno de Michoacán,322801
329389757587201,Diana Carpio Ríos,Gobierno de Michoacán,297572
1640270156235310,Fidel Calderón,Fidel Calderón Torreblanca,267127
981766365233936,Carlos Torres Piña,Uva Agency,203480
183751562214729,David Cortés,David Cortes,198916
325504341514840,Senador Cristóbal Arias Solís,Cuauhtenoc Garcia Aguilera,195288
105922857734079,Las Noticias,Las Noticias,171525
236497390731999,Municipios y Alcaldes,Logística Digital MX,169365
113175270449853,Valentín Rodríguez,Valentín Rodríguez,137232
831306856905783,Diario Tiempo México,Diario Tiempo México,130913
636015047036720,México Decide,México Decide,106082
950257431712751,México Desigual,México Desigual,94966
113264930412981,Kwai-SA-music,These ads ran without a disclaimer,85259
1545555582174942,TResearch,Carlos Penna Charolet,82087
195815324490948,Feliciano Flores,Feliciano Flores,79250
102458154777930,Áragon Estudios de Opinión,Aragon estudios de opinión,65169
481174265396853,Toño García,Antonio García Conejo,60675
151179508344862,Toño Ixtláhuac,Toño Ixtláhuac,57461
118921468203786,Movimiento Ciudadano,Movimiento Ciudadano,44534
183751562214729,David Cortés,David Cortés,43500
101671294918962,Kwai-SA-dance,These ads ran without a disclaimer,40584
1479975992231163,Adolfo Torres,Adolfo Torres Ramirez,39428
329389757587201,Diana Carpio Ríos,Secretaría de Salud del Estado de Michoacán,38086
1667417456701228,Porfirio Muñoz Ledo,Porfirio Muñoz Ledo,37695
1373811859301698,Secretaría de Salud de Michoacán,Secretaría de Salud del Estado de Michoacán,36615
235826487276400,Dip. Lucila Martínez,Lucila Martínez Manríquez,35690
108819392526809,Partido Acción Nacional,Partido Acción Nacional,35479
264773293005,Marko Cortés,Marko Cortés,34758
1911411035852329,Elecciones&Encuestas,Contacto Elecciones y Encuestas,32000
1574076239509527,Víctor Báez,Víctor Báez,29268
1235905466532930,Arturo Hernandez,UMX Comunicación,27854
245495562137150,Mitofsky,Roy Campos,26690
410866719647281,Mariano Torres,Mariano Torres,25504
116175691755266,Silvano Aureoles Conejo,These ads ran without a disclaimer,24181
1665047283579389,24/7 365 noticias,Logística Digital MX,23847
195815324490948,Feliciano Flores,Koi comunicacion,21761
376946485751065,Adriana Hernández,Adriana Hernández,21517
613806268720822,Carlos Herrera Tello,These ads ran without a disclaimer,20836
108426420902413,Kwai-SA-funny,These ads ran without a disclaimer,19567
182523362661164,Resonancia Digital,Resonancia Digital,19340
249380915511419,Reginaldo Sandoval,Reginaldo Sandoval,19280
731169227024204,Blanca Piña,Abel Uriel Saucedo Garcia,18946
279118455550097,José Eduardo Torres,José Eduardo Torres,18255
2406840252911801,MARIO para Morena,MARIO para Morena,17758
305199882945128,Poncho Mares,Bogusys,17523
1474284312867522,Julieta López,Julieta López,16132
183386265042744,Raúl Morón Orozco,Raúl Moron Orozco,15990
1588437514742285,Víctor Hugo Govea,Víctor Hugo Govea,15872
1422169704755958,Alfredo Ramírez Bedolla,Gustavo Alonso Aguado Butanda,15533
1812297282329742,Jorge Triana,Jorge Triana Tena,14206
100725871681470,Kwai-SA-reallife,These ads ran without a disclaimer,14005
105051339578106,Pablo Anuar Zaragoza,Néctar Digital,13198
1911411035852329,Elecciones&Encuestas,Arturo Vázquez Rodríguez,12998
2447880842097825,Grillo Político,Grillo Político,11970
174092682696443,Victor Silva,Victor Silva,11798
513175565509120,Antonio Soto Sánchez,Angelina Arredondo,11488
1480088612067486,Elecciones Michoacan,Elecciones Michoacán,11130
