Page ID,Page Name,Disclaimer,Amount Spent (MXN)
113264930412981,Kwai-SA-music,These ads ran without a disclaimer,39940
1193823444063298,José Casas,José Casas,39328
283653271758441,24 Morelos,24 CDMX,37016
1969793253235853,Brenda Espinoza Lopez,Brenda Espinoza,32258
596493497036228,Rosalina Mazari,Rosalina Mazari Espín,24479
106045264321266,Acompáñala con Amor,Whysers,20792
190668524446719,Cuauhtémoc Blanco,Gobierno Estado de Morelos,19183
532585677238915,Terrazas Diputado Federal,Equipo de comunicación Terrazas,18308
105801477887900,BDM Noticias,Jose Narciso Mejía Mendez,18189
101671294918962,Kwai-SA-dance,These ads ran without a disclaimer,18176
104643327807859,Creative Media,Héctor Mario Juárez Guzmán,15242
924215500923867,Lucy Meza,Lucy Meza,14278
108819392526809,Partido Acción Nacional,Partido Acción Nacional,12027
1667417456701228,Porfirio Muñoz Ledo,Porfirio Muñoz Ledo,11793
396879004096265,Jorge Argüelles,Jorge Argüelles,11282
2406840252911801,MARIO para Morena,MARIO para Morena,10428
232248990129167,Paco Moreno,Paco Moreno,9701
105318356303939,Luis Walton Aburto,Carabás Consejería Política,9383
264773293005,Marko Cortés,Marko Cortés,8852
108426420902413,Kwai-SA-funny,These ads ran without a disclaimer,8383
1613652222186298,César Espinosa Roa,Thirty Social Media,8246
831306856905783,Diario Tiempo México,Diario Tiempo México,7087
112091410705189,Creative Media,Adriana Miranda Vargas,7002
1812297282329742,Jorge Triana,Jorge Triana Tena,6728
142145835862894,IEXE Universidad,IEXE Universidad,6419
103278813055788,Voz Universitaria,Raúl Abraham López Martínez,6322
231205014943789,Desde abajo y con la gente,Desde abajo y con la gente,6310
1588437514742285,Víctor Hugo Govea,Víctor Hugo Govea,6117
434354983635686,Juanita Guerra Mena,Juanita Guerra Mena,6082
100725871681470,Kwai-SA-reallife,These ads ran without a disclaimer,6005
342264936287056,Alejandro Mojica Toledo,Alejandro Mojica Toledo,5617
507647349636683,Morenación,Adsocial México,5360
110829774107582,Sí Por México,Sí Por México,5258
114024430364416,YoXmx,YoXmx,4967
103749248038035,La Voz de México,ALAgencia,4404
