Page ID,Page Name,Disclaimer,Amount Spent (MXN)
225396874612682,Nacho Flores,Nacho Flores,117122
831306856905783,Diario Tiempo México,Diario Tiempo México,94101
271769919594700,Polo Domínguez,Polo Domínguez,42076
334172203343040,Geraldine Ponce,Geraldine Ponce,42038
365131753983556,Cora Pinedo Alonso,Cora Cecilia Pinedo Alonso,39889
106969843330443,Adahan Casas,Adahan Casas,36891
1273611446086374,Javier Mercado,Javier Mercado,33510
1545555582174942,TResearch,Carlos Penna Charolet,31989
118921468203786,Movimiento Ciudadano,Movimiento Ciudadano,27547
233616893413162,Gloria Núñez,Gloria Nuñez Sanchez,22075
236497390731999,Municipios y Alcaldes,Logística Digital,21760
113264930412981,Kwai-SA-music,These ads ran without a disclaimer,20695
102271468248883,Pablo Pimienta Márquez,Pablo Pimienta Márquez,15501
365131753983556,Cora Pinedo Alonso,Cora Pinedo Alonso,14348
2011285802526787,El Soberano,El Soberano,11119
1522195418029530,Político MX,Político.mx,10703
1667417456701228,Porfirio Muñoz Ledo,Porfirio Muñoz Ledo,9792
101671294918962,Kwai-SA-dance,These ads ran without a disclaimer,9149
950257431712751,México Desigual,Jesus Manuel Martinez Diaz,8498
108819392526809,Partido Acción Nacional,Partido Acción Nacional,7981
292496132255,Antonio Tello - NTV,Antonio Tello - NTV,7391
111843790253358,Claudia Jaime,Claudia Oliver Jaime Gonzalez,7152
112205953887300,Ruleta de Datos,Ruleta de Datos,7081
280927511972014,La Orquesta,La Orquesta,7000
112079246649,Alejandro Galvan,Alejandro Galvan,6835
264773293005,Marko Cortés,Marko Cortés,6634
1665047283579389,24/7 365 noticias,Logística Digital,6131
365131753983556,Cora Pinedo Alonso,MIP,5942
2406840252911801,MARIO para Morena,MARIO para Morena,5940
106969843330443,Adahan Casas,These ads ran without a disclaimer,5904
225396874612682,Nacho Flores,Mario Salazar Diaz,5647
100969265155792,Manuel Peraza Segovia,Manuel Peraza,5336
106185684106013,Amigos de Jaime Cuevas,Susan Ortega,5100
107495644335667,Humberto Famanía,Isai Salinas López,5028
1588437514742285,Víctor Hugo Govea,Víctor Hugo Govea,4138
235994093744848,Contra Réplica,Contra Réplica,4022
1812297282329742,Jorge Triana,Jorge Triana Tena,4001
634833816717138,Carlos Barrón Mayorquín,Carlos Barrón Mayorquín,3965
108426420902413,Kwai-SA-funny,These ads ran without a disclaimer,3788
100725871681470,Kwai-SA-reallife,These ads ran without a disclaimer,3547
507647349636683,Morenación,Adsocial México,3219
231205014943789,Desde abajo y con la gente,Desde abajo y con la gente,3209
421071591561976,México Grilla,México Grilla,3026
812123682287247,Corte Informativo,Corte Informativo,3000
110829774107582,Sí Por México,Sí Por México,2939
112686730500638,Juan Carlos Covarrubias Á.,Juan Carlos Covarrubias Avila,2766
1509051455891513,Carlos Moncayo,Carlos Moncayo,2738
162869297752046,Mirtha Villalvazo,Mirtha Villalvazo,2660
1483552551926518,Dr. Paco Sánchez,Francisco Sanchez Gaeta,2576
2015055852057477,Gobierno de Bahía de Banderas,Gobierno de Bahía de Banderas,2514
1478050622462121,Periódico Realidades de Nayarit,Justino Daniel Rodriguez Murray,2507
300704870296024,Roberto González,Roberto González,2481
950257431712751,México Desigual,Arturo Vázquez Rodríguez,2427
267018783320418,Democrats Abroad Mexico,Democrats Abroad,2299
271769919594700,Polo Domínguez,These ads ran without a disclaimer,2282
114889085297701,Ricardo Anaya Cortés,Ricardo Anaya Cortés,2271
275360942548435,Manuel Cota,Manuel Humberto Cota Jimenez,2245
361036630742937,La Política Online MX,La Política Online MX,2237
206323119403212,Mario Delgado Carrillo,Mario Delgado Carrillo,2168
292496132255,Antonio Tello - NTV,These ads ran without a disclaimer,2126
1741178926212929,El Observador MX,El Observador MX,2106
110320423807974,Latinus,Latinus,2092
1861550397441449,Revista32,Revista32,2088
338174139686776,Mauricio Kuri,Mauricio Kuri,2087
318951102340226,Salud Justa Mx,Salud Justa Mx,2058
136092926468080,PRI Oficial México,PRI Oficial México,2010
114024430364416,YoXmx,YoXmx,2003
107528439953708,Compa Goyo,Compa Goyo,2000
790122277825560,Sentido Común,Rafael Pasaye,1908
186073704903313,México elige,México elige,1894
138506541505,INE México,INE México,1657
469925686738562,El Guardián,El Guardián,1592
705664389542388,Píntale un Dedo,Adán Figueroa,1550
100867376619769,Xóchitl Gálvez Ruiz,Xóchitl Gálvez Ruiz,1547
244944182582608,Juan Jose Castellanos,Juan Castellanos,1546
1013139202203880,Polilogy,Polilogy,1533
133700114382,El Palacio de Hierro,These ads ran without a disclaimer,1513
372042876497997,Soy Informante,Adán Figueroa,1500
273305282567,Gobierno de Jalisco,Gobierno de Jalisco,1471
