Page ID,Page Name,Disclaimer,Amount Spent (MXN)
384214801745089,Samuel García,Samuel García Sepúlveda,1512584
384214801745089,Samuel García,Samuel García,545973
119581228114135,Clara Luz Flores Carrales,Clara Luz Flores Carrales,250957
104633007982749,Horizonte NL,Horizonte NL,228278
339041576496956,José Luis Guerra - Imagineros,Jose Guerra,205310
384214801745089,Samuel García,Pre-campaña Gubernatura Movimiento Ciudadano - Samuel García,174730
169297823887012,Nuevo León TIMES,NL TIMES,169046
213630952742008,Mty News,MTY News,163848
384214801745089,Samuel García,Pre-campaña Gubernatura Movimiento Ciudadano - Samuel García Sepúlveda,152806
113264930412981,Kwai-SA-music,These ads ran without a disclaimer,135174
279469625434543,Paco Cienfuegos,Paco Cienfuegos,134263
489123151148189,"Municipio de Guadalupe, Nuevo León","Municipio de Guadalupe, Nuevo León",105223
631644384130821,Amanecer de Nuevo León,Arturo Vázquez Rodríguez,104179
137309263048418,Poncho Robledo,Poncho Robledo,99494
640697589424301,Víctor Fuentes Solís,Víctor Manuel Espíndola Villegas,91122
418039951683898,Hernán Salinas Wolberg,Hernán Salinas Wolberg,79328
911575379048308,Gobierno de Montemorelos,Gobierno de Montemorelos,59822
101671294918962,Kwai-SA-dance,These ads ran without a disclaimer,57350
186073704903313,México elige,México elige,57307
728859823802211,Luis Donaldo Colosio Riojas,Luis Donaldo Colosio Riojas,55800
1667417456701228,Porfirio Muñoz Ledo,Porfirio Muñoz Ledo,55288
401586323202696,Karina Barrón,Karina Barrón,55254
1741178926212929,El Observador MX,El Observador MX,54472
252482341462381,Cristina Díaz,Cristina Díaz,53741
119581228114135,Clara Luz Flores Carrales,These ads ran without a disclaimer,53112
108819392526809,Partido Acción Nacional,Partido Acción Nacional,50792
358038814286053,San Pedro Garza García,Edgar Geovanny Lobato Jaime,50495
1713592382231687,Blog del Regio,Blog del Regio,47815
167548110401611,Adalberto Madero,Adalberto Arturo Madero Quiroga,44751
1545555582174942,TResearch,Carlos Penna Charolet,38683
299630316784235,Juan Carlos Ruiz,Juan Carlos Ruiz,38262
357288271429530,Recuerdos Regiomontanos,Recuerdos Regiomontanos,36412
384214801745089,Samuel García,These ads ran without a disclaimer,35661
193610891272411,Iliana Medina,Iliana Medina,35111
335716460273030,El Clarín,El Clarín,33459
99426593472,Daniel Carrillo Martínez,Daniel Carrillo Martínez,32711
469925686738562,El Guardián,El Guardián,31996
186993735240587,La Razón,La Razón,31403
102026088323956,Raúl Cárdenas Thomae,Rául Cárdenas Thomae,31171
245495562137150,Mitofsky,Roy Campos,30312
2298269493759657,Sergio Ojeda Castillo,Sergio Arturo Ojeda Castillo,28477
108426420902413,Kwai-SA-funny,These ads ran without a disclaimer,27627
863960886993918,Monterrey Informa,Monterrey Informa,27604
264773293005,Marko Cortés,Marko Cortés,26665
946165805559850,Guille Alvarado,Guillermina Alvarado,26647
248752192235773,Pepe Villarreal,Pepe Villarreal Cepeda,26053
1522195418029530,Político MX,Político.mx,25519
561240450934325,Nómada,Nómada,25118
911260148885240,Héctor Castillo,Hector Israel Castillo Olivares,24669
921546757877227,Julia de los Monteros,Martha Arrieta,24586
100725871681470,Kwai-SA-reallife,These ads ran without a disclaimer,23960
101044164952085,Nuevo León Decide,Nuevo León Decide,23790
1757489171180671,Massive Caller,These ads ran without a disclaimer,23416
511510292199221,Hora Cero Web,Hora Cero Web,22277
950257431712751,México Desigual,Arturo Vázquez Rodríguez,21908
1382635051978023,Adrián de la Garza,Adrián de la Garza,20800
1588437514742285,Víctor Hugo Govea,Víctor Hugo Govea,20214
1641631989431709,Mariela Saldívar,Mariela Saldívar,18497
381253882210486,Miguel B Treviño De Hoyos,Miguel Bernardo Treviño de Hoyos,17516
106458614450818,Miguel Ángel Dávila Treviño,Miguel Angel Davila Treviño,17471
1812297282329742,Jorge Triana,Jorge Triana Tena,17285
1048508588499422,Glen V. Zambrano,Glen V. Zambrano,17246
901184663248579,César Valdés,César Adrián Valdés Martínez,16618
266278810773644,El Rincon de Maquiavelo,El Rincon de Maquiavelo,15872
1420522144873874,Álvaro Suárez 5X - Fundación 5X,Alvaro Jose Suarez Garza,15639
236315823071997,Universidad Jose Vasconcelos Calderon (Oficial),These ads ran without a disclaimer,15545
831306856905783,Diario Tiempo México,Diario Tiempo México,15319
314305366155617,Abstracto Noticias Frases.,Referente,14958
360394781385282,La Nota de Monterrey,La Nota de Monterrey,13982
138506541505,INE México,INE México,13842
2406840252911801,MARIO para Morena,MARIO para Morena,13672
110829774107582,Sí Por México,Sí Por México,13352
640697589424301,Víctor Fuentes Solís,Victor Oswaldo Fuentes Solis,13275
842332165814949,México Leaks,México Leaks,12861
822022574540865,Frentes Políticos,Frentes Políticos,12300
253307582149819,The Regio News,Referente,11768
155905091696219,La Revelación,La Revelación,11543
1870998949839678,El Siglo de México,El Siglo de México,11476
1564057110524570,Marco González Valdez,Marco González Valdez,11371
367884337123597,Solo en Nuevo León,Solo en Nuevo León,11205
116437828394342,Phiten Mexico,Phiten Mexico,11065
318645238206192,Cesar Garza Villarreal,Cesar Garza Villarreal,10827
141231709227675,"Estado de Guanajuato, México",Ads Project Media,10756
1013139202203880,Polilogy,Polilogy,10501
114889085297701,Ricardo Anaya Cortés,Ricardo Anaya Cortés,10274
507647349636683,Morenación,Adsocial México,10234
416185532179806,El Quetzal,El Quetzal,9969
101044164952085,Nuevo León Decide,Gerardo Efrain Lozano Cueva,9882
178987882695874,Agustín Basave Alanís,These ads ran without a disclaimer,9807
100574994796130,Experiencias VIP,These ads ran without a disclaimer,9616
318951102340226,Salud Justa Mx,Salud Justa Mx,9603
101920808354588,Chuy Silva,Arturo Benavides,9585
2091732304477564,Senadores Ciudadanos,Grupo Parlamentario de Movimiento Ciudadano en el Senado de la República,9249
2559275544114982,Félix "Moyo" García,Moyo García,9244
196705420663884,Código Magenta,Código Magenta,9244
102445815005431,Arturo Benavides Castillo,Arturo Benavides,9191
299002733533322,Gobierno de Santa Catarina,StaCatarina Gob,9164
388510497880840,Diputados PAN,Diputados PAN,9144
555415404594824,Estéreo News,Estéreo News,9083
339041576496956,José Luis Guerra - Imagineros,These ads ran without a disclaimer,8863
136092926468080,PRI Oficial México,PRI Oficial México,8732
107549793951965,Panorama Informativo,Panorama informativo,8019
211328082958204,Historias de Vida,Maria Emilia Cruz Del Rosal,8000
338174139686776,Mauricio Kuri,Mauricio Kuri,7894
114024430364416,YoXmx,YoXmx,7828
231205014943789,Desde abajo y con la gente,Desde abajo y con la gente,7780
110320423807974,Latinus,Latinus,7775
133700114382,El Palacio de Hierro,These ads ran without a disclaimer,7742
267018783320418,Democrats Abroad Mexico,Democrats Abroad,7726
2000027216902843,Lalo Leal,Eduardo Leal Buenfil,7527
561525653959254,Miguel Angel Lozano,Miguel Angel Lozano,7493
589779964783166,News Monterrey,News Monterrey,7174
1384134174966740,La Estampa de México,La Estampa de México,6825
152647288846509,Adrián Moreira,Adrián Carlos Moreira Garcia,6764
113218720098550,Valor Financeiro,These ads ran without a disclaimer,6610
118921468203786,Movimiento Ciudadano,Movimiento Ciudadano,6569
102247764884102,NA24,Luis Herrera,6502
259659740767219,Jaime Rodriguez Calderon,Jaime Rodriguez Calderon,6500
1989386697977287,Cristal Pelayo,Cristal Pelayo Rodríguez,6498
407894373329897,Acta Diurna,Acta Diurna,6450
460436987319985,Diputados Ciudadanos,Grupo Parlamentario de Movimiento Ciudadano en la Cámara de Diputados,6408
640697589424301,Víctor Fuentes Solís,These ads ran without a disclaimer,6292
102296418258960,Encuesta Klave,Encuesta Klave,6279
106458614450818,Miguel Ángel Dávila Treviño,These ads ran without a disclaimer,6214
154910305133878,Dr. Francisco Leannec Gonzalez Silva,Francisco Leannec Gonzalez Silva,6151
508080459258281,Martín López,Jose Martin Lopez Cisneros,5969
282554605481439,Selina,These ads ran without a disclaimer,5924
101604828306005,Analfabeta Político,Analfabeta Político,5839
116175691755266,Silvano Aureoles Conejo,Gobierno de Michoacán,5723
367050890399612,Alejandro Reyna Aguilar,Alejandro Reyna Aguilar,5700
154007874631491,Ildefonso Guajardo Villarreal,These ads ran without a disclaimer,5501
102127578193013,Loop,Loop Infinito,5327
100867376619769,Xóchitl Gálvez Ruiz,Xóchitl Gálvez Ruiz,5143
1637462289838029,Diputados Morena,Diputados Morena,5137
279469625434543,Paco Cienfuegos,These ads ran without a disclaimer,5134
146568692144740,Senadores del PAN,Senadores del PAN,5119
110079877287000,Enrique D. Ogaz Diaz,Enrique David Ogaz Diaz,5105
206323119403212,Mario Delgado Carrillo,Mario Delgado Carrillo,4964
348207231865399,Edgar Salvatierra,Edgar Salvatierra,4893
109140997575884,Lo que no sabias de el dragon,These ads ran without a disclaimer,4883
101171214850717,Trabajando Avanzamos Mas,Trabajando Avanzamos Mas,4765
105464271212474,Claudia Escamilla,Claudia Escamilla,4527
291379050963608,Consejo Cívico,These ads ran without a disclaimer,4394
1862711600684380,Plasma,Plasma,4364
1761463094141030,Mónica Lucía,Mónica Lucia González de Montaño,4336
1534360279925811,Factiko,Factiko,4315
1389751671346668,Fernando "El Pelón" Abrego,Alejandro Guzman Tamez,4311
593836767425444,Universidad Americana de Europa - UNADE,These ads ran without a disclaimer,4308
235994093744848,Contra Réplica,Contra Réplica,4280
855181581284411,Jesus Policarpo Flores Peña,Chooy Flores,4234
373929522783692,Myrna Grimaldo Iracheta,Peter Enriquez,4085
1555622604718968,Luis Garza,Luis Antonio Garza Cisneros,4017
584134445055078,Yahleel Abdala,Yahleel Abdala,3991
1694287874193807,Annia Gómez,Annia Gómez,3925
108447204210863,Cuauhtémoc Villarreal,These ads ran without a disclaimer,3800
1933205943628352,Desdelaizquierda,Desdelaizquierda,3591
628482797517617,Democracia Moderna,Democracia Moderna,3570
107253880820358,CEC - Colegio de Estudios Contemporáneos,These ads ran without a disclaimer,3569
313511008995435,Un minuto para la naturaleza,César Armando Ramírez Lozano,3566
