Page ID,Page Name,Disclaimer,Amount Spent (MXN)
149334611927297,Benjamín Robles,Benjamín Robles,170019
149334611927297,Benjamín Robles,PT Oaxaca,65028
113264930412981,Kwai-SA-music,These ads ran without a disclaimer,63919
1518145195110134,Daniel Gutiérrez Gutiérrez,Daniel Gutiérrez Gutiérrez,56724
308788292633006,Maribel Martínez Ruiz,Maribel Martínez Ruiz,45240
101671294918962,Kwai-SA-dance,These ads ran without a disclaimer,36977
1827397494177329,Aurora López Acevedo,José Eduardo Vásquez Morales,35142
1545555582174942,TResearch,Carlos Penna Charolet,31967
111254818909093,Luis Alfonso Silva Romo,Luis Alfonso Silva Romo,26940
1451173481877627,PT Oaxaca,PT Oaxaca,26559
1667417456701228,Porfirio Muñoz Ledo,Porfirio Muñoz Ledo,25279
1447162058905900,Jaime Castellanos del Campo,Jaime Alberto Castellanos Del Campo,23793
688172781386207,Azael Santiago Chepi,Azael Santiago Chepi,21043
2406840252911801,MARIO para Morena,MARIO para Morena,18871
108819392526809,Partido Acción Nacional,Partido Acción Nacional,18319
308788292633006,Maribel Martínez Ruiz,PT Oaxaca,17431
1453035258301900,Carol Antonio Altamirano,Carol Antonio Altamirano,16660
108426420902413,Kwai-SA-funny,These ads ran without a disclaimer,16242
264773293005,Marko Cortés,Marko Cortés,15792
171751476305840,Movimiento Ciudadano Oaxaca,Movimiento Ciudadano Oaxaca,15416
126494491380455,Horacio Sosa Villavicencio,Horacio Sosa Villavicencio,13683
831306856905783,Diario Tiempo México,Diario Tiempo México,13482
100725871681470,Kwai-SA-reallife,These ads ran without a disclaimer,12735
231205014943789,Desde abajo y con la gente,Desde abajo y con la gente,12560
1812297282329742,Jorge Triana,Jorge Triana Tena,12485
1588437514742285,Víctor Hugo Govea,Víctor Hugo Govea,12023
267007683433405,Arias Consultores,Luis Octavio Arias Ortiz,12000
507647349636683,Morenación,Adsocial México,11527
1773489706006707,Partido Verde Ecologista Oaxaca,José Eduardo Vásquez Morales,10513
1857879237607479,Diego De La Cruz,Diego Moises Perez De La Cruz,9543
206323119403212,Mario Delgado Carrillo,Mario Delgado Carrillo,9367
584159151722389,Pavel López Gómez,Pavel López Gómez,9270
388510497880840,Diputados PAN,Diputados PAN,9104
110829774107582,Sí Por México,Sí Por México,8835
142145835862894,IEXE Universidad,IEXE Universidad,8772
449533531817208,Ale Morlan,Ale Morlan,8478
136092926468080,PRI Oficial México,PRI Oficial México,7868
950257431712751,México Desigual,Arturo Vázquez Rodríguez,7782
110320423807974,Latinus,Latinus,7191
103749248038035,La Voz de México,ALAgencia,7076
114024430364416,YoXmx,YoXmx,7039
881164002087290,Miguel Ángel Morales Amaya,Miguel Angel Morales Amaya,6952
142145835862894,IEXE Universidad,These ads ran without a disclaimer,6864
248112921917524,Cuauhtémoc Barba Roja,Cuauhtémoc Pérez Carrera,6765
349170969021130,El Incorregible,El Incorregible,6481
1741178926212929,El Observador MX,El Observador MX,6372
1861550397441449,Revista32,Revista32,6324
244524445753966,Armando Contreras Castillo,Magaly Reyes,5932
186073704903313,México elige,México elige,5832
114889085297701,Ricardo Anaya Cortés,Ricardo Anaya Cortés,5785
107680224300245,Contraste México,MEDIO CONTRASTE,5501
118921468203786,Movimiento Ciudadano,Movimiento Ciudadano,5179
268620870702782,Edgardo Aguilar,Edgardo Alejandro Aguilar Escobar,5155
171588363383768,César Morales Niño,César Enrique Morales Niño,5000
338174139686776,Mauricio Kuri,Mauricio Kuri,4851
640697589424301,Víctor Fuentes Solís,Víctor Manuel Espíndola Villegas,4839
1013139202203880,Polilogy,Polilogy,4767
113218720098550,Valor Financeiro,These ads ran without a disclaimer,4695
258430140834731,El Imparcial de Oaxaca,Giezi Hiram Garcia Vargas,4659
589986837753932,Salomón Jara Cruz,Noe Jara Espejel,4578
115452255131465,Alejandro Moreno Cárdenas,Alejandro Moreno Cárdenas,4532
157202367705335,Hersalcop Group,Antonio Ricardo Hernandez Salinas,4449
100867376619769,Xóchitl Gálvez Ruiz,Xóchitl Gálvez Ruiz,4392
133700114382,El Palacio de Hierro,These ads ran without a disclaimer,4252
103822797878611,Mina Don David Gold,GBG Agency,4243
407894373329897,Acta Diurna,Estrategia Social,4198
365131753983556,Cora Pinedo Alonso,Cora Cecilia Pinedo Alonso,3832
138506541505,INE México,INE México,3806
105922857734079,Las Noticias,Las Noticias,3799
1522195418029530,Político MX,Político.mx,3734
349995665094283,Revolución TresPuntoCero,These ads ran without a disclaimer,3705
318951102340226,Salud Justa Mx,Salud Justa Mx,3648
333932057250036,Alejandro Rojas Díaz Durán,ARDD,3581
107615907597218,El Regreso de Francisco Zarco,Periódico La Justicia,3320
96637444189,Embajada Estados Unidos en México,These ads ran without a disclaimer,3184
124631600949535,Yo Influyo,YoXmx,3165
102099001452432,Morena es de Todos,ViveMx,3160
1637462289838029,Diputados Morena,Diputados Morena,3100
1989386697977287,Cristal Pelayo,Cristal Pelayo Rodríguez,3085
63635808800,Mario Zamora Gastelum,Mario Zamora Gastelum,3066
100425405130792,Ixtepec Informado,Edgar Eduardo Gutierrez Santiago,2880
