Page ID,Page Name,Disclaimer,Amount Spent (MXN)
181228948581076,Fernando Manzanilla Prieto,Fernando Manzanilla Prieto,181987
118921468203786,Movimiento Ciudadano,Movimiento Ciudadano,167355
113264930412981,Kwai-SA-music,These ads ran without a disclaimer,128927
101671294918962,Kwai-SA-dance,These ads ran without a disclaimer,67627
108819392526809,Partido Acción Nacional,Partido Acción Nacional,42366
460436987319985,Diputados Ciudadanos,Grupo Parlamentario de Movimiento Ciudadano en la Cámara de Diputados,41391
1667417456701228,Porfirio Muñoz Ledo,Porfirio Muñoz Ledo,40978
481939865496353,Vianey García,Vianey García,37604
106045264321266,Acompáñala con Amor,Whysers,37253
108426420902413,Kwai-SA-funny,These ads ran without a disclaimer,32987
112245067227623,Alcance Diario,Alcance Diario,30907
264773293005,Marko Cortés,Marko Cortés,29174
453934008467355,Claudia Pérez Rodríguez,Claudia Pérez Rodríguez,24350
2406840252911801,MARIO para Morena,MARIO para Morena,24057
403915056325207,Blanca Jiménez,Blanca Jiménez,23751
198100480315124,José Juan Espinosa,Jose Juan Espinosa,21909
142145835862894,IEXE Universidad,IEXE Universidad,20506
100725871681470,Kwai-SA-reallife,These ads ran without a disclaimer,19607
142145835862894,IEXE Universidad,These ads ran without a disclaimer,19328
264174383671124,Periódico Visión Política & Social,Periódico Visión Política & Social,18471
1588437514742285,Víctor Hugo Govea,Víctor Hugo Govea,18186
1812297282329742,Jorge Triana,Jorge Triana Tena,17563
831306856905783,Diario Tiempo México,Diario Tiempo México,16256
475701329848618,Lalo Rivera Santamaria,Lalo Rivera Santamaria,16180
231205014943789,Desde abajo y con la gente,Desde abajo y con la gente,15808
409251319128973,Instituto Electoral del Estado,Instituto Electoral del Estado,15682
1545555582174942,TResearch,Carlos Penna Charolet,14741
507647349636683,Morenación,Adsocial México,13367
110829774107582,Sí Por México,Sí Por México,12809
114024430364416,YoXmx,YoXmx,12711
288380955652,Eduardo Rivera Pérez,Erp Rivera,11954
508887689459089,Karina Pérez Popoca,UNKONDITIONAL,11482
315764568858695,Pablo Salazar,Pablo Salazar Vicentello,11027
110320423807974,Latinus,Latinus,10998
1741178926212929,El Observador MX,El Observador MX,10115
