Page ID,Page Name,Disclaimer,Amount Spent (MXN)
206604539439888,Luis Nava,Luis Nava,334489
139039096175032,Pancho Domínguez,Francisco Dominguez Servien,297721
161020766408,Gobierno del Estado de Queretaro,SOME CONTENT MARKETING,173114
176727165686733,Radio y Televisión Querétaro,GRUPO VALPI,114632
421877377878288,Municipio de Querétaro,Municipio de Querétaro,88258
327858987300829,Secretaría de la Juventud del Estado de Querétaro,GRUPO VALPI,87070
338174139686776,Mauricio Kuri,Mauricio Kuri,80313
609292669728172,Querétaro al Día,Arturo Vázquez Rodríguez,79229
217907742171778,Germain Garfias,Germain Garfias,77115
219469368674864,Querétaro Orgullo de México,SOME CONTENT MARKETING,74329
1414841518773835,María Alemán Muñoz Castillo,María Alemán Muñoz Castillo,69305
327301994408641,Querétaro Tuyo,SOME CONTENT MARKETING,62732
114175028689083,Juan José Jiménez Yáñez,Juan José Jiménez Yáñez,57554
456600308169797,Secretaría de Gobierno del Estado de Querétaro,GRUPO VALPI,56695
113264930412981,Kwai-SA-music,These ads ran without a disclaimer,50297
245685942538080,VOTA Querétaro,VOTA Querétaro,50201
158056281051438,Querétaro elige,México elige,47888
100289911720885,Supervisión Sanitaria Covid19 Querétaro,GRUPO VALPI,43730
136240676894192,Roberto Sosa Pichardo,Roberto Sosa Pichardo,37777
180533315991,Guanajuato Gobierno del Estado,Difraxion Group,36281
178794782212537,Roberto Cabrera Valencia,Roberto Cabrera Valencia,36189
238139519930629,Acción Policial Querétaro,GRUPO VALPI,35539
108819392526809,Partido Acción Nacional,Partido Acción Nacional,29763
1911411035852329,Elecciones&Encuestas,Arturo Vázquez Rodríguez,28242
52061777022,Querétaro.Travel,GRUPO VALPI,26823
1545555582174942,TResearch,Carlos Penna Charolet,26222
183209585754637,Dani Salgado,Martha Daniela Salgado Marquez,26064
106045264321266,Acompáñala con Amor,Whysers,23995
101671294918962,Kwai-SA-dance,These ads ran without a disclaimer,23295
322632628342690,Secretaría de Turismo del Estado de Querétaro,GRUPO VALPI,22147
288932145167469,Municipio de Corregidora,Municipio de Corregidora,20777
609292669728172,Querétaro al Día,Redacción Querétaro al Día,19571
195432467562002,CódigoQro,CódigoQro,18215
224725504745481,Sí en Querétaro,GRUPO VALPI,17965
1667417456701228,Porfirio Muñoz Ledo,Porfirio Muñoz Ledo,17051
100337308423774,Lennyz Meléndez Chacón,Lennyz Melendez Chacón,16969
215102302059,Secretaría de Cultura del Estado de Querétaro,GRUPO VALPI,16003
961310490582166,FeliFer Macías,Felipe Macías,15597
176047519101203,Códice Informativo,Códice Informativo,15235
604988999663131,Agustín Dorantes,Agustín Dorantes,13202
1644730469175641,Programa Estatal de Seguridad Querétaro,SOME CONTENT MARKETING,13045
148180912630259,Jorge Luis Montes Nieves,Jorge Luis Montes Nieves,13013
264773293005,Marko Cortés,Marko Cortés,12653
108426420902413,Kwai-SA-funny,These ads ran without a disclaimer,11305
343056139153924,La Manga Mx,La Manga Medios de Comunicación,10918
101245671391853,Edgar "Güero" Inzunza,Edgar Guero Inzunza,10455
419726405256893,Elvia Montes,Elvia Montes Trejo,9994
139551722754346,Asomarte,GRUPO VALPI - CARAL,9132
110320423807974,Latinus,Latinus,8914
871404969568630,Mauricio Ruiz Olaes,Mauricio Ruiz Olaes,8725
293707754465943,Toño Mejía,Redboxmex,8425
1639514212990398,Municipio de Tequisquiapan,Redboxmex,8412
2406840252911801,MARIO para Morena,MARIO para Morena,8197
1478983305654667,Abigail Arredondo Ramos,Abigail Arredondo Ramos,8060
193076804181815,Movimiento Ciudadano Querétaro,Movimiento Ciudadano Querétaro,7960
100725871681470,Kwai-SA-reallife,These ads ran without a disclaimer,7798
142145835862894,IEXE Universidad,These ads ran without a disclaimer,7516
102997974732481,Pandamex,M Zambrano,7157
831306856905783,Diario Tiempo México,Diario Tiempo México,7136
217907742171778,Germain Garfias,These ads ran without a disclaimer,6710
232304497541478,Ma Guadalupe Alcántara De Santiago,Maria Guadalupe Alcantara De Santiago,6599
558337647622081,Frecuencia.Mx,Editorial Frecuencia,6432
1588437514742285,Víctor Hugo Govea,Víctor Hugo Govea,6336
1812297282329742,Jorge Triana,Jorge Triana Tena,6329
218042309614926,Lozoya al rescate,Tania Silva Uscanga,6250
116107820205816,Circo Chino de Morena,Tania Silva Uscanga,5991
102460261392404,Noticias79mx,Noticias79mx,5984
142145835862894,IEXE Universidad,IEXE Universidad,5917
216544241712413,Instituto Electoral del Estado de Querétaro,These ads ran without a disclaimer,5846
141231709227675,"Estado de Guanajuato, México",Ads Project Media,5608
1635757799819798,Tania Palacios Kuri,Tania Palacios Kuri,5564
158056281051438,Querétaro elige,These ads ran without a disclaimer,5380
1399549120317089,Hugo Cabrera,José Hugo Cabrera Ruiz,5255
322632628342690,Secretaría de Turismo del Estado de Querétaro,Grupo Valpi,5149
1644730469175641,Programa Estatal de Seguridad Querétaro,GRUPO VALPI,5130
110829774107582,Sí Por México,Sí Por México,5092
507647349636683,Morenación,Adsocial México,5034
114024430364416,YoXmx,YoXmx,4898
231205014943789,Desde abajo y con la gente,Desde abajo y con la gente,4663
345156559163874,Norma Mejía Lira,Redboxmex,4578
103547291058979,Juntos con San Luis,Gabriela Pantoja,4413
104958361096074,Se tenía que decir,Se tenía que decir.,4392
129116715379616,La Lotería Del Pueblo,Hugo Junco Olvera,4279
318951102340226,Salud Justa Mx,Salud Justa Mx,4201
372042876497997,Soy Informante,Adán Figueroa,4000
235994093744848,Contra Réplica,Contra Réplica,3999
1013139202203880,Polilogy,Polilogy,3900
1608583589191395,Lety Servín,Leticia Servín Moya,3895
186073704903313,México elige,México elige,3882
950257431712751,México Desigual,Arturo Vázquez Rodríguez,3845
338439980329802,Fiscalía General de Querétaro,These ads ran without a disclaimer,3763
322210114635895,Update México,Update México,3714
282554605481439,Selina,These ads ran without a disclaimer,3647
136092926468080,PRI Oficial México,PRI Oficial México,3581
424799597729218,DIF Tequisquiapan,Redboxmex,3575
469147416492165,Memo Vega,Equipo Comunicación Memo Vega,3551
1741178926212929,El Observador MX,El Observador MX,3477
114889085297701,Ricardo Anaya Cortés,Ricardo Anaya Cortés,3422
593836767425444,Universidad Americana de Europa - UNADE,These ads ran without a disclaimer,3274
118921468203786,Movimiento Ciudadano,Movimiento Ciudadano,3103
303653106669660,El Informe Diario,El Informe Diario Noticias,2988
1861550397441449,Revista32,Revista32,2969
138506541505,INE México,INE México,2830
131240556973754,PAN  Querétaro,PAN  Querétaro,2644
133700114382,El Palacio de Hierro,These ads ran without a disclaimer,2627
744689565632285,Tu Prepa Con Un Sólo Examen Querétaro,These ads ran without a disclaimer,2583
267018783320418,Democrats Abroad Mexico,Democrats Abroad,2582
1561665210574560,Giovanni Contestabile Borbolla,Giovanni Borbolla,2570
146568692144740,Senadores del PAN,Senadores del PAN,2514
206323119403212,Mario Delgado Carrillo,Mario Delgado Carrillo,2465
273703559507054,Juan Carlos Briz,Juan Carlos Briz Cabrera,2401
1637462289838029,Diputados Morena,Diputados Morena,2376
113218720098550,Valor Financeiro,These ads ran without a disclaimer,2317
1989386697977287,Cristal Pelayo,Cristal Pelayo Rodríguez,2212
101171214850717,Trabajando Avanzamos Mas,Trabajando Avanzamos Mas,2209
116437828394342,Phiten Mexico,Phiten Mexico,2206
211358622680390,El Heraldo de México,These ads ran without a disclaimer,2151
504611086320350,Verdades Morena y Gobierno,Andres Cuauhtemoc Tovilla Saenz,2058
124631600949535,Yo Influyo,YoXmx,2016
456600308169797,Secretaría de Gobierno del Estado de Querétaro,These ads ran without a disclaimer,2013
1982146505335578,El Grillo Mx,El Grillo Mx,2000
100867376619769,Xóchitl Gálvez Ruiz,Xóchitl Gálvez Ruiz,1974
101249878412992,Tuzo Infomativo,Maria De Jesus Morales Rios,1891
640697589424301,Víctor Fuentes Solís,Víctor Manuel Espíndola Villegas,1877
233652128065243,Goberna México,Goberna,1874
303653106669660,El Informe Diario,Expresión Express,1838
113068922066479,Códice S.C.,Códice S.C.,1824
103058157870233,Codishe,Os Palacios,1783
115452255131465,Alejandro Moreno Cárdenas,Alejandro Moreno Cárdenas,1766
745587518904179,Laura Dorantes,Laura Dorantes,1747
200422547364050,Red 365 Noticias,Red 365 Noticias,1722
107308034009698,Partido del Trabajo Qro,Angel Cesar Zafra Urbina,1720
1522195418029530,Político MX,Político.mx,1687
419072541997625,El Marqués Online,Arturo Emilio Garcia Salim,1641
639738256098635,Héctor González,Héctor González Flores,1600
1639145722990163,Huimilpan Querétaro,Huimilpan Querétaro,1594
105142314636874,Queretanos con Lozoya,Tania Silva Uscanga,1445
124631600949535,Yo Influyo,Yo Influyo,1405
107615907597218,El Regreso de Francisco Zarco,Periódico La Justicia,1383
109193504243629,Encuestas MX,Logística Digital,1370
101171214850717,Trabajando Avanzamos Mas,These ads ran without a disclaimer,1338
695915467133155,UNIR México - La Universidad Internacional de La Rioja en México,These ads ran without a disclaimer,1277
106974254248173,PT Querétaro,Angel Cesar Zafra Urbina,1254
333932057250036,Alejandro Rojas Díaz Durán,ARDD,1238
1013711568670043,Noticias RTQ,GRUPO VALPI,1234
365131753983556,Cora Pinedo Alonso,Cora Cecilia Pinedo Alonso,1210
279597259386023,Sinergia Consultores,Fidel Christian Rubí Huicochea,1208
1644910842412292,Michel Torres,Redboxmex,1187
179387312078698,Partido Verde Ecologista México,Partido Verde Ecologista México,1187
469925686738562,El Guardián,El Guardián,1186
354494428730164,Dulce Ventura,These ads ran without a disclaimer,1167
164119290359519,Marcelo Torres Cofiño,Marcelo Torres Cofiño,1156
63635808800,Mario Zamora Gastelum,Mario Zamora Gastelum,1117
333932057250036,Alejandro Rojas Díaz Durán,PM,1111
103821621408670,Secretaría de Créditos Personales,These ads ran without a disclaimer,1108
178794782212537,Roberto Cabrera Valencia,These ads ran without a disclaimer,1101
338345543298460,Caudae,Ana Rios Jimenez,1093
573481516387522,Likee español,These ads ran without a disclaimer,1088
103052437761182,Dentilens San Juan del Río,These ads ran without a disclaimer,1077
116413566857665,La Gaceta del Movimiento,La gaceta del movimiento,1055
1399549120317089,Hugo Cabrera,Jose Saul Cabrera Ruiz,1014
654438288307705,El Blog de Porter,El Blog de Porter,988
348895839272298,Brandon Steve Jimenez,Brandon Esteban Jimenez,985
109443503917063,Hort Americas Mexico,These ads ran without a disclaimer,977
327301994408641,Querétaro Tuyo,These ads ran without a disclaimer,963
434473639950078,Museo Iconográfico del Quijote,Ads Project Media,950
213693228664478,Cámara de Diputados - H. Congreso de la Unión,Cámara de Diputados - H. Congreso de la Unión,949
289568107808375,UVEG Universidad Virtual del Estado de Guanajuato,Ads Project Media,948
832298706889408,111%,These ads ran without a disclaimer,947
104680124489636,Demoscopia Digital,Mario Garza,945
310617808978370,Fito Bonilla,Fito Bonilla,937
1665047283579389,24/7 365 noticias,Logística Digital,931
248752192235773,Pepe Villarreal,Pepe Villarreal Cepeda,921
771582112931229,Forever 21,These ads ran without a disclaimer,920
318044945052610,Acciona,Agencia de Noticias Acciona,912
102505781415742,Santiago Nieto,These ads ran without a disclaimer,886
100706211752106,Bienestar Financiera SA,These ads ran without a disclaimer,882
1933205943628352,Desdelaizquierda,Desdelaizquierda,864
161020766408,Gobierno del Estado de Queretaro,These ads ran without a disclaimer,854
100713188414151,Cetespo Consultores,Bibiana Araceli Ramirez Cervantes,845
174020129929884,Katya Soto,MATS MEDIA,829
270542790526021,Connie Resendiz,These ads ran without a disclaimer,825
122154061801959,Colectivo Mujeres Cabeza de Familia,YXMEX,812
153118154700641,Claudia Pavlovich,Sonora GOB MX,808
132563014050571,Democrats Abroad San Miguel de Allende,Democrats Abroad San Miguel de Allende Chapter,792
2113832548671769,The Conin Times,Arturo Emilio Garcia Salim,775
231205014943789,Desde abajo y con la gente,Por un Morena democrático,772
148709191834718,Alcaldes de México,Alcaldes de México,740
895938283870406,Democrats Abroad - Mexico City Chapter,Democrats Abroad Mexico,735
