Page ID,Page Name,Disclaimer,Amount Spent (MXN)
108733917449553,El Proceso MX,El Proceso México,212732
620691984702367,YA BASTA,YA BASTA,208771
104918204316548,Las noticias,Las Noticias,151881
101894304863048,Ocurrió Aquí,OcurrioAquiPlayaDelCarmen,147336
101437378406987,Todos por Solidaridad,Todos Por Solidaridad,147253
1730758870296537,Líder Quintana Roo,Líder Quintana Roo,107495
105922857734079,Las Noticias,Las Noticias,85223
331265457526945,El Blog del Narco,El Blog del Narco Remasterizado,85000
110148990581767,Revolución Morena,Revolución Morena,82112
102908651561799,Fundadores de Morena,Fundadores de Morena,79417
708801255893393,Corrupción México,Corrupción México,78314
461461504595100,Anonymous Playa del Carmen,Anonymous Playa del Carmen,71783
1976644152440072,Lili Campos,Lili Campos,64095
950257431712751,México Desigual,Arturo Vázquez Rodríguez,62083
113264930412981,Kwai-SA-music,These ads ran without a disclaimer,39154
107775391069072,Expedientes Populares,Expedientes Populares,37897
101391710261608,Netacaribe,Netacaribe,32556
1027132650637450,Al Momento México,Somos Morales,27499
1612981602288350,Quinta Fuerza,Quinta Fuerza,26768
1542624742637666,Carlos Joaquín,Gobierno del Estado de Quintana Roo,26648
109045531027997,Mujeres Morena Quintana Roo,Mujeres Morena Quintana Roo,26500
2077238452497705,Pedro Joaquin D,Pedro Joaquín,25269
349170969021130,El Incorregible,El Incorregible,23783
600222377307545,Vínculo Empresarial,Ingrid Madrigal,21987
111756813996560,Unidas contra la Corrupción,Unidas Contra La Corrupción,21520
114600460281398,el quintanarroense,elquintanarroense,20335
102217931647310,Unidos Por Quintana Roo,Unidos Por Quintana Roo,19950
113021040550285,Rumbo 22,Rumbo 22,19644
103768424931891,Periodismo de Investigación QR,Periodismo de Investigación QR,18000
457938367703310,Sol Quintana Roo,Iván Méndez,17940
116215223624226,Círculo Violeta Yucatán,Ciirculo Violeta Yucatan,17000
101671294918962,Kwai-SA-dance,These ads ran without a disclaimer,16020
109402240811976,Lasnoticias,Manuel Yanez Herrero,15685
344797429471572,Quintana Roo TV,Quintana Roo TV,15478
105149968093243,Noé Martínez "El Power",Noé Martínez,15000
113648483733535,La Gaceta Riviera Maya,La Gaceta Riviera Maya,14998
394579937307087,Marybel Villegas Canché,Marybel Villegas Canché,14792
114576743747826,Consejo Comunitario de la Cuenca de la Laguna de Bacalar,Consejo Comunitario Bacalar,14179
1667417456701228,Porfirio Muñoz Ledo,Porfirio Muñoz Ledo,13896
509821702820171,24 Horas Quintana Roo,24 Horas Quintana Roo,12927
1806166496287427,Atenea Gomez Ricalde,Atenea Gomez Ricalde,12250
171020569755976,Periódico Espacio,Periódico Espacio,12237
100549838155131,Las Noticias de Cozumel,Marco García,12220
107680224300245,Contraste México,MEDIO CONTRASTE,12000
2357230887848793,Informativo Tulum,Informativo Tulum,11775
946165805559850,Guille Alvarado,Guillermina Alvarado,10313
127083544808103,Edgar Gasca Arceo,Edgar Gasca Arceo,10051
494311048099853,Revelaciones,Mirna Guadalupe Hernandez Velasco,10000
582192182448028,Universal,Jeremias Daniel Miranda Santos,9999
108819392526809,Partido Acción Nacional,Partido Acción Nacional,9896
409800789114458,Antonio Pelón Cervera,Antonio Pelón Cervera,9853
189172668511244,José Luis Guillén,Jose Luis Guillén,9088
461461504595100,Anonymous Playa del Carmen,Esperanza Marleny Sánchez Zacarias,9000
623669688259416,Arias Quintana Roo,Jeremias Daniel Miranda Santos,8902
2406840252911801,MARIO para Morena,MARIO para Morena,8687
100725871681470,Kwai-SA-reallife,These ads ran without a disclaimer,8040
264773293005,Marko Cortés,Marko Cortés,7890
108426420902413,Kwai-SA-funny,These ads ran without a disclaimer,7698
198544846965809,Dr. Pech,Dr José Luis Pech,7611
102563354859746,Ladosisdiaria,Manuel Yanez Herrero,7534
598362420855619,Verdades Incómodas,Yuliana Perez Villareal,7500
1542624742637666,Carlos Joaquín,These ads ran without a disclaimer,7214
282554605481439,Selina,These ads ran without a disclaimer,7053
109231034125795,El Incorregible,El Incorregible,6904
1588437514742285,Víctor Hugo Govea,Víctor Hugo Govea,6224
1812297282329742,Jorge Triana,Jorge Triana Tena,5985
