Page ID,Page Name,Disclaimer,Amount Spent (MXN)
154652694604556,Ricardo Gallardo Cardona,Ricardo Gallardo Cardona,135317
831306856905783,Diario Tiempo México,Diario Tiempo México,130919
154652694604556,Ricardo Gallardo Cardona,Raul Ivan Lopez Guzman,99586
636015047036720,México Decide,México Decide,95901
101625421763525,San Luis Potosí Times,San Luis Potosi Times MX.,91144
760062017438548,Marco Gama,Marco Gama,75266
271327359622592,Sonia Mendoza (Oficial),Sonia Mendoza,65500
2052400901712207,Rolando Hervert Lara,Rolando Hervert Lara,50140
113264930412981,Kwai-SA-music,These ads ran without a disclaimer,47617
364121500284623,Octavio Pedroza,Octavio Pedroza,45286
950257431712751,México Desigual,México Desigual,44702
248040005385097,Movimiento Ciudadano San Luis Potosí,Movimiento Ciudadano San Luis Potosí,44594
114436937022157,Arturo Segoviano,Arturo Segoviano,42163
1545555582174942,TResearch,Carlos Penna Charolet,40475
121575759753561,SLP News,SLP News MX.,40181
118627876711899,Informando en SLP,Informando en SLP.,40181
115865350325387,San Luis Te Informa,San Luis Te Informa.,28675
1522195418029530,Político MX,Político.mx,27267
163560307917372,Gobierno Municipal SLP,Gobierno Municipal SLP,24967
101671294918962,Kwai-SA-dance,These ads ran without a disclaimer,24806
154656868813091,Cuauhtli Badillo Moreno,Cuauhtli Badillo Moreno,21563
108819392526809,Partido Acción Nacional,Partido Acción Nacional,20411
1667417456701228,Porfirio Muñoz Ledo,Porfirio Muñoz Ledo,20229
609438093047420,Epicentro de Información,Epicentro de Información,19973
159322210837542,Boris SLP,Boris SLP,17997
420690148033445,Enrique Galindo Ceballos,Jorge Romero,17413
103547291058979,Juntos con San Luis,Gabriela Pantoja,15416
264773293005,Marko Cortés,Marko Cortés,14303
1547549472229268,Adrián Esper Cárdenas,Adrián Esper Cárdenas,13486
1665047283579389,24/7 365 noticias,Logística Digital,12149
103873551456376,X San Luis,Silent Mob,11641
100368351835542,Isidro Mejía,Guillermo Emmanuel Cabrera Sifuentes,11630
108426420902413,Kwai-SA-funny,These ads ran without a disclaimer,11466
280927511972014,La Orquesta,La Orquesta,10782
841441875939734,Indagar Estudios de Mercado,Indagar,10769
2406840252911801,MARIO para Morena,MARIO para Morena,10291
235994093744848,Contra Réplica,Contra Réplica,10174
1588437514742285,Víctor Hugo Govea,Víctor Hugo Govea,10061
864842056941867,Pepe Toño Zapata Meraz,Pepe Zapata Meraz,9991
1812297282329742,Jorge Triana,Jorge Triana Tena,9772
115763806963414,Al Digital Noticias,Al Digital Noticias MX.,9581
114436937022157,Arturo Segoviano,These ads ran without a disclaimer,9514
100725871681470,Kwai-SA-reallife,These ads ran without a disclaimer,8604
950257431712751,México Desigual,Arturo Vázquez Rodríguez,8374
100702171807033,Ayuntamiento de Tampamolón,Guillermo Emmanuel Cabrera Sifuentes,7697
105932557992297,Al Momento News,Al Momento News.,7170
110829774107582,Sí Por México,Sí Por México,6797
