Page ID,Page Name,Disclaimer,Amount Spent (MXN)
1911411035852329,Elecciones&Encuestas,Contacto Elecciones y Encuestas,226201
628080421179736,Código Sinaloa,Info Código Sinaloa,213607
106006482764390,Gobierno del Estado de Sinaloa,Gobierno del Estado de Sinaloa,140037
628080421179736,Código Sinaloa,Arturo Vázquez Rodríguez,83000
113264930412981,Kwai-SA-music,These ads ran without a disclaimer,62348
186073704903313,México elige,México elige,58937
260456434066296,Gerardo Vargas Landeros,Magdiel Leyva,57872
639300266697863,Sol del Norte,Redacción Sol del Norte,48760
742040689262613,Imelda Castro Castro,Imelda Castro Castro,47239
950257431712751,México Desigual,México Desigual,42559
106006482764390,Gobierno del Estado de Sinaloa,These ads ran without a disclaimer,38539
101671294918962,Kwai-SA-dance,These ads ran without a disclaimer,27043
950257431712751,México Desigual,Arturo Vázquez Rodríguez,26814
1479710548743849,Meridiano,Meridiano,22915
636616453626425,Crónica del Norte,Crónica del Norte,22000
288409661648016,Canal 8 Noticias,Canal 8 Noticias,21863
1667417456701228,Porfirio Muñoz Ledo,Porfirio Muñoz Ledo,21475
109415874209057,Dice la Plebe,Mariana Torres Vargas,20543
108819392526809,Partido Acción Nacional,Partido Acción Nacional,18895
732161400299860,Fiscalía General de Sinaloa,Fiscalía General de Sinaloa,18516
106329077924057,Juntos Rescatemos Sinaloa Con la 4T,Jesus Antonio Romero Ayala,15986
264773293005,Marko Cortés,Marko Cortés,15807
1545555582174942,TResearch,Carlos Penna Charolet,15484
1273149982717247,Sergio Esquer Peiro,GPES,14569
1911411035852329,Elecciones&Encuestas,Arturo Vázquez Rodríguez,14288
636015047036720,México Decide,México Decide,12500
100725871681470,Kwai-SA-reallife,These ads ran without a disclaimer,12292
2406840252911801,MARIO para Morena,MARIO para Morena,12242
63635808800,Mario Zamora Gastelum,Mario Zamora Gastelum,11943
108426420902413,Kwai-SA-funny,These ads ran without a disclaimer,11809
488568771161572,Lorenia Valles,Lorenia Valles,11278
831306856905783,Diario Tiempo México,Diario Tiempo México,10657
354991384534032,Héctor Melesio Cuén Ojeda,cuén.mx,10504
113658440335813,Data Tracking,Samuel Espinosa Salazar,10473
572136752925476,La Gaceta.me Sinaloa,La Gaceta.me,9192
1588437514742285,Víctor Hugo Govea,Víctor Hugo Govea,8971
118921468203786,Movimiento Ciudadano,Movimiento Ciudadano,8725
1773267296035505,La hora,La hora,8528
1812297282329742,Jorge Triana,Jorge Triana Tena,8016
1598372763512434,Erika Sánchez,Lourdes Erika Sanchez Martinez,7490
356460587739203,Carlos Castaños V.,Jesús Alberto Soberanes Rojas,7449
136092926468080,PRI Oficial México,PRI Oficial México,7231
142145835862894,IEXE Universidad,These ads ran without a disclaimer,7213
110829774107582,Sí Por México,Sí Por México,7119
1869033043324346,Acontecimientos Mazatlán,Acontecimientos Mazatlán,7099
100506455125967,Amigos de Gerardo Vargas Landeros,Magdiel Leyva,6953
2281223952107338,SR Noticias,SR Noticias,6952
231205014943789,Desde abajo y con la gente,Desde abajo y con la gente,6783
1013139202203880,Polilogy,Polilogy,6722
106579104150886,Venado Político,Venado Político,6648
349084108624787,Vivavoz,Vladimir Medina Burgos,6348
507647349636683,Morenación,Adsocial México,6344
142145835862894,IEXE Universidad,IEXE Universidad,5978
318951102340226,Salud Justa Mx,Salud Justa Mx,5964
338174139686776,Mauricio Kuri,Mauricio Kuri,5445
110320423807974,Latinus,Latinus,5138
102898631190055,Ola Informativa,Ola Infotmativa,5101
245495562137150,Mitofsky,Roy Campos,5076
109415874209057,Dice la Plebe,Irma Hernández Rios,4964
462460250474093,Sergio Torres Félix,Caro Esparragoza,4767
101431055047391,Promoción Política de la Mujer Sinaloa,Miguel Angel MuñozSchubert Ramirez,4755
241856122540609,Dr. Jesús Héctor Muñoz Escobar,Jesus Hector Muñoz Escobar,4752
1936250866411181,Grupo Parlamentario PRI Sinaloa LXIII Legislatura,César Arturo Marrujo Terrazas,4746
1350975028356856,Fundación Colosio Sinaloa,César Arturo Marrujo Terrazas,4726
114889085297701,Ricardo Anaya Cortés,Ricardo Anaya Cortés,4722
114024430364416,YoXmx,YoXmx,4572
138506541505,INE México,INE México,4563
235994093744848,Contra Réplica,Contra Réplica,4520
1741178926212929,El Observador MX,El Observador MX,4372
206323119403212,Mario Delgado Carrillo,Mario Delgado Carrillo,4274
181691059157004,Maz-Noticias,Maz-Noticias,3998
640697589424301,Víctor Fuentes Solís,Víctor Manuel Espíndola Villegas,3978
116190211867723,Leobardo Alcántara Martínez,Jesus Perez Moreno,3919
1522195418029530,Político MX,Político.mx,3724
113218720098550,Valor Financeiro,These ads ran without a disclaimer,3607
109626380407713,ABC Noticias,ABC Noticias,3605
496608220487595,Politica Con Tambora,Politica Con Tambora,3578
267018783320418,Democrats Abroad Mexico,Democrats Abroad,3537
122891192657759,Generando Valores y Liderazgo AC,Magdiel Leyva,3520
1861550397441449,Revista32,Revista32,3384
132937237051562,Alvaro Ruelas,Alvaro Ruelas Echave,3350
100867376619769,Xóchitl Gálvez Ruiz,Xóchitl Gálvez Ruiz,3327
132236040250570,Acertijos desde Sinaloa,Francisco Zatarain,3318
101171214850717,Trabajando Avanzamos Mas,Trabajando Avanzamos Mas,3074
135254921271577,El Diario de Sinaloa,Pamela Hernandez Rios,3065
105041851050104,Gildardo Leyva,Gildardo Leyva Ortega,3064
133700114382,El Palacio de Hierro,These ads ran without a disclaimer,3037
116190211867723,Leobardo Alcántara Martínez,These ads ran without a disclaimer,2973
1989386697977287,Cristal Pelayo,Cristal Pelayo Rodríguez,2908
102099001452432,Morena es de Todos,ViveMx,2900
174504536386541,ISIFE   Instituto Sinaloense De La Infraestructura Física Educativa,Maria Guadalupe Landeros Guicho,2797
146568692144740,Senadores del PAN,Senadores del PAN,2633
116437828394342,Phiten Mexico,Phiten Mexico,2585
365131753983556,Cora Pinedo Alonso,Cora Cecilia Pinedo Alonso,2548
1122274774451777,Alfredo Villegas,Roberto Osuna Mellado,2515
289568107808375,UVEG Universidad Virtual del Estado de Guanajuato,Ads Project Media,2408
192821671347617,Faustino Hernandez Alvarez,César Arturo Marrujo Terrazas,2400
103821621408670,Secretaría de Créditos Personales,These ads ran without a disclaimer,2390
103749248038035,La Voz de México,ALAgencia,2329
196705420663884,Código Magenta,Código Magenta,2252
333932057250036,Alejandro Rojas Díaz Durán,ARDD,2250
593836767425444,Universidad Americana de Europa - UNADE,These ads ran without a disclaimer,2236
164119290359519,Marcelo Torres Cofiño,Marcelo Torres Cofiño,2205
577496305745718,PAN Sinaloa,Miguel Angel MuñozSchubert Ramirez,2171
101853388325883,Culiacán Noticias,These ads ran without a disclaimer,2131
509406789227133,Alberto Soto,Beetho Soto,2041
434855220031435,Rubén Rocha Moya,Rubén Rocha Moya,1999
115452255131465,Alejandro Moreno Cárdenas,Alejandro Moreno Cárdenas,1993
124631600949535,Yo Influyo,YoXmx,1963
104680124489636,Demoscopia Digital,Mario Garza,1841
233652128065243,Goberna México,Goberna,1839
1338826526222530,Héctor Ponce,Héctor Ponce Tizoc,1814
1637462289838029,Diputados Morena,Diputados Morena,1695
310617808978370,Fito Bonilla,Fito Bonilla,1659
333932057250036,Alejandro Rojas Díaz Durán,PM,1654
2224934997751926,Graciela Domínguez Nava,Octavio Hernandez Carrillo,1623
619649338691766,Némesis Diario,Némesis Diario,1619
