Page ID,Page Name,Disclaimer,Amount Spent (MXN)
112673023593035,Ricardo Bours,Ricardo Bours Castelo,1909703
153118154700641,Claudia Pavlovich,Sonora GOB MX,314428
102458154777930,Áragon Estudios de Opinión,Aragon estudios de opinión,216443
106973291099728,Que se haga con Kiko Munro,Ilde Mendivil,211631
118921468203786,Movimiento Ciudadano,Movimiento Ciudadano,88826
897708376929726,México Opina,México elige,80996
479303628822906,Movimiento Ciudadano Sonora,Movimiento Ciudadano Sonora,70469
136017836425540,Gobierno del Estado de Sonora,Gobierno del Estado de Sonora,70363
113264930412981,Kwai-SA-music,These ads ran without a disclaimer,65310
153118154700641,Claudia Pavlovich,Gobierno del Estado de Sonora,54331
648648465748839,Tiempo de Sonora,Tiempo de Sonora,51948
1741178926212929,El Observador MX,El Observador MX,47914
950257431712751,México Desigual,Arturo Vázquez Rodríguez,47382
818596368168362,Sylvana Beltrones Sánchez,Sylvana Beltrones Sánchez,32852
639300266697863,Sol del Norte,Arturo Vázquez Rodríguez,31379
1667417456701228,Porfirio Muñoz Ledo,Porfirio Muñoz Ledo,28774
101671294918962,Kwai-SA-dance,These ads ran without a disclaimer,27748
1584859398411954,PAN Sonora,PAN Sonora,27228
1545555582174942,TResearch,Carlos Penna Charolet,27170
639300266697863,Sol del Norte,Redacción Sol del Norte,27113
108819392526809,Partido Acción Nacional,Partido Acción Nacional,25411
498314750262212,María Dolores Del Río,María Dolores Del Río,25075
335716460273030,El Clarín,El Clarín,23859
373352619361843,Iris Sánchez Chiu,Iris Sánchez Chiu,22510
1870998949839678,El Siglo de México,El Siglo de México,22039
264773293005,Marko Cortés,Marko Cortés,20546
636616453626425,Crónica del Norte,Crónica del Norte,20141
805211616235927,Irma Teran,Irma Maria Terán Villalobos,19829
460667887631901,Red 93.3,Red 93.3,18771
276134379535483,Jesús Alonso Montes Piña,Vamos Transformando,17849
178686128882963,Las5.mx,Las5.mx,16813
460436987319985,Diputados Ciudadanos,Grupo Parlamentario de Movimiento Ciudadano en la Cámara de Diputados,16242
104448711460290,SoyBorreguista,Carlos Canizales,14382
488568771161572,Lorenia Valles,Lorenia Valles,13992
473085373068754,Jesus Pujol Irastorza,Edgar Alonso Sosa Camargo,13685
2406840252911801,MARIO para Morena,MARIO para Morena,13448
100725871681470,Kwai-SA-reallife,These ads ran without a disclaimer,13098
