Page ID,Page Name,Disclaimer,Amount Spent (MXN)
113493108666990,Gobierno del Estado de México,GobiernoEdoMéx,1184165
113264930412981,Kwai-SA-music,These ads ran without a disclaimer,337793
102863700463398,Pepe Couttolenc,Pepe Couttolenc,205489
118921468203786,Movimiento Ciudadano,Movimiento Ciudadano,177814
101671294918962,Kwai-SA-dance,These ads ran without a disclaimer,153128
113493108666990,Gobierno del Estado de México,Edoméx,126720
1667417456701228,Porfirio Muñoz Ledo,Porfirio Muñoz Ledo,102761
1545555582174942,TResearch,Carlos Penna Charolet,92616
820039028079165,Gerardo Pliego,Gerardo Pliego,91114
108819392526809,Partido Acción Nacional,Partido Acción Nacional,74593
108426420902413,Kwai-SA-funny,These ads ran without a disclaimer,70730
454013577974506,IEEM Oficial,IEEM Oficial,68093
264773293005,Marko Cortés,Marko Cortés,55302
831306856905783,Diario Tiempo México,Diario Tiempo México,52212
1635164270048816,Anthony Domínguez Vargas,Adán Figueroa,51051
950257431712751,México Desigual,Arturo Vázquez Rodríguez,48468
379501236155049,Benjamín Alfaro,Benjamín Alfaro,47479
460436987319985,Diputados Ciudadanos,Grupo Parlamentario de Movimiento Ciudadano en la Cámara de Diputados,46045
2406840252911801,MARIO para Morena,MARIO para Morena,45878
208889643060921,Krishna Romero,Krishna Karina Romero Velazquez,44151
100725871681470,Kwai-SA-reallife,These ads ran without a disclaimer,42680
1447605802172501,Karla Fiesco García,Karla Fiesco García,37617
1812297282329742,Jorge Triana,Jorge Triana Tena,36767
2090856164468670,Fernando Vilchis,Fernando Vilchis,36531
1588437514742285,Víctor Hugo Govea,Víctor Hugo Govea,36062
231205014943789,Desde abajo y con la gente,Desde abajo y con la gente,35076
756397431107703,Omar Ortega Álvarez -Oficial,Agencia Digital Gamol,34579
1741178926212929,El Observador MX,El Observador MX,34092
114947288568415,Laura Rojas,Laura Rojas,34080
1667181560266221,Partido Verde Estado de México,Partido Verde Estado de México,32213
224723555310,UNIPRE,These ads ran without a disclaimer,32191
361279587234,Campus Universitario Siglo 21,These ads ran without a disclaimer,30867
110829774107582,Sí Por México,Sí Por México,29812
106045264321266,Acompáñala con Amor,Whysers,28490
469925686738562,El Guardián,El Guardián,26170
114024430364416,YoXmx,YoXmx,25936
124478970898557,PRI ESTADO DE MÉXICO,Statera comunicación,24064
507647349636683,Morenación,Adsocial México,23815
184087985550372,Reneé Rodríguez,Reneé Rodríguez,22376
335716460273030,El Clarín,El Clarín,21910
242462786456689,Marko Galindo,Unidos Por un Mejor País,21139
326647354840146,Sergio Gutiérrez Luna,Sergio Gutiérrez Luna,21071
1384134174966740,La Estampa de México,La Estampa de México,21022
110320423807974,Latinus,Latinus,20969
349170969021130,El Incorregible,El Incorregible,20487
628482797517617,Democracia Moderna,Democracia Moderna,20414
101768391650774,Javier Guadarrama Caballero,Koi comunicación,20299
292073374782474,Municipio de Tlalnepantla de Baz 2019-2021,Municipio de Tlalnepantla de Baz 2019-2021,19995
