Page ID,Page Name,Disclaimer,Amount Spent (MXN)
105922857734079,Las Noticias,Las Noticias,108833
113264930412981,Kwai-SA-music,These ads ran without a disclaimer,53078
101671294918962,Kwai-SA-dance,These ads ran without a disclaimer,26479
1667417456701228,Porfirio Muñoz Ledo,Porfirio Muñoz Ledo,21285
180425288675416,Manuel Rodríguez González,Manuel Rodríguez González,20403
264773293005,Marko Cortés,Marko Cortés,16625
164802676883511,Fiscalía General del Estado de Tabasco,Amir Saadi Gonzalez Sanchez,15683
108819392526809,Partido Acción Nacional,Partido Acción Nacional,14994
837607596288104,Eliseo Fernández Montufar,Community Manager,12800
108426420902413,Kwai-SA-funny,These ads ran without a disclaimer,12534
2406840252911801,MARIO para Morena,MARIO para Morena,11438
100725871681470,Kwai-SA-reallife,These ads ran without a disclaimer,10599
1812297282329742,Jorge Triana,Jorge Triana Tena,10248
1588437514742285,Víctor Hugo Govea,Víctor Hugo Govea,9258
142145835862894,IEXE Universidad,These ads ran without a disclaimer,8203
164802676883511,Fiscalía General del Estado de Tabasco,GBG,7830
831306856905783,Diario Tiempo México,Diario Tiempo México,7773
231205014943789,Desde abajo y con la gente,Desde abajo y con la gente,6981
110829774107582,Sí Por México,Sí Por México,6486
507647349636683,Morenación,Adsocial México,6425
206323119403212,Mario Delgado Carrillo,Mario Delgado Carrillo,5405
142145835862894,IEXE Universidad,IEXE Universidad,5306
114024430364416,YoXmx,YoXmx,5277
950257431712751,México Desigual,Arturo Vázquez Rodríguez,5272
640697589424301,Víctor Fuentes Solís,Víctor Manuel Espíndola Villegas,5243
1741178926212929,El Observador MX,El Observador MX,5210
186073704903313,México elige,México elige,5049
113218720098550,Valor Financeiro,These ads ran without a disclaimer,4997
343958122358178,Juan Manuel Fócil Pérez,Orquídea López,4959
164802676883511,Fiscalía General del Estado de Tabasco,Adrián Ehuan Estrada,4908
114889085297701,Ricardo Anaya Cortés,Ricardo Anaya Cortés,4626
110320423807974,Latinus,Latinus,4375
1602987803290976,Secretaría de Educación Tabasco,These ads ran without a disclaimer,4208
136092926468080,PRI Oficial México,PRI Oficial México,3986
108440534133225,Comparativa Ciudadana,Amir Saadi Gonzalez Sanchez,3962
133700114382,El Palacio de Hierro,These ads ran without a disclaimer,3861
118921468203786,Movimiento Ciudadano,Movimiento Ciudadano,3788
366091457080833,Noticias Tabasco,Héctor Antonio Barallobre Garcia,3564
365131753983556,Cora Pinedo Alonso,Cora Cecilia Pinedo Alonso,3527
338174139686776,Mauricio Kuri,Mauricio Kuri,3510
2267123503572152,Ediltrudis Rodríguez Arellano,Ediltrudis Rodríguez Arellano,3332
103749248038035,La Voz de México,ALAgencia,3273
138506541505,INE México,INE México,3115
1545555582174942,TResearch,Carlos Penna Charolet,3094
115452255131465,Alejandro Moreno Cárdenas,Alejandro Moreno Cárdenas,3083
333932057250036,Alejandro Rojas Díaz Durán,ARDD,2983
103821621408670,Secretaría de Créditos Personales,These ads ran without a disclaimer,2910
1013139202203880,Polilogy,Polilogy,2830
63635808800,Mario Zamora Gastelum,Mario Zamora Gastelum,2787
1522195418029530,Político MX,Político.mx,2691
124631600949535,Yo Influyo,YoXmx,2644
100867376619769,Xóchitl Gálvez Ruiz,Xóchitl Gálvez Ruiz,2632
146568692144740,Senadores del PAN,Senadores del PAN,2571
882220185230076,Nicolás Alvarado,Nicolas Alvarado,2532
1989386697977287,Cristal Pelayo,Cristal Pelayo Rodríguez,2494
102099001452432,Morena es de Todos,ViveMx,2377
107615907597218,El Regreso de Francisco Zarco,Periódico La Justicia,2256
333932057250036,Alejandro Rojas Díaz Durán,PM,2228
469925686738562,El Guardián,El Guardián,2183
318951102340226,Salud Justa Mx,Salud Justa Mx,2107
573481516387522,Likee español,These ads ran without a disclaimer,2076
1861550397441449,Revista32,Revista32,1976
101171214850717,Trabajando Avanzamos Mas,Trabajando Avanzamos Mas,1864
196705420663884,Código Magenta,Código Magenta,1850
105365692831060,Instituto de Elecciones y Participación Ciudadana Chiapas,Adriana Bravo,1830
326647354840146,Sergio Gutiérrez Luna,Sergio Gutiérrez Luna,1754
109193504243629,Encuestas MX,Logística Digital,1730
1637462289838029,Diputados Morena,Diputados Morena,1730
844457388935629,Jorge Alberto Nordhausen,Jorge Alberto Nordhausen Carrizales,1702
233652128065243,Goberna México,Goberna,1702
116413566857665,La Gaceta del Movimiento,La gaceta del movimiento,1647
593836767425444,Universidad Americana de Europa - UNADE,These ads ran without a disclaimer,1629
1613868898897076,Waldo Fernández González,Waldo Fernández González,1611
1420596421583045,José Narro Céspedes,José Narro Céspedes,1601
310617808978370,Fito Bonilla,Fito Bonilla,1592
129116715379616,La Lotería Del Pueblo,Hugo Junco Olvera,1592
1848214921862587,Noticam,Noticam,1425
124631600949535,Yo Influyo,Yo Influyo,1348
195815324490948,Feliciano Flores,Feliciano Flores,1319
1933205943628352,Desdelaizquierda,Desdelaizquierda,1243
122154061801959,Colectivo Mujeres Cabeza de Familia,YXMEX,1232
116437828394342,Phiten Mexico,Phiten Mexico,1199
231205014943789,Desde abajo y con la gente,Por un Morena democrático,1177
726116470797221,Cristina Portillo,Ariel Arroyo Mendoza,1131
266649783981695,El Vocero de Campeche,El Vocero de Campeche,1126
213693228664478,Cámara de Diputados - H. Congreso de la Unión,Cámara de Diputados - H. Congreso de la Unión,1116
592495347619799,Todos queremos Sexo Seguro,Sexo seguro YXMEX,1060
240666746557266,Jaime Cleofas Martínez Veloz,Jaime Cleofas Martínez Veloz,1047
186993735240587,La Razón,La Razón,1031
153118154700641,Claudia Pavlovich,Sonora GOB MX,1017
261652970558043,Novedades de Tabasco,Amir Saadi Gonzalez Sanchez,1000
372030723271103,José Manuel Sepúlveda del Valle,Dafne Berenice Jimenez Mosqueda,988
105602692981191,Damián Zepeda Vidales,Damián Zepeda Vidales,954
101171214850717,Trabajando Avanzamos Mas,These ads ran without a disclaimer,941
139039096175032,Pancho Domínguez,Francisco Dominguez Servien,938
695915467133155,UNIR México - La Universidad Internacional de La Rioja en México,These ads ran without a disclaimer,932
234221453805788,Jaqueline Villaverde Acevedo,Jaqueline Villaverde Acevedo,899
589484077738887,Jorge Álvarez Máynez,Jorge Álvarez Máynez,894
1665047283579389,24/7 365 noticias,Logística Digital,885
102997974732481,Pandamex,M Zambrano,885
418522284895262,Instituto Cosmetológico de México Campus Villahermosa,These ads ran without a disclaimer,879
104647754222415,Medio Informativo Tabasco,Julio Cesar Macario Rodriguez,854
164119290359519,Marcelo Torres Cofiño,Marcelo Torres Cofiño,854
2011285802526787,El Soberano,El Soberano,838
146343176114312,Cecilia Sánchez García,Cecilia Margarita Sánchez García,827
678714638975538,Sergio Guzmán Ricárdez,Ronald Jaziz Ordaz Angulo,806
2303533579927419,Redes Sociales Progresistas,Redes Sociales Progresistas,798
536886746673043,Jóvenes MX,Jóvenes MEX,791
211358622680390,El Heraldo de México,These ads ran without a disclaimer,778
561348627320564,Rocío Abreu Artiñano,Rocío Abreu Artiñano,778
179387312078698,Partido Verde Ecologista México,Partido Verde Ecologista México,766
164802676883511,Fiscalía General del Estado de Tabasco,These ads ran without a disclaimer,726
287205792280,AbogadosTabasco,Fidel Estrada,725
641155359347462,Citlalli Hernández Mora,Citlalli Hernández Mora,706
158390134545744,Sindicatos Unidos de México,Sindicatos Unidos de México,684
354715814963697,Gerardo Aguado Gómez,Gerardo Aguado Gómez,671
206604539439888,Luis Nava,Luis Nava,663
198373353604680,Educaedu México,These ads ran without a disclaimer,650
113322233649553,Hugo Aguirre García,Hugo Aguirre Garcia,650
327301994408641,Querétaro Tuyo,SOME CONTENT MARKETING,637
113175270449853,Valentín Rodríguez,Valentín Rodríguez,634
117256923478042,Ala Democrática,Ala Democrática,633
1122274774451777,Alfredo Villegas,Roberto Osuna Mellado,627
231205014943789,Desde abajo y con la gente,Por un Morena Democrático,624
103251718147218,Yazareth F. Castellot Luna,These ads ran without a disclaimer,623
314305366155617,Abstracto Noticias Frases.,Referente,622
106953321073776,Educación México,These ads ran without a disclaimer,617
436999696505076,Chihuahua Capital,Chihuahua Capital,610
450229428486575,Enrique de la Rosa,Enrique De La Rosa Luna Parra,608
106871707816993,Contrapeso Digital,Contrapeso Digital,588
267018783320418,Democrats Abroad Mexico,Democrats Abroad,557
384214801745089,Samuel García,Samuel García,554
104282077979128,Finay,These ads ran without a disclaimer,550
2030286460578647,Luis Araiza,HL Araiza,548
334172203343040,Geraldine Ponce,Geraldine Ponce,542
232208976798235,Paco Celorio,Francisco Celorio Cacep,536
333932057250036,Alejandro Rojas Díaz Durán,These ads ran without a disclaimer,534
1567133813308190,Julio Cobos Caldelas,Julio Cobos Caldelas,524
182252948625872,Los Rescatadores,Refleacciona con Responsabilidad A.C.,522
509821702820171,24 Horas Quintana Roo,24 Horas Quintana Roo,520
475040405910613,Lenin Perez Rivera,Evaristo Lenin Perez Rivera,520
801673763367076,Carlos Cesar Jasso Rodríguez,Carlos Cesar Jasso Rodriguez,512
313520832510823,Ricardo de la Peña Marshall,RICARDO DE LA PEÑA MARSHALL,510
289568107808375,UVEG Universidad Virtual del Estado de Guanajuato,Ads Project Media,510
832298706889408,111%,These ads ran without a disclaimer,504
235623160642925,Gobierno Municipal de Cárdenas 2018-2021,Cassandra Linares,500
427408934120209,Amin Anchondo,Jessica Gonzalez,499
177366879684581,Capi Alejandro Cunillé,Jose De Jesus Molina Suarez,497
301003216667425,Forbes México,Forbes México,486
2330030160374237,Balance 24,Balance 24,485
214687411915142,Centro Universitario de Estudios Jurídicos,These ads ran without a disclaimer,475
529045710775808,Nelson Humberto Gallegos Vaca,These ads ran without a disclaimer,463
245495562137150,Mitofsky,Roy Campos,462
105925314120759,Mario Bracamonte,Alejandro Haddad Aportela,458
109634395756375,Save the Children México,Save the Children México,451
102826131091190,Tu Opinión Tabasco,Amir Saadi Gonzalez Sanchez,451
410869195747530,José Luis de la Cruz Cordova.,These ads ran without a disclaimer,448
235606900176440,Macronews,Macronews,447
140700096019389,Luis Fernando Salazar Fernández,Cada Día Un Mensaje,444
255087598160063,Radio 13 Digital,Radio 13 Digital,437
260782760621134,ANPEC MX,These ads ran without a disclaimer,436
430457856994464,Toyota México,These ads ran without a disclaimer,435
857608504308460,José Antonio Gutiérrez Jardón,Alejandra Susana Pérez Serna,433
2052400901712207,Rolando Hervert Lara,Rolando Hervert Lara,423
265938437673601,Yo Soy Mi Planeta,Yo Voy x Mex,422
281188282215551,José Medina Mora Icaza,José Medina Mora Icaza,415
110868196284405,Miye Balboa,Mireya Balboa Cano,413
219469368674864,Querétaro Orgullo de México,SOME CONTENT MARKETING,408
149489638444326,Compartamos Banco,These ads ran without a disclaimer,403
372030723271103,José Manuel Sepúlveda del Valle,These ads ran without a disclaimer,400
372224370263707,Tendencias Campeche,Tendencias Campeche,392
101937108425068,Secretaría de Préstamos Personales para el Estado,These ads ran without a disclaimer,390
106976277879629,SOMOS Jalisco,SOMOS Jalisco,388
110128947450329,Hector Pestaña,Hector Virgilio Geronimo Gamas,388
311362482559859,Arleth Grimaldo,Manuel García Lopez,385
2234744846783914,Swissquote,These ads ran without a disclaimer,383
18523396549,The Church of Jesus Christ of Latter-day Saints,These ads ran without a disclaimer,383
1013139202203880,Polilogy,These ads ran without a disclaimer,381
114175028689083,Juan José Jiménez Yáñez,Juan José Jiménez Yáñez,375
164802676883511,Fiscalía General del Estado de Tabasco,A.G.,375
663617647429023,Juan Melendrez Oficial,Juan Melendrez,375
103940521207933,Eduardo Campos Villarreal,Eduardo Campos Villarreal,371
515187618883015,Gabo Salazar,Gabriel Alan Salazar Soto,364
540263186326216,ElecciónTV,ElecciónTV,364
153955617984812,Radio Internacional de China en español,These ads ran without a disclaimer,363
1712464589066219,Carlos Gandarilla,Edher Raymundo Guevara Reynoso,361
354326078079338,Campaigns and Elections Mexico,Campaigns and Elections Mexico,354
100380431764089,Sntsrm Senado,Emilio Trejo Ibarra,349
410866719647281,Mariano Torres,Mariano Torres,343
2559275544114982,Félix "Moyo" García,Moyo García,340
697622430420733,Zurda,Zurda,338
195432467562002,CódigoQro,CódigoQro,338
2034486243472435,Marco Antonio Reyes,Marco Antonio Reyes Colin,337
136836216397926,Víctor Sánchez Orozco,Víctor Manuel Sánchez Orozco,325
235991940112967,ELISA BOUTIQUE,These ads ran without a disclaimer,316
523444607768890,Gorras Y Bordados GM,Gorras Y Bordados GM,316
837607596288104,Eliseo Fernández Montufar,These ads ran without a disclaimer,313
1384134174966740,La Estampa de México,La Estampa de México,310
101656211758273,Canacope Mx,Canacope CDMX,306
260371884387652,Ingrid Rosas,Ingrid Margarita Rosas Pantoja,305
458443424958020,Ciudad Capital online,Entérate MX,303
101239104897501,Cubrebocas.com,Itzayana Ríos Rivera,299
1445209245537983,Ricardo Santillán,Comunicación Social del Gobierno de El Salto,295
1238177342897317,Ricardo Exsome,Ricardo Francisco Exsome Zapata,290
626319174166439,José Esquivel Vargas "Chak Meex",Edgar Efren Poot Castillo,288
282554605481439,Selina,These ads ran without a disclaimer,282
107178335973554,sdpnoticias,sdpnoticias,282
1760809010916421,Antonio Del Río Argudin,Antonio De Jesus Del Rio Argudin,276
2092412977668587,La Jornada Morelos,LCC-Mkt,273
726332380714652,Braulio Escalante Morena,These ads ran without a disclaimer,270
1534205920172710,PRI Coahuila,Jose Hernandez Quesada,268
106458614450818,Miguel Ángel Dávila Treviño,These ads ran without a disclaimer,267
108065111018899,Reclutamiento CFSL,Carlos Cerdeira Menendez,266
409800789114458,Antonio Pelón Cervera,Antonio Pelón Cervera,265
1772086512892206,Revolución Democrática 2.0,Diana Laura Colin Lopez,265
457938367703310,Sol Quintana Roo,Iván Méndez,262
102088858348307,Región Olmeca de Veracruz,These ads ran without a disclaimer,260
316162282245753,Ovidio Peralta Suárez,Ovidio Peralta Suárez,252
1624591081124413,Cuestión de Polémica,Cuestión de Polémica,251
112079246649,Alejandro Galvan,Alejandro Galvan,250
302684953270704,Iván Pérez Negrón Ruiz,Ivan Arturo Perez Negron Ruiz,250
119971706474853,Secretaria en Educacion SEE,These ads ran without a disclaimer,249
248752192235773,Pepe Villarreal,Pepe Villarreal Cepeda,247
104423741378022,Ocupa MX,Ocupa MX,246
116413566857665,La Gaceta del Movimiento,La Gaceta del Movimiento,245
372030723271103,José Manuel Sepúlveda del Valle,Diana Andrea Mata Sanchez,242
2072081843089003,Ajedrez Político,Ajedrez Político,235
1856838064644341,Nancy De La Sierra Arámburo,Nancy De La Sierra Arámburo,235
148709191834718,Alcaldes de México,Alcaldes de México,234
981766365233936,Carlos Torres Piña,Uva Agency,229
682427185183797,De Política y Algo Más.,De Política y Algo Más.,225
366084886920827,Celeste Mora,These ads ran without a disclaimer,225
114783597005983,Crédi Alcance,These ads ran without a disclaimer,224
