Page ID,Page Name,Disclaimer,Amount Spent (MXN)
103053677711622,Noticias Tamaulipas,Noticias Tamaulipas,557845
2298269493759657,Sergio Ojeda Castillo,Sergio Arturo Ojeda Castillo,118455
349170969021130,El Incorregible,El Incorregible,104110
102026088323956,Raúl Cárdenas Thomae,Rául Cárdenas Thomae,89732
109231034125795,El Incorregible,El Incorregible,76416
130352294189330,Adrián Oseguera,Ezequiel Galero Ponce,76147
1525294911021340,Salvador Rosas,Chava Rosas,74684
1734951530056727,Carmen Lilia Canturosas,Carmen Lilia Canturosas,73000
113264930412981,Kwai-SA-music,These ads ran without a disclaimer,71960
193610891272411,Iliana Medina,Iliana Medina,71263
584134445055078,Yahleel Abdala,Yahleel Abdala,61767
1015149698506340,Pedro Luis Coronado,Pedro Luis Coronado Ayarzagoitia,60493
2559275544114982,Félix "Moyo" García,Moyo García,60019
636636346991959,Noticias de Tamaulipas,Las Noticias Tamaulipas,58964
108819392526809,Partido Acción Nacional,Partido Acción Nacional,50964
105922857734079,Las Noticias,Las Noticias,48951
1667417456701228,Porfirio Muñoz Ledo,Porfirio Muñoz Ledo,46689
1872765882942974,Imelda Sanmiguel,Imelda Sanmiguel Sanchez,45872
184518858298382,Maki Ortiz,Maki Esther Ortiz Dominguez,44300
184518858298382,Maki Ortiz,Anibal Augusto Flores Garcia,42440
104918204316548,Las noticias,Las Noticias,36590
1779664045640037,Comapa Zona Conurbada,Comapa Zona Conurbada,36273
101671294918962,Kwai-SA-dance,These ads ran without a disclaimer,32000
1522195418029530,Político MX,Político.mx,31375
264773293005,Marko Cortés,Marko Cortés,30780
116216726453585,Rigoberto Ramos Ordoñez,Rigoberto Ramos Ordoñez,29483
107350554406412,La ley y el orden Tamaulipas,La ley y el orden Tamaulipas,27916
112419558791251,Jesús Ma. Moreno "Chuma",If Solutions,27055
831588320565611,Gobierno de Ciudad Madero 2018 - 2021,Gobierno de Ciudad Madero 2018 - 2021,24381
2406840252911801,MARIO para Morena,MARIO para Morena,22018
1588437514742285,Víctor Hugo Govea,Víctor Hugo Govea,20886
355965035070594,Poncho Peña,Sergio Erick Muñoz Hernandez,20830
625822217504525,Francisco Javier Garza de Coss,Francisco Javier Garza de Coss,19576
1812297282329742,Jorge Triana,Jorge Triana Tena,18677
243093802904996,Aída Féres de Nader,Aída Féres de Nader,18300
2011285802526787,El Soberano,El Soberano,18084
418039951683898,Hernán Salinas Wolberg,Hernán Salinas Wolberg,17730
407894373329897,Acta Diurna,Acta Diurna,17275
2261689357409967,Alberto Lara Bazaldúa,Alberto Lara Bazaldúa,17035
108426420902413,Kwai-SA-funny,These ads ran without a disclaimer,16463
106012087759697,Noticias al Norte,Las Noticias,15111
100725871681470,Kwai-SA-reallife,These ads ran without a disclaimer,14972
831306856905783,Diario Tiempo México,Diario Tiempo México,14879
103547291058979,Juntos con San Luis,Gabriela Pantoja,13118
