Page ID,Page Name,Disclaimer,Amount Spent (MXN)
1052840808059324,Dulce Silva,Adsocial,131854
103337707812182,Mujer México,ADsocial,99996
339369802936903,Ana Lilia Rivera Rivera,Ernesto Lopez Guerrero,85810
181228948581076,Fernando Manzanilla Prieto,Fernando Manzanilla Prieto,25172
113264930412981,Kwai-SA-music,These ads ran without a disclaimer,24524
1052840808059324,Dulce Silva,Adsocial,23694
106045264321266,Acompáñala con Amor,Whysers,18166
594398217331877,Minerva Hernández Ramos,Minerva Hernández Ramos,16197
453934008467355,Claudia Pérez Rodríguez,Claudia Pérez Rodríguez,15747
101671294918962,Kwai-SA-dance,These ads ran without a disclaimer,12433
137518406355905,gentetlx,Edgardo Cabrera,10576
108819392526809,Partido Acción Nacional,Partido Acción Nacional,8943
839691882774136,Nueva Alianza Tlaxcala,NA Tlaxcala,7326
1667417456701228,Porfirio Muñoz Ledo,Porfirio Muñoz Ledo,7165
264773293005,Marko Cortés,Marko Cortés,6526
114370985304597,Gobierno del Estado de Tlaxcala,Gobierno del Estado de Tlaxcala,6519
108426420902413,Kwai-SA-funny,These ads ran without a disclaimer,6045
2406840252911801,MARIO para Morena,MARIO para Morena,5962
671780279685246,¿Y tú qué opinas?,Ernesto Lopez Guerrero,5758
288150468460966,Leticia Hernández Pérez,Leticia Hernández,5757
137518406355905,gentetlx,These ads ran without a disclaimer,5743
105499431321023,Amigos de Joel Molina,Susan Ortega,5164
2136124273330311,Laura Flores Lozano,Laura Flores,4722
151926114986839,Bladimir Zainos Flores,Bladimir Zainos Flores,4683
831306856905783,Diario Tiempo México,Diario Tiempo México,4461
1812297282329742,Jorge Triana,Jorge Triana Tena,4267
104560414546775,Consejo de Desarrollo Humano de Xalostoc,Ernesto Lopez Guerrero,4197
333067823750994,Martín Rodríguez Hernández,Ana Stephanie Barrera Rodriguez,4184
112181540702762,Amigos de Ana Lilia Rivera Rivera,Omar Rafael Martinez Vizuet,3960
231205014943789,Desde abajo y con la gente,Desde abajo y con la gente,3952
1588437514742285,Víctor Hugo Govea,Víctor Hugo Govea,3882
235994093744848,Contra Réplica,Contra Réplica,3861
371358412904976,Christian Pulido,Christian Pulido,3688
100725871681470,Kwai-SA-reallife,These ads ran without a disclaimer,3345
104596681083116,Consejo de Desarrollo Humano de Apizaco,Ernesto Lopez Guerrero,3305
507647349636683,Morenación,Adsocial México,3246
1741178926212929,El Observador MX,El Observador MX,3230
104463114557371,Consejo de Desarrollo Humano de Panotla,Ernesto Lopez Guerrero,3213
105802484422040,Consejo para el Desarrollo Humano de Huamantla,Ernesto Lopez Guerrero,3184
110829774107582,Sí Por México,Sí Por México,3044
114024430364416,YoXmx,YoXmx,2754
1545555582174942,TResearch,Carlos Penna Charolet,2543
103749248038035,La Voz de México,ALAgencia,2517
110320423807974,Latinus,Latinus,2511
142145835862894,IEXE Universidad,IEXE Universidad,2381
