Page ID,Page Name,Disclaimer,Amount Spent (MXN)
113264930412981,Kwai-SA-music,These ads ran without a disclaimer,665
101671294918962,Kwai-SA-dance,These ads ran without a disclaimer,262
384214801745089,Samuel García,Samuel García,168
384214801745089,Samuel García,Samuel García Sepúlveda,≤100
279469625434543,Paco Cienfuegos,Paco Cienfuegos,≤100
264773293005,Marko Cortés,Marko Cortés,≤100
573481516387522,Likee español,These ads ran without a disclaimer,≤100
111756813996560,Unidas contra la Corrupción,Unidas Contra La Corrupción,≤100
108819392526809,Partido Acción Nacional,Partido Acción Nacional,≤100
1545555582174942,TResearch,Carlos Penna Charolet,≤100
806858212689187,Pablo Lemus Navarro,Comunicación del Gobierno de Zapopan,≤100
837607596288104,Eliseo Fernández Montufar,Community Manager,≤100
180533315991,Guanajuato Gobierno del Estado,Difraxion Group,≤100
208889643060921,Krishna Romero,Krishna Karina Romero Velazquez,≤100
181228948581076,Fernando Manzanilla Prieto,Fernando Manzanilla Prieto,≤100
137309263048418,Poncho Robledo,Poncho Robledo,≤100
106639637742863,Edmundo Peimbert,Uva México,≤100
106973291099728,Que se haga con Kiko Munro,Ilde Mendivil,≤100
401586323202696,Karina Barrón,Karina Barrón,≤100
482375515237611,Cuitláhuac García Jiménez,These ads ran without a disclaimer,≤100
339041576496956,José Luis Guerra - Imagineros,Jose Guerra,≤100
100725871681470,Kwai-SA-reallife,These ads ran without a disclaimer,≤100
108426420902413,Kwai-SA-funny,These ads ran without a disclaimer,≤100
114947288568415,Laura Rojas,Laura Rojas,≤100
461461504595100,Anonymous Playa del Carmen,Anonymous Playa del Carmen,≤100
192366194179807,León Municipio,Ads Project Media,≤100
178794782212537,Roberto Cabrera Valencia,Roberto Cabrera Valencia,≤100
1812297282329742,Jorge Triana,Jorge Triana Tena,≤100
266402506816361,Negocios México,Negocios México,≤100
112637797225383,Lánzate por Guanajuato,Lánzate por Guanajuato A.C.,≤100
143772822457780,Ivan Gurrola Vega,Ivan Gurrola Vega,≤100
195815324490948,Feliciano Flores,Koi comunicacion,≤100
384214801745089,Samuel García,These ads ran without a disclaimer,≤100
449095701815347,Salvador Zamora,Gobierno de Tlajomulco,≤100
142610745897694,Movimiento Ciudadano Hidalgo,Movimiento Ciudadano Hidalgo,≤100
118921468203786,Movimiento Ciudadano,Movimiento Ciudadano,≤100
61924315868,Gobierno de Michoacán,Gobierno de Michoacán,≤100
329389757587201,Diana Carpio Ríos,Secretaría de Salud del Estado de Michoacán,≤100
102458154777930,Áragon Estudios de Opinión,Aragon estudios de opinión,≤100
613806268720822,Carlos Herrera Tello,Carlos Herrera,≤100
116175691755266,Silvano Aureoles Conejo,Gobierno de Michoacán,≤100
215836968456734,Alfonso Martínez Alcázar,Alfonso Martínez Alcázar,≤100
273305282567,Gobierno de Jalisco,Gobierno de Jalisco,≤100
291385034241719,Gobierno de Tlajomulco,Gobierno de Tlajomulco,≤100
