Page ID,Page Name,Disclaimer,Amount Spent (MXN)
482375515237611,Cuitláhuac García Jiménez,Agencia Go Design MX,295867
150350841649023,Gobierno del Estado de Veracruz,Gobierno del Estado de Veracruz,198338
113264930412981,Kwai-SA-music,These ads ran without a disclaimer,150710
760994790643040,Sergio Hernández Hernández,Sergio Hernandez Hernandez,147190
1439738092756927,Juan Carlos Mezhua,Juan Carlos Mezhua Campos,135819
118921468203786,Movimiento Ciudadano,Movimiento Ciudadano,110912
227963537551809,Bingen Rementería Molina,Ángel Troncoso Morales,95067
326647354840146,Sergio Gutiérrez Luna,Sergio Gutiérrez Luna,85731
1238177342897317,Ricardo Exsome,Ricardo Francisco Exsome Zapata,75909
101671294918962,Kwai-SA-dance,These ads ran without a disclaimer,75829
1545555582174942,TResearch,Carlos Penna Charolet,62937
108819392526809,Partido Acción Nacional,Partido Acción Nacional,58169
1667417456701228,Porfirio Muñoz Ledo,Porfirio Muñoz Ledo,57738
264773293005,Marko Cortés,Marko Cortés,44720
108426420902413,Kwai-SA-funny,These ads ran without a disclaimer,35990
451130855086394,Polo Deschamps,Hipolito Deschamps Espino Barros,34682
2406840252911801,MARIO para Morena,MARIO para Morena,34412
100725871681470,Kwai-SA-reallife,These ads ran without a disclaimer,29723
107840960994628,Gabriel Cárdenas,Gabriel De Jesus Cardenas Guizar,28514
831306856905783,Diario Tiempo México,Diario Tiempo México,25960
1812297282329742,Jorge Triana,Jorge Triana Tena,25621
460436987319985,Diputados Ciudadanos,Grupo Parlamentario de Movimiento Ciudadano en la Cámara de Diputados,25068
1588437514742285,Víctor Hugo Govea,Víctor Hugo Govea,24522
231205014943789,Desde abajo y con la gente,Desde abajo y con la gente,22487
1871963173033717,Othon Hernández Candanedo,Othon Hernandez Candanedo,20657
110829774107582,Sí Por México,Sí Por México,19751
507647349636683,Morenación,Adsocial México,19675
101878634538090,Todos por Veracruz,Todos por Veracruz.,18681
142145835862894,IEXE Universidad,IEXE Universidad,18395
326647354840146,Sergio Gutiérrez Luna,Sergio Carlos Gutierrez Luna,17217
103749248038035,La Voz de México,ALAgencia,16976
114024430364416,YoXmx,YoXmx,16535
356335238248442,Azucena Rodríguez,Norma Azucena Rodriguez Zamora,15717
451130855086394,Polo Deschamps,Tania Silva Uscanga,15605
950257431712751,México Desigual,Arturo Vázquez Rodríguez,14303
133447630667200,H. Ayuntamiento de Nanchital 2018-2021,Nanchital.gob.mx,13906
110320423807974,Latinus,Latinus,13490
206323119403212,Mario Delgado Carrillo,Mario Delgado Carrillo,13303
114889085297701,Ricardo Anaya Cortés,Ricardo Anaya Cortés,13098
338174139686776,Mauricio Kuri,Mauricio Kuri,13090
640697589424301,Víctor Fuentes Solís,Víctor Manuel Espíndola Villegas,12898
184653871633780,Emmanuel Gomez Garcia - Regidor I de Orizaba,Emmanuel Gómez García,12663
113218720098550,Valor Financeiro,These ads ran without a disclaimer,12312
396563520795594,"Amatlan de los Reyes, Veracruz",Angelica Rueda Gomez,12232
1741178926212929,El Observador MX,El Observador MX,12142
2315347298525489,Santiago G. Morales,Santiago G Morales,11280
247437782374345,Indira Rosales San Román,Indira Rosales San Román,11131
136092926468080,PRI Oficial México,PRI Oficial México,11089
1325776277458800,Jose Manuel Diaz Rodriguez,Jose Manuel Diaz Rodriguez,10469
1522195418029530,Político MX,Político.mx,10218
142145835862894,IEXE Universidad,These ads ran without a disclaimer,10195
186073704903313,México elige,México elige,10184
2289000174750805,Arcadio Andrade,Arcadio Andrade,10049
1564353743633520,H. Ayuntamiento de Tierra Blanca 2018-2021,Ana Lilia Uscanga Cervantes,9792
133700114382,El Palacio de Hierro,These ads ran without a disclaimer,9702
138506541505,INE México,INE México,9434
678714638975538,Sergio Guzmán Ricárdez,Ronald Jaziz Ordaz Angulo,9193
628482797517617,Democracia Moderna,Democracia Moderna,8509
100867376619769,Xóchitl Gálvez Ruiz,Xóchitl Gálvez Ruiz,8480
482375515237611,Cuitláhuac García Jiménez,These ads ran without a disclaimer,8445
1760809010916421,Antonio Del Río Argudin,Antonio De Jesus Del Rio Argudin,8277
1439738092756927,Juan Carlos Mezhua,These ads ran without a disclaimer,8262
444970065578445,Humberto Alonso Morelli,Humberto Alonso Morelli,8141
1013139202203880,Polilogy,Polilogy,8103
365131753983556,Cora Pinedo Alonso,Cora Cecilia Pinedo Alonso,7915
146568692144740,Senadores del PAN,Senadores del PAN,7876
124631600949535,Yo Influyo,YoXmx,7561
318951102340226,Salud Justa Mx,Salud Justa Mx,7478
333932057250036,Alejandro Rojas Díaz Durán,ARDD,7432
115452255131465,Alejandro Moreno Cárdenas,Alejandro Moreno Cárdenas,7172
760994790643040,Sergio Hernández Hernández,Sergio Melo Hernández,7039
1989386697977287,Cristal Pelayo,Cristal Pelayo Rodríguez,7031
63635808800,Mario Zamora Gastelum,Mario Zamora Gastelum,6503
626366660758074,Honorable Ayuntamiento de Córdoba,Modesto Rebolledo,6123
107615907597218,El Regreso de Francisco Zarco,Periódico La Justicia,5826
1567133813308190,Julio Cobos Caldelas,Julio Cobos Caldelas,5824
106468521202212,Partido Cardenista,Carlos Manuel Palacios Lara,5715
101171214850717,Trabajando Avanzamos Mas,Trabajando Avanzamos Mas,5707
741495526053894,Tania Cruz Santos,Tania Cruz Santos,5686
333932057250036,Alejandro Rojas Díaz Durán,PM,5667
778120115634146,Informante.mx,Informante.mx,5570
1503968333220965,Luis Daniel Lagunes Marín,Luis Daniel Lagunes Marín,5536
102099001452432,Morena es de Todos,ViveMx,5510
1257541557621786,Gustavo Almaraz Pérez,Gustavo Almaraz Perez,5358
1432145333669572,Ayuntamiento de Coatzacoalcos,Antonio García,5184
116413566857665,La Gaceta del Movimiento,La gaceta del movimiento,5078
181228948581076,Fernando Manzanilla Prieto,Fernando Manzanilla Prieto,5052
1637462289838029,Diputados Morena,Diputados Morena,5048
593836767425444,Universidad Americana de Europa - UNADE,These ads ran without a disclaimer,4978
109193504243629,Encuestas MX,Logística Digital,4920
310617808978370,Fito Bonilla,Fito Bonilla,4891
107356754421428,Fundación Multiplicando Sonrisas,Fundación Multiplicando Sonrisas,4867
469925686738562,El Guardián,El Guardián,4773
233652128065243,Goberna México,Goberna,4635
573481516387522,Likee español,These ads ran without a disclaimer,4594
427087097396917,Omar Miranda,Omar Guillermo Miranda Romero,4549
882220185230076,Nicolás Alvarado,Nicolas Alvarado,4460
2091732304477564,Senadores Ciudadanos,Grupo Parlamentario de Movimiento Ciudadano en el Senado de la República,4433
172628706584452,Noticias de Cardel y Veracruz sin censura,Carlos Jorge Balbuena Gonzalez,4306
124631600949535,Yo Influyo,Yo Influyo,4221
116437828394342,Phiten Mexico,Phiten Mexico,4135
248752192235773,Pepe Villarreal,Pepe Villarreal Cepeda,4076
1420596421583045,José Narro Céspedes,José Narro Céspedes,4075
103939588092554,Jarochos con Lozoya,Tania Silva Uscanga,4055
164119290359519,Marcelo Torres Cofiño,Marcelo Torres Cofiño,3920
129116715379616,La Lotería Del Pueblo,Hugo Junco Olvera,3914
1894652730846249,DIF Municipal de Tierra Blanca,Ana Lilia Uscanga Cervantes,3911
109717097601726,Amigos de Esteban Ramírez Zepeta,Luis Eduardo Jimenez Saldaña,3849
1613868898897076,Waldo Fernández González,Waldo Fernández González,3784
122154061801959,Colectivo Mujeres Cabeza de Familia,YXMEX,3750
231205014943789,Desde abajo y con la gente,Por un Morena democrático,3636
254459508030317,Ciro Porras,Ciro Gonzalo Felix Porras,3586
176249192913929,Intelector,Alejandro Lara Villegas,3562
1779664045640037,Comapa Zona Conurbada,Comapa Zona Conurbada,3475
1861550397441449,Revista32,Revista32,3463
100706211752106,Bienestar Financiera SA,These ads ran without a disclaimer,3433
104958361096074,Se tenía que decir,Se tenía que decir.,3399
113992623793546,Eduardo Rojas Camacho,Virginia Cruz Perez,3337
1933205943628352,Desdelaizquierda,Desdelaizquierda,3170
1665047283579389,24/7 365 noticias,Logística Digital,3150
153118154700641,Claudia Pavlovich,Sonora GOB MX,3149
165019604151007,"Ayuntamiento La Perla, Ver.",Alejandro Garcia Hernandez,3116
213693228664478,Cámara de Diputados - H. Congreso de la Unión,Cámara de Diputados - H. Congreso de la Unión,3107
196705420663884,Código Magenta,Código Magenta,3096
267018783320418,Democrats Abroad Mexico,Democrats Abroad,3041
243093802904996,Aída Féres de Nader,Aída Féres de Nader,3020
105602692981191,Damián Zepeda Vidales,Damián Zepeda Vidales,3009
592495347619799,Todos queremos Sexo Seguro,Sexo seguro YXMEX,2936
2303533579927419,Redes Sociales Progresistas,Redes Sociales Progresistas,2895
211358622680390,El Heraldo de México,These ads ran without a disclaimer,2875
407894373329897,Acta Diurna,Estrategia Social,2799
101171214850717,Trabajando Avanzamos Mas,These ads ran without a disclaimer,2792
1879328292298272,Subsecretaría de Educación Media Superior y Superior de Veracruz,Jorge Alejandro Brandi Herrera,2741
589484077738887,Jorge Álvarez Máynez,Jorge Álvarez Máynez,2737
110463480798505,La base está con Gibrán,Mi Corte Informativo,2736
164664237407701,H. Ayuntamiento De Zongolica 2018-2021,Juan Carlos Mezhua Campos,2720
145663089566078,Regiduria Séptima Minatitlan,Blas Avalos,2719
139039096175032,Pancho Domínguez,Francisco Dominguez Servien,2699
101060428387786,Caty Ramírez,Militantes y Simpatizantes Por Morena,2675
2011285802526787,El Soberano,El Soberano,2650
421071591561976,México Grilla,México Grilla,2643
451130855086394,Polo Deschamps,Abbadon Social Media,2538
179387312078698,Partido Verde Ecologista México,Partido Verde Ecologista México,2501
240666746557266,Jaime Cleofas Martínez Veloz,Jaime Cleofas Martínez Veloz,2500
1256616351140075,Nora Lagunes Jauregui,Nora Jessica Lagunes Jauregui,2489
475040405910613,Lenin Perez Rivera,Evaristo Lenin Perez Rivera,2487
233604220888841,Adriana Esther Martínez Sánchez,Adriana Esther Martinez Sanchez,2481
206604539439888,Luis Nava,Luis Nava,2427
702350106507959,Aldo Maldonado,Aldo Salvador Maldonado Macías,2317
186993735240587,La Razón,La Razón,2278
1885982394996905,Regidor Jorge Luna,Jorge Ignacio Luna Hernández,2185
812123682287247,Corte Informativo,Corte Informativo,2155
120102704694887,El Metropolitano de Veracruz,Raul Martinez Chavez,2150
232035797173312,Angelo Mattiello,Angelo Arturo Mattiello Guerrero,2135
915076508657285,H. Ayuntamiento de Fortín,H. Ayuntamiento de Fortín,2120
198100480315124,José Juan Espinosa,Jose Juan Espinosa,2112
536886746673043,Jóvenes MX,Jóvenes MEX,2108
102997974732481,Pandamex,M Zambrano,2097
1586774481595518,Políticos al desnudo,Políticos al desnudo,2069
361036630742937,La Política Online MX,La Política Online MX,2055
110095280787535,Arq. Ricardo Tronco Peña,Ricardo Tronco Peña,2037
540263186326216,ElecciónTV,ElecciónTV,2018
407947602995581,Montse Ortega,Montse Ortega,2014
388510497880840,Diputados PAN,Diputados PAN,2000
695915467133155,UNIR México - La Universidad Internacional de La Rioja en México,These ads ran without a disclaimer,1982
450229428486575,Enrique de la Rosa,Enrique De La Rosa Luna Parra,1963
486238641547296,Casas Y Departamentos En La Playa,Miguel Angel Nava Garcia,1962
641155359347462,Citlalli Hernández Mora,Citlalli Hernández Mora,1947
384214801745089,Samuel García,Samuel García,1936
113322233649553,Hugo Aguirre García,Hugo Aguirre Garcia,1922
436999696505076,Chihuahua Capital,Chihuahua Capital,1907
271769919594700,Polo Domínguez,Polo Domínguez,1906
374890996302488,Chucho Nader,Contacto Chucho Nader,1898
382482699009912,Periodismo Mexicano,Estrategia Social,1897
349170969021130,El Incorregible,El Incorregible,1876
113068922066479,Códice S.C.,Códice S.C.,1875
117256923478042,Ala Democrática,Ala Democrática,1838
117633460100020,El Amanecer de Medellín,Ruben Flores Martinez,1808
113175270449853,Valentín Rodríguez,Valentín Rodríguez,1778
314305366155617,Abstracto Noticias Frases.,Referente,1757
1453035258301900,Carol Antonio Altamirano,Carol Antonio Altamirano,1734
154652694604556,Ricardo Gallardo Cardona,Ricardo Gallardo Cardona,1703
260782760621134,ANPEC MX,These ads ran without a disclaimer,1688
100159558193695,Héctor Chávez,Hector Chávez Ruíz,1681
354715814963697,Gerardo Aguado Gómez,Gerardo Aguado Gómez,1638
1696632100613983,Amado J. Cruz Malpica,Amado Jesus Cruz Malpica,1625
