Page ID,Page Name,Disclaimer,Amount Spent (MXN)
303184083041100,Gobierno del Estado de Yucatán,Gobierno del Estado de Yucatán,1039097
285058928236909,Mauricio Vila,Mauricio Vila,139744
186073704903313,México elige,México elige,67607
372224370263707,Tendencias Campeche,Tendencias Campeche,52648
113264930412981,Kwai-SA-music,These ads ran without a disclaimer,39557
837607596288104,Eliseo Fernández Montufar,Community Manager,30825
350508488860,Renán Barrera,Renán Barrera,23969
108819392526809,Partido Acción Nacional,Partido Acción Nacional,22221
101671294918962,Kwai-SA-dance,These ads ran without a disclaimer,18841
349362031895959,Julián Zacarías Curi,Julián Zacarías Curi,18693
959213044118455,Cecilia Patrón Laviada,Cecilia Patrón Laviada,18272
1667417456701228,Porfirio Muñoz Ledo,Porfirio Muñoz Ledo,17313
264773293005,Marko Cortés,Marko Cortés,14923
346352612235933,Verónica Camino Farjat,Verónica Camino Farjat,13562
114566337075177,Click Yucatán,Click Yucatán,13096
116215223624226,Círculo Violeta Yucatán,Ciirculo Violeta Yucatan,12500
115676646512896,Editorial Tu Espacio del Sureste,Edwin Couoh,11574
180425288675416,Manuel Rodríguez González,Manuel Rodríguez González,10414
2406840252911801,MARIO para Morena,MARIO para Morena,10153
1545555582174942,TResearch,Carlos Penna Charolet,10149
108426420902413,Kwai-SA-funny,These ads ran without a disclaimer,8443
1812297282329742,Jorge Triana,Jorge Triana Tena,8436
100412305149648,Erik Rihani,Erik José Rihani Gonzalez,7709
831306856905783,Diario Tiempo México,Diario Tiempo México,7669
321000808062549,Chucho Pérez Ballote,Jesus Efren Perez Ballote,7662
100138811810491,Cindy Gorocica Cerón,Cindy Abigail Gorocica Cerón,7582
118921468203786,Movimiento Ciudadano,Movimiento Ciudadano,7496
1588437514742285,Víctor Hugo Govea,Víctor Hugo Govea,7467
321000808062549,Chucho Pérez Ballote,Chucho Pérez Ballote,7293
100725871681470,Kwai-SA-reallife,These ads ran without a disclaimer,7194
110399270861146,Nacho Gutiérrez Solís,Ignacio Gutiérrez Solís,7137
142145835862894,IEXE Universidad,IEXE Universidad,6362
507647349636683,Morenación,Adsocial México,6295
438191660289856,Democrats Abroad Yucatan,Democrats Abroad Yucatan,6147
265126850314170,Jesús Carlos Vidal Peniche,Jesus Manuel Centeno Osorio,6038
136092926468080,PRI Oficial México,PRI Oficial México,5744
110829774107582,Sí Por México,Sí Por México,5528
1374560609492228,Movimiento Ciudadano Yucatán,Movimiento Ciudadano Yucatán,5521
111756813996560,Unidas contra la Corrupción,Unidas Contra La Corrupción,5471
937181549628425,Rafa Montalvo,Rafael Gerardo Montalvo Mata,5432
231205014943789,Desde abajo y con la gente,Desde abajo y con la gente,5001
103749248038035,La Voz de México,ALAgencia,4998
338174139686776,Mauricio Kuri,Mauricio Kuri,4957
110320423807974,Latinus,Latinus,4722
114889085297701,Ricardo Anaya Cortés,Ricardo Anaya Cortés,4710
1528235827246797,Yucatán al Momento,Noticias Al Momento,4497
950257431712751,México Desigual,Arturo Vázquez Rodríguez,4446
114024430364416,YoXmx,YoXmx,4080
330873044084955,Fundación Echazarreta,Emmanuel Josue Flores Suarez,4015
127097424054718,PRI Yucatán,C.D.E. Yucatán del Partido Revolucionario Institucional,3945
1133901996751656,Enrique Ayora Sosa,Enrique De Jesus Ayora Sosa,3913
266649783981695,El Vocero de Campeche,El Vocero de Campeche,3885
1741178926212929,El Observador MX,El Observador MX,3845
762969343799497,Silvia López Escoffié,Enrique Alejandro Briceño Amaro,3582
1013139202203880,Polilogy,Polilogy,3399
138506541505,INE México,INE México,3360
303184083041100,Gobierno del Estado de Yucatán,These ads ran without a disclaimer,3295
197566660355881,Raúl Paz,Raúl Paz,3276
1471610009786794,Janice Escobedo Salazar,Lizzete Janice Escobedo Salazar,3239
267018783320418,Democrats Abroad Mexico,Democrats Abroad,3155
206323119403212,Mario Delgado Carrillo,Mario Delgado Carrillo,3146
115452255131465,Alejandro Moreno Cárdenas,Alejandro Moreno Cárdenas,3049
113218720098550,Valor Financeiro,These ads ran without a disclaimer,3023
640697589424301,Víctor Fuentes Solís,Víctor Manuel Espíndola Villegas,3013
100732580703775,El tiempo Yucatán,El tiempo Yucatán,3000
1015144255231891,Sol Yucatán,Iván Méndez,2952
195190787236594,Dr. Manuel Díaz Suárez,Manuel Armando Diaz Suarez,2911
465943094227509,El Blog del Malix,El Blog del Malix,2670
146568692144740,Senadores del PAN,Senadores del PAN,2660
133700114382,El Palacio de Hierro,These ads ran without a disclaimer,2659
1861550397441449,Revista32,Revista32,2602
1989386697977287,Cristal Pelayo,Cristal Pelayo Rodríguez,2595
429176847622356,Razón de Estado,Razón de Estado,2500
