Page ID,Page Name,Disclaimer,Amount Spent (MXN)
125906017491401,Arturo Nahle García,Zenda CG,51160
1420596421583045,José Narro Céspedes,José Narro Céspedes,45397
150356928329080,Gobierno de Zacatecas,Gobierno de Zacatecas,33714
399689356722789,Alejandro Tello,Gobierno de Zacatecas,31326
113264930412981,Kwai-SA-music,These ads ran without a disclaimer,26136
310617808978370,Fito Bonilla,Fito Bonilla,25316
637202699799385,Ernesto Glez Romo,Ernesto González Romo,24454
567633750007609,Geovanna Bañuelos,Juan Jose Mendez Rodriguez,24222
414759801952148,Ulises Mejia Haro,Ulises Mejia Haro,18060
1545555582174942,TResearch,Carlos Penna Charolet,14051
101671294918962,Kwai-SA-dance,These ads ran without a disclaimer,13542
407894373329897,Acta Diurna,Acta Diurna,13420
1667417456701228,Porfirio Muñoz Ledo,Porfirio Muñoz Ledo,11009
108819392526809,Partido Acción Nacional,Partido Acción Nacional,10191
1096457577073518,Miguel Varela,Salvador Luna Quiroz,8750
264773293005,Marko Cortés,Marko Cortés,8449
1642015862733529,Javier Calzada AMLO 2018,Francisco Javier Calzada Vazquez,8255
2143071646013630,Jackie Martínez Juárez,Jacquelina Martinez Juarez,8041
272733226108199,Julio César Chávez Padilla,Julio César Chávez,8022
518034294966050,Pedro Martínez,Pedro Martinez Flores,7620
2406840252911801,MARIO para Morena,MARIO para Morena,6920
125906017491401,Arturo Nahle García,These ads ran without a disclaimer,6467
383681541749473,Diálogo Jerez,Diálogo Jerez,6443
1812297282329742,Jorge Triana,Jorge Triana Tena,6380
1588437514742285,Víctor Hugo Govea,Víctor Hugo Govea,6108
154656868813091,Cuauhtli Badillo Moreno,Cuauhtli Badillo Moreno,5947
245495562137150,Mitofsky,Roy Campos,5601
2143071646013630,Jackie Martínez Juárez,These ads ran without a disclaimer,5585
108426420902413,Kwai-SA-funny,These ads ran without a disclaimer,5562
485791571601747,Carlos Pavón Campos,Carlos Pavón Campos,4500
1741178926212929,El Observador MX,El Observador MX,4345
100725871681470,Kwai-SA-reallife,These ads ran without a disclaimer,4292
235994093744848,Contra Réplica,Contra Réplica,4117
831306856905783,Diario Tiempo México,Diario Tiempo México,4089
164744067531407,Lupe Correa,José Guadalupe Correa Valdez,4064
641245122583059,Soledad Luévano,María Soledad Luévano,4055
1507812359526781,Omar Carrera,Omar Carrera Perez,3949
110829774107582,Sí Por México,Sí Por México,3723
141231709227675,"Estado de Guanajuato, México",Ads Project Media,3466
640697589424301,Víctor Fuentes Solís,Víctor Manuel Espíndola Villegas,3448
584897235516031,Estadística Digital,Raul Axayacatl Zapata Castro,3224
114889085297701,Ricardo Anaya Cortés,Ricardo Anaya Cortés,3185
507647349636683,Morenación,Adsocial México,3082
231205014943789,Desde abajo y con la gente,Desde abajo y con la gente,3052
114024430364416,YoXmx,YoXmx,3045
1291483384218104,Fresnillo Municipio,Fresnillo Municipio,3000
101845041252638,Despierta Zacatecas,Vangelis Hernandez Montess,2911
1647924832123944,Rey Delgadillo,Rey Delgadillo,2822
318951102340226,Salud Justa Mx,Salud Justa Mx,2818
133700114382,El Palacio de Hierro,These ads ran without a disclaimer,2765
950257431712751,México Desigual,Arturo Vázquez Rodríguez,2709
338174139686776,Mauricio Kuri,Mauricio Kuri,2513
110320423807974,Latinus,Latinus,2459
154316991789017,Átomos News,Átomos News,2423
138506541505,INE México,INE México,2399
326656641417748,Manolo Solis,Luis Garay,2375
136092926468080,PRI Oficial México,PRI Oficial México,2371
1861550397441449,Revista32,Revista32,2304
111794789461570,Triple ERRE,Francisco Gabriel Reynoso Torres,2231
186073704903313,México elige,México elige,2192
1013139202203880,Polilogy,Polilogy,2174
1420596421583045,José Narro Céspedes,These ads ran without a disclaimer,2113
193528471592711,Agenda Política,Gabriel Contreras Velázquez,2046
102803928268664,Poder Digital,Jose Angel Lara Ruiz,2044
469925686738562,El Guardián,El Guardián,1997
118921468203786,Movimiento Ciudadano,Movimiento Ciudadano,1935
100867376619769,Xóchitl Gálvez Ruiz,Xóchitl Gálvez Ruiz,1911
206323119403212,Mario Delgado Carrillo,Mario Delgado Carrillo,1864
186993735240587,La Razón,La Razón,1836
103412494947870,No Más Monreal,Irma Hernández Rios,1788
1989386697977287,Cristal Pelayo,Cristal Pelayo Rodríguez,1784
1744913215827786,José Luis Medina Lizalde,Luis Medina Lizalde,1756
155905091696219,La Revelación,La Revelación,1685
470188896511911,Coordinación de Comunicación Social Zacatecas,Gobierno de Zacatecas,1620
267018783320418,Democrats Abroad Mexico,Democrats Abroad,1603
124631600949535,Yo Influyo,YoXmx,1522
1445937068804713,Luis Esparza,Luis Esparza,1506
113218720098550,Valor Financeiro,These ads ran without a disclaimer,1471
206619272714304,Claudia Anaya,Luz Maria Miramontes,1444
154652694604556,Ricardo Gallardo Cardona,Ricardo Gallardo Cardona,1314
103821621408670,Secretaría de Créditos Personales,These ads ran without a disclaimer,1308
167121997173348,Toño Aceves,These ads ran without a disclaimer,1301
1637462289838029,Diputados Morena,Diputados Morena,1290
63635808800,Mario Zamora Gastelum,Mario Zamora Gastelum,1279
365131753983556,Cora Pinedo Alonso,Cora Cecilia Pinedo Alonso,1263
101226038404529,Alerta Zac,Marcos Cardona Lopez,1237
146568692144740,Senadores del PAN,Senadores del PAN,1210
103547291058979,Juntos con San Luis,Gabriela Pantoja,1209
1522195418029530,Político MX,Político.mx,1169
110909730772555,Politica ficcion,Francisco Garcia Medina,1168
104505494830614,Alonso Leyva,Alberto Alonso Leyva Barragan,1152
486088931424035,Instituto Electoral del Estado de Zacatecas,These ads ran without a disclaimer,1057
154576501243605,Fresnillo_MX,Fresnillo_MX,1050
331777074183378,Tito Mendez,Hector Manuel Mendez Rodriguez,1034
1362899813848288,Cobertura 360 MX,Cobertura 360 MX,1031
115452255131465,Alejandro Moreno Cárdenas,Alejandro Moreno Cárdenas,1015
1007185969353201,Héctor Adrián Menchaca Medrano,Hector Adrian Menchaca Medrano,1000
1993954143957360,Zacatecas lnforma,Gloria Elisa Alvarez De Reza,1000
101171214850717,Trabajando Avanzamos Mas,Trabajando Avanzamos Mas,990
416185532179806,El Quetzal,El Quetzal,971
103501724602326,Trabajadores por México,Adrian Mateos Rojas,964
104680124489636,Demoscopia Digital,Demoscopia Digital,963
449232661891252,Dra. Mirna Maldonado,Carlos Alberto Guzmán Quintanar,952
333932057250036,Alejandro Rojas Díaz Durán,ARDD,922
1476547659306759,Jóvenes por la Educación,Irma Hernández Rios,921
1239842362822211,Nancy Flores Sanchez,Juan Carlos De Santiago Santana,913
104680124489636,Demoscopia Digital,Mario Garza,906
129116715379616,La Lotería Del Pueblo,Hugo Junco Olvera,901
154652694604556,Ricardo Gallardo Cardona,Raul Ivan Lopez Guzman,898
104310071157068,Acceso Zac,Yuridiana De La Cruz Perez,884
213693228664478,Cámara de Diputados - H. Congreso de la Unión,Cámara de Diputados - H. Congreso de la Unión,862
233652128065243,Goberna México,Goberna,834
1933205943628352,Desdelaizquierda,Desdelaizquierda,830
196705420663884,Código Magenta,Código Magenta,811
105242691423039,Colectivo Fresnillo,Blanca Flor Moreno Gutierrez,800
248752192235773,Pepe Villarreal,Pepe Villarreal Cepeda,780
480953079314818,Jaime Pinales,Jaime Osvaldo Pinales Rodriguez,771
179387312078698,Partido Verde Ecologista México,Partido Verde Ecologista México,767
573481516387522,Likee español,These ads ran without a disclaimer,766
142145835862894,IEXE Universidad,IEXE Universidad,754
122154061801959,Colectivo Mujeres Cabeza de Familia,YXMEX,751
589484077738887,Jorge Álvarez Máynez,Jorge Álvarez Máynez,742
128502068725346,Fabián Rubio,Fabián Rubio,731
104704774256579,𝗣𝗔𝗡 𝗩𝗶𝗹𝗹𝗮𝗻𝘂𝗲𝘃𝗮 𝗭𝗮𝗰𝗮𝘁𝗲𝗰𝗮𝘀,Bytescorp ©,728
107615907597218,El Regreso de Francisco Zarco,Periódico La Justicia,711
109193504243629,Encuestas MX,Logística Digital,707
116437828394342,Phiten Mexico,Phiten Mexico,701
1633149466723660,Primera Plana Zac,Blanca Lorena Mata Jimenez,700
333932057250036,Alejandro Rojas Díaz Durán,PM,698
271769919594700,Polo Domínguez,Polo Domínguez,685
1445937068804713,Luis Esparza,These ads ran without a disclaimer,661
2303533579927419,Redes Sociales Progresistas,Redes Sociales Progresistas,649
480207798686869,Newsweek Aguascalientes,Newsweek Aguascalientes,648
