Page ID,Page Name,Disclaimer,Amount Spent (MXN),Number of Ads in Library
113264930412981,Kwai-SA-music,These ads ran without a disclaimer,2631152,129
61924315868,Gobierno de Michoacán,Gobierno de Michoacán,2001410,335
112673023593035,Ricardo Bours,Ricardo Bours Castelo,1909703,98
191231480284,Gobierno de la Ciudad de México,Gobierno de la Ciudad de México,1826126,33
116175691755266,Silvano Aureoles Conejo,Gobierno de Michoacán,1643043,262
215836968456734,Alfonso Martínez Alcázar,Alfonso Martínez Alcázar,1587385,329
384214801745089,Samuel García,Samuel García Sepúlveda,1512665,289
273305282567,Gobierno de Jalisco,Gobierno de Jalisco,1499365,380
613806268720822,Carlos Herrera Tello,Carlos Herrera,1462972,415
113493108666990,Gobierno del Estado de México,GobiernoEdoMéx,1444876,12
118921468203786,Movimiento Ciudadano,Movimiento Ciudadano,1426879,503
101671294918962,Kwai-SA-dance,These ads ran without a disclaimer,1220069,96
303184083041100,Gobierno del Estado de Yucatán,Gobierno del Estado de Yucatán,1046549,1298
1545555582174942,TResearch,Carlos Penna Charolet,1002940,1190
1667417456701228,Porfirio Muñoz Ledo,Porfirio Muñoz Ledo,942557,68
108819392526809,Partido Acción Nacional,Partido Acción Nacional,891491,351
831306856905783,Diario Tiempo México,Diario Tiempo México,751197,218
115435760318952,Colectivo Baja California por la Democracia,Contacto Baja California,702887,49
264773293005,Marko Cortés,Marko Cortés,627240,234
636015047036720,México Decide,México Decide,586209,77
103053677711622,Noticias Tamaulipas,Noticias Tamaulipas,579856,150
384214801745089,Samuel García,Samuel García,570977,61
108426420902413,Kwai-SA-funny,These ads ran without a disclaimer,569006,125
140700096019389,Luis Fernando Salazar Fernández,Cada Día Un Mensaje,544477,97
105922857734079,Las Noticias,Las Noticias,530663,108
1911411035852329,Elecciones&Encuestas,Contacto Elecciones y Encuestas,510641,108
2406840252911801,MARIO para Morena,MARIO para Morena,469218,140
1741178926212929,El Observador MX,El Observador MX,453050,108
180533315991,Guanajuato Gobierno del Estado,Difraxion Group,447294,180
636616453626425,Crónica del Norte,Crónica del Norte,428750,59
100725871681470,Kwai-SA-reallife,These ads ran without a disclaimer,427062,77
950257431712751,México Desigual,Arturo Vázquez Rodríguez,424659,22
1515259965437204,Marina Del Pilar,Marina Del Pilar,423151,64
1812297282329742,Jorge Triana,Jorge Triana Tena,409789,200
460436987319985,Diputados Ciudadanos,Grupo Parlamentario de Movimiento Ciudadano en la Cámara de Diputados,408785,279
1588437514742285,Víctor Hugo Govea,Víctor Hugo Govea,389758,20
206604539439888,Luis Nava,Luis Nava,362467,379
153118154700641,Claudia Pavlovich,Sonora GOB MX,356117,67
134513599913154,Enrique Alfaro Ramírez,Gobierno de Jalisco,355526,16
291385034241719,Gobierno de Tlajomulco,Gobierno de Tlajomulco,355506,214
848008481893903,Cruz Pérez Cuéllar,Cruz Pérez Cuéllar,345337,471
950257431712751,México Desigual,México Desigual,340217,52
186073704903313,México elige,México elige,338902,140
139039096175032,Pancho Domínguez,Francisco Dominguez Servien,337219,233
469925686738562,El Guardián,El Guardián,336540,106
104423741378022,Ocupa MX,Ocupa MX,336407,267
1522195418029530,Político MX,Político.mx,333690,169
138506541505,INE México,INE México,328870,254
1373811859301698,Secretaría de Salud de Michoacán,Gobierno de Michoacán,324353,126
140700096019389,Luis Fernando Salazar Fernández,Luis Fernando Salazar,319202,207
837607596288104,Eliseo Fernández Montufar,Community Manager,318801,1192
1463250447254946,Antonio Helguera Jiménez,Antonio Helguera Jiménez,313531,141
639300266697863,Sol del Norte,Redacción Sol del Norte,308754,39
142610745897694,Movimiento Ciudadano Hidalgo,Movimiento Ciudadano Hidalgo,301280,142
482375515237611,Cuitláhuac García Jiménez,Agencia Go Design MX,298887,25
329389757587201,Diana Carpio Ríos,Gobierno de Michoacán,298882,71
259294300089,Gobierno de Zapopan,Comunicación del Gobierno de Zapopan,296199,80
806858212689187,Pablo Lemus Navarro,Comunicación del Gobierno de Zapopan,294948,18
110829774107582,Sí Por México,Sí Por México,289937,58
231205014943789,Desde abajo y con la gente,Desde abajo y con la gente,287729,17
102375334944437,Voy con Carlos Reyes,Ricardo Castillo Volta,283023,89
102458154777930,Áragon Estudios de Opinión,Aragon estudios de opinión,281752,1397
142145835862894,IEXE Universidad,These ads ran without a disclaimer,280075,42
1640270156235310,Fidel Calderón,Fidel Calderón Torreblanca,276202,103
449095701815347,Salvador Zamora,Salvador Zamora,272584,137
194928003877085,Gobierno del Estado de BCS,Gobierno del Estado de BCS,272535,176
1505965219699374,Salomón Chertorivski,Salomón Chertorivski,271113,124
507647349636683,Morenación,Adsocial México,270165,6
338174139686776,Mauricio Kuri,Mauricio Kuri,263267,201
142145835862894,IEXE Universidad,IEXE Universidad,255105,81
164119290359519,Marcelo Torres Cofiño,Marcelo Torres Cofiño,253998,58
640697589424301,Víctor Fuentes Solís,Víctor Manuel Espíndola Villegas,253509,459
119581228114135,Clara Luz Flores Carrales,Clara Luz Flores Carrales,250957,22
114024430364416,YoXmx,YoXmx,242029,569
349170969021130,El Incorregible,El Incorregible,236943,53
104633007982749,Horizonte NL,Horizonte NL,230982,33
698928537211863,Ayuntamiento de Tijuana,Ayuntamiento de Tijuana,229124,7
106045264321266,Acompáñala con Amor,Whysers,222091,221
273180862709870,PERIÓDICO JUÁREZ HOY,PERIÓDICO JUÁREZ HOY,221219,10
372224370263707,Tendencias Campeche,Tendencias Campeche,220954,650
115435760318952,Colectivo Baja California por la Democracia,Arturo Vázquez Rodríguez,220182,13
574409139374950,Alfredo Lozoya,Alfredo Lozoya,219728,34
325504341514840,Senador Cristóbal Arias Solís,Cuauhtenoc Garcia Aguilera,215373,38
181228948581076,Fernando Manzanilla Prieto,Fernando Manzanilla Prieto,215082,146
981766365233936,Carlos Torres Piña,Uva Agency,214009,47
628080421179736,Código Sinaloa,Info Código Sinaloa,213607,44
106973291099728,Que se haga con Kiko Munro,Ilde Mendivil,213251,140
108733917449553,El Proceso MX,El Proceso México,213163,27
102863700463398,Pepe Couttolenc,Pepe Couttolenc,211286,63
104918204316548,Las noticias,Las Noticias,209301,73
2011285802526787,El Soberano,El Soberano,209298,65
620691984702367,YA BASTA,YA BASTA,208776,19
339041576496956,José Luis Guerra - Imagineros,Jose Guerra,205332,262
105318356303939,Luis Walton Aburto,Carabás Consejería Política,205070,257
110320423807974,Latinus,Latinus,204935,6
335716460273030,El Clarín,El Clarín,204190,96
269877666449337,Movimiento Ciudadano Jalisco,Movimiento Ciudadano Jalisco,203728,64
183751562214729,David Cortés,David Cortes,198930,49
150350841649023,Gobierno del Estado de Veracruz,Gobierno del Estado de Veracruz,198387,17
114889085297701,Ricardo Anaya Cortés,Ricardo Anaya Cortés,194935,61
186993735240587,La Razón,La Razón,190065,80
639300266697863,Sol del Norte,Arturo Vázquez Rodríguez,185439,15
318951102340226,Salud Justa Mx,Salud Justa Mx,184735,4
